key,status,type,venue_used,url,notes
johnson2019deep,verified,inproceedings,ICLR 2019,https://iclr.cc/Conferences/2019/Schedule?showEvent=905,No discrepancy. Author full name Jesse Johnson. OpenReview/DBLP blocked by bot challenge; verified on iclr.cc schedule instead.
hanin2017approximating,verified,misc,arXiv 1710.11278,https://arxiv.org/abs/1710.11278,No discrepancy (v1 31 Oct 2017; v2 10 Mar 2018). No journal-ref on arXiv page.
park2021minimum,verified,inproceedings,ICLR 2021,https://iclr.cc/virtual/2021/poster/2920,"No discrepancy. Authors Sejun Park, Chulhee Yun, Jaeho Lee, Jinwoo Shin."
cai2023achieve,verified,inproceedings,ICLR 2023,https://iclr.cc/virtual/2023/poster/12225 ; https://arxiv.org/abs/2209.11395,No discrepancy. Author Yongqiang Cai. arXiv comment: ICLR2023 camera ready.
kim2024minimum,verified,inproceedings,ICLR 2024,https://proceedings.iclr.cc/paper_files/paper/2024/hash/0d61c5f5ef91e7e8a091b7b8f72b853c-Abstract-Conference.html,"No discrepancy. Authors Namjun Kim, Chanho Min, Sejun Park. (arXiv 2309.10402 also checked; not added as eprint since not cited.)"
kidger2020universal,verified,inproceedings,"COLT 2020, PMLR 125",https://proceedings.mlr.press/v125/kidger20a.html,"No discrepancy: PMLR 125:2306-2327, 2020."
li2023minimum,verified,inproceedings,"ICML 2023, PMLR 202",https://proceedings.mlr.press/v202/li23g.html,No discrepancy in title/pages (202:19460-19470). First author full name is Li'Ang Li.
chen2018neural,verified,inproceedings,NeurIPS 2018 (NeurIPS 31),https://proceedings.neurips.cc/paper_files/paper/2018/hash/69386f6bb1dfed68692a24c8686939b9-Abstract.html ; https://arxiv.org/abs/1806.07366,"Venue version exists: NeurIPS 2018, vol 31; use it instead of arXiv. Last author listed as David K. Duvenaud on NeurIPS page (David Duvenaud on arXiv). No pages on the NeurIPS page."
dupont2019augmented,verified,inproceedings,NeurIPS 2019 (NeurIPS 32),https://proceedings.neurips.cc/paper_files/paper/2019/hash/21be9a4bd4f81549a9d1d241981cec3c-Abstract.html ; https://arxiv.org/abs/1904.01681,"Venue version exists: NeurIPS 2019, vol 32. No pages on NeurIPS page."
hendrycks2016gaussian,verified,misc,arXiv 1606.08415,https://arxiv.org/abs/1606.08415,No discrepancy. Note arXiv v5 revised 6 Jun 2023; no journal-ref.
ramachandran2017searching,verified,misc,arXiv 1710.05941,https://arxiv.org/abs/1710.05941,No discrepancy. Quoc V. Le. arXiv comment: updated version of 'Swish: a Self-Gated Activation Function'. No venue claimed or checked.
misra2020mish,verified,inproceedings,BMVC 2020,https://bmva-archive.org.uk/bmvc/2020/conference/papers/paper_0928.html ; https://arxiv.org/abs/1908.08681,"BMVC 2020 confirmed on BMVA's own BMVC 2020 archive (not one of the listed domains; DBLP was blocked), paper 0928, DOI 10.5244/C.34.191. Year becomes 2020 (candidate listed arXiv 2019). If only listed domains are acceptable, downgrade to @misc arXiv."
sitzmann2020implicit,verified,inproceedings,NeurIPS 2020 (NeurIPS 33),https://proceedings.neurips.cc/paper_files/paper/2020/hash/53c04118df112c13a8c34b38343b9c10-Abstract.html ; https://arxiv.org/abs/2006.09661,"Venue version exists: NeurIPS 2020, vol 33, pp. 7462-7473 (pages from page meta tags). Author names on NeurIPS page drop middle initials: Julien Martel, Alexander Bergman, David Lindell (arXiv: Julien N. P. Martel, Alexander W. Bergman, David B. Lindell)."
ziyin2020neural,verified,inproceedings,NeurIPS 2020 (NeurIPS 33),https://proceedings.neurips.cc/paper_files/paper/2020/hash/1160453108d3e537255e9f7b931f4e90-Abstract.html ; https://arxiv.org/abs/2006.08195,"Venue version exists: NeurIPS 2020, vol 33, pp. 1583-1594 (pages from page meta tags). First author Liu Ziyin."
soudry2018the,verified,article,"JMLR 19(70), 2018",https://jmlr.org/papers/v19/18-188.html ; https://arxiv.org/abs/1710.10345,"Use JMLR version: vol 19, no 70, pp. 1-57, 2018 (candidate arXiv year 2017). Full author name Mor Shpigel Nacson. Also covers candidate 36."
lyu2020gradient,verified,inproceedings,ICLR 2020,https://iclr.cc/virtual_2020/poster_SJeLIgBKPS.html ; https://arxiv.org/abs/1906.05890,"Use ICLR 2020 version; year 2020 (candidate arXiv 2019). Authors Kaifeng Lyu, Jian Li."
chizat2019on,verified,inproceedings,NeurIPS 2019 (NeurIPS 32),https://proceedings.neurips.cc/paper_files/paper/2019/hash/ae614c557843b1df326cb29c57225459-Abstract.html ; https://arxiv.org/abs/1812.07956,Use NeurIPS 2019 version; year 2019 (candidate arXiv 2018). First author Lénaïc Chizat (accents).
jacot2021saddle,verified,misc,arXiv 2106.15933,https://arxiv.org/abs/2106.15933,"TITLE DISCREPANCY: full arXiv title is 'Saddle-to-Saddle Dynamics in Deep Linear Networks: Small Initialization Training, Symmetry, and Sparsity' (candidate omits the subtitle). Authors match (François Ged, Berfin Şimşek, Clément Hongler). No venue checked."
