seed,crossed,step,s_cross,q
0,True,23,0.7014730915571826,"[1.181672438835884, 0.6612670218412746, -0.28123579663355036, 0.6476502257728323, 0.17771350924201962, 0.42023729492363227, -0.40115662914510664]"
1,True,291,1.4057253614634166,"[-0.7852955991062849, -0.07881014842000865, 0.5205639654937996, -1.5134496498937464, 1.6769130112100952, -0.8851613959696171, 1.2420706331383942]"
2,True,151,2.250278510562123,"[1.5652936606064685, -1.6671130610691802, 1.1199902981030674, -0.5624953287833743, 0.6787986891628679, 1.1302882124590554, 0.06701246102749335]"
3,True,94,0.42025247887981,"[-1.5027615629439166, -1.1438945842180208, 0.19049470966511842, -0.6699328222552091, 0.5999442746339496, -0.2297577692146916, 0.1402762151070502]"
4,True,60,0.836924668751437,"[-0.29702795234978974, 0.0625371715358993, -0.5558399803026997, 0.7803050379835627, 1.067060094550564, -0.28108468844873735, 0.27125140033597306]"
5,True,226,2.1579653113588737,"[0.46279907043551444, -0.6262775381789962, -0.9081218824720331, 1.3115067946727907, -1.8600649937081246, 1.2498434288868407, 1.231174692403951]"
6,True,155,2.757783807358256,"[-0.5963871192198157, 0.660355378129951, 1.4788763800854914, 1.6080854951423615, -1.4995944828177818, 1.2789074272727647, -0.32652659622515745]"
7,True,23,1.4236507722003684,"[-0.39635174089636344, -0.6461362466498517, 0.5543292080649166, 0.24939596310106066, 0.6381208649856547, 0.8693215641354518, -0.4573366599874755]"
8,True,12,1.0917271087291,"[0.4537151703556814, 0.22168745449366029, -0.6645014871696046, -0.7332784365962123, 0.3108234610185456, -0.4272256215594955, 0.3205880190215528]"
9,True,1,0.5089009765671594,"[-0.5174478483518061, 0.6683432957930179, -0.30257056519279096, -0.8442329815137722, -0.9029667175018705, 0.20633041137436844, -0.78047094612267]"
10,True,71,1.5643230183516605,"[1.0842763116448852, -0.7023477131427288, 0.8257193316491631, 1.0329995136597254, 0.7140475643225449, -0.7386036867024973, 1.060848456278913]"
11,True,275,2.315836156371865,"[-1.5067044739283864, 1.7644336994516137, -1.1853790178705392, 0.470748824165841, -0.5603041547712769, -1.1304571385013253, 0.6145324625744324]"
12,True,31,0.27818669247709615,"[0.21097102829419642, 0.4412751340458853, -0.20525866575474278, -0.6062961910394256, 0.5117740363323122, -0.0729280267223534, 0.2324433549969397]"
13,True,241,1.93455233733141,"[0.7799331302089738, 0.5198626905204919, -0.9093124625823711, 1.6838710632187028, -1.4328597048119045, 1.025239874749039, 1.9293422896384946]"
14,True,94,1.7361009033804626,"[1.4321320182106674, -0.9512501441020245, 0.9435568165248435, 1.0766126786232104, 0.11371784690744426, -0.7925440868556192, 0.5894340410921112]"
15,True,171,1.5242134204003102,"[-1.6965898300473512, 1.4233487873720712, -0.8848823017652411, 1.0272830818724132, -0.1686034953145436, -0.639331118635069, 0.39432273931718903]"
16,True,441,2.2188799874222687,"[1.343076938783727, -1.639138714770071, 1.0803743067527358, -0.4291461944650067, 0.4918670805177665, 1.1385056806695328, 0.612348685768881]"
17,True,90,2.1149392026474887,"[0.6256464081007019, -0.04490044680699682, -1.1008830137066117, -1.6742485270613496, 1.3793897887822104, -1.014056188940877, 0.9491221625450122]"
