arm,d,a,n_runs,n_crossing,rho_init_q25,rho_init_median,rho_init_q75,rho_half_q25,rho_half_median,rho_half_q75,rho_cross_q25,rho_cross_median,rho_cross_q75,n_not_crossed,n_not_crossed_rho_end_gt_1,not_crossed_w1_end_median,not_crossed_wnoise_end_median,not_crossed_s_end_median,n_cross_rho_ge_0.05,max_rho_cross,noise_delay_steps_median,noise_delay_steps_q75,noise_delay_steps_max,noise_delay_scale_median,frac_cross_same_step_as_G1,widening_rel_median,widening_rel_max,crossing_step_median,crossing_step_max,median_r_pop,median_obs_r_own,median_pred_r,median_chi,winding_counts,n_mirror,median_branch_wnoise_l2,median_relax_full_over_sig,frac_rho_below_0.1_before_cross,t_rho_0.1_over_t_cross_median
primary,1,1.3,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2593.5,13289.0,0.055330665876716645,0.029798889462470335,0.02886712932199873,0.0037930444944607863,"{""-1.0"": 40}",17,0.0,1.0,,
primary,1,1.5,40,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1361.0,13090.0,0.08758662090481772,0.062232937748967876,0.0625526467181284,0.015460176994236036,"{""0.0"": 40}",23,0.0,1.0,,
primary,2,1.3,40,36,0.666487626011521,1.230769150922122,3.2264875388049026,0.01012743626548834,0.013780073657250038,0.019441405545810805,0.007477953003797119,0.011988220688983739,0.015232727569768111,4,4,1.4483837595932423,2.148400949579094,0.061595647195721866,0,0.026707680888811626,295.0,400.0,1573.0,0.13394721894343398,0.0,0.029970551722459347,0.06676920222202906,2610.0,9957.0,0.1816714585814323,0.14740548980179446,0.023824195132221955,0.0031871026790902353,"{""-1.0"": 35, ""0.0"": 1}",14,0.009938522104642612,0.9997546994309939,1.0,0.031010374891943977
primary,2,1.5,40,36,0.666487626011521,1.230769150922122,3.2264875388049026,0.010776811448141814,0.013882954639013843,0.021136221078220357,0.00784745473698411,0.012338974300715705,0.015135278371859231,4,4,1.2871832636909029,2.1403202198969877,0.06677950053592789,0,0.026910217863177443,142.5,217.75,479.0,0.12943963408549386,0.0,0.030847435751789255,0.0672755446579436,1294.5,9424.0,0.20656424129581308,0.18729403218806306,0.04904876046820801,0.012303798818360913,"{""0.0"": 35, ""1.0"": 1}",23,0.012141166353239252,0.9997515284786929,1.0,0.06067090555695217
primary,4,1.3,40,29,1.5002693003151886,2.2874455648998384,5.872227760229677,0.021127082783156025,0.027853433694906834,0.033924263036901096,0.016487787470044805,0.020042136769323687,0.02425932134734805,11,11,0.5469724386019921,2.2993367914537197,0.07880240932442839,0,0.03426584729502508,770.0,1009.0,2368.0,0.35868239134839386,0.0,0.07222343625077417,0.12344451137415424,3306.0,11725.0,0.4582663557069966,0.39917932010791013,0.017495780124355337,0.002298887143807883,"{""-1.0"": 29}",9,0.016071731212048728,0.9987109836015847,1.0,0.04937458854509546
primary,4,1.5,40,29,1.5002693003151886,2.2874455648998384,5.872227760229677,0.01933035542409496,0.0301371310674653,0.03564633886766052,0.01688457079799131,0.02098391830506412,0.02440890573681163,11,11,0.5735174599802338,2.331733148482659,0.07874477647752345,0,0.0343869036774783,361.0,564.0,1536.0,0.38545525999615204,0.0,0.07841226259152664,0.12760020564316488,1674.0,10338.0,0.523756362734701,0.453389363568796,0.035810904877102354,0.008850831367992324,"{""0.0"": 29}",19,0.020593701467420688,0.998626867166384,1.0,0.09198423127463863
secondary,2,1.3,120,112,0.42966529325752933,1.0726848738935366,2.294463548096484,0.006712283469052599,0.01167295014273929,0.01916904027744218,0.004808358750033251,0.009011548929289098,0.014979521971457023,8,8,1.2787738840327383,2.1234001084635965,0.09685081258791385,0,0.03405911512861496,218.0,369.25,1573.0,0.10201006783857447,0.0,0.022528872323222746,0.0851477878215374,2876.5,9957.0,0.1892263349643587,0.14740548980179446,0.023640607976246376,0.003110548651214586,"{""-1.0"": 111, ""0.0"": 1}",47,0.007975817216153872,0.9998040616438506,1.0,0.04390877314962215
secondary,2,1.5,120,112,0.42966529325752933,1.0726848738935366,2.294463548096484,0.006577960138241995,0.011976627170796826,0.02116114179387947,0.004873708920728735,0.009369604297123881,0.015077138541930758,8,8,0.5917370191501861,1.3612427890191625,0.49543533129258027,0,0.033592205439016615,105.5,201.25,683.0,0.09684044131595826,0.0,0.0234240107428097,0.08398051359754152,1484.0,9424.0,0.22593250746830607,0.18729403218806306,0.04937238302324222,0.012320206008318978,"{""0.0"": 111, ""1.0"": 1}",67,0.0096973087278652,0.9997862321687241,1.0,0.0865369192108218
secondary,4,1.3,120,90,1.430991193945331,2.284678946744414,5.598121736530745,0.02233873535659494,0.029581602883284337,0.03556136384506581,0.015861173651560163,0.021706230374142113,0.027512239238252988,30,30,0.5056551255170298,2.0846162707590152,0.09653745717870849,0,0.048496931805607185,932.0,1213.75,3333.0,0.40149379096719706,0.0,0.08032509401582136,0.17456543939337346,3538.0,11725.0,0.527949304819139,0.39917932010791013,0.01660846504095361,0.0021822969018615145,"{""-1.0"": 90}",39,0.017546400619559845,0.9986910651586351,1.0,0.050328319913573366
secondary,4,1.5,120,93,1.430991193945331,2.284678946744414,5.598121736530745,0.021980622882294097,0.029573249922741348,0.03618359196998033,0.01538740164614741,0.022191994120984132,0.02749830180997273,27,27,0.6497760044812118,2.1474063229054283,0.10072607104993232,0,0.04626770228778603,503.0,649.0,1944.0,0.39926528980604736,0.0,0.08308665440836877,0.17522911128588525,1781.0,10338.0,0.5531810115795148,0.453389363568796,0.03373315401064875,0.008343767759070489,"{""0.0"": 92, ""1.0"": 1}",53,0.021611317445048992,0.998626867166384,1.0,0.09307135470527404
