a,seed,w2_lo,w2_hi,evals,note
1.3,880000,5.3125,5.31875,9,
1.3,880001,4.99375,5.0,6,
1.3,880002,4.6375,4.64375,9,
1.3,880003,5.43125,5.4375,10,
1.3,880004,6.00625,6.0125,16,
1.3,880005,5.00625,5.0125,6,
1.3,880006,5.08125,5.0875,7,
1.3,880007,5.6625,5.66875,13,
1.3,880008,4.9625,4.96875,6,
1.3,880009,4.6875,4.69375,8,
1.3,880010,4.85625,4.8625,6,
1.3,880011,5.34375,5.35,9,
1.3,880012,4.84375,4.85,7,
1.3,880013,5.51875,5.525,11,
1.3,880014,5.64375,5.65,12,
1.3,880015,5.06875,5.075,7,
1.3,880016,5.49375,5.5,11,
1.3,880017,5.23125,5.2375,8,
1.3,880018,5.375,5.38125,10,
1.3,880019,4.7375,4.74375,8,
1.3,880020,5.06875,5.075,7,
1.3,880021,4.7375,4.74375,8,
1.3,880022,4.81875,4.825,7,
1.3,880023,4.925,4.93125,6,
1.3,880024,5.10625,5.1125,7,
1.3,880025,5.5125,5.51875,11,
1.3,880026,5.4625,5.46875,11,
1.3,880027,5.6375,5.64375,12,
1.3,880028,4.6625,4.66875,8,
1.3,880029,5.1375,5.14375,7,
1.3,880030,4.95625,4.9625,6,
1.3,880031,4.94375,4.95,6,
1.3,880032,4.83125,4.8375,7,
1.3,880033,5.2,5.20625,8,
1.3,880034,5.24375,5.25,8,
1.3,880035,5.05,5.05625,6,
1.3,880036,5.43125,5.4375,10,
1.3,880037,5.3,5.30625,9,
1.3,880038,5.65,5.65625,12,
1.3,880039,4.85,4.85625,7,
1.5,880000,2.70625,2.7125,7,
1.5,880001,2.54375,2.55,6,
1.5,880002,2.3625,2.36875,7,
1.5,880003,2.7625,2.76875,8,
1.5,880004,3.05625,3.0625,11,
1.5,880005,2.55625,2.5625,6,
1.5,880006,2.59375,2.6,6,
1.5,880007,2.88125,2.8875,9,
1.5,880008,2.53125,2.5375,6,
1.5,880009,2.4125,2.41875,7,
1.5,880010,2.4875,2.49375,6,
1.5,880011,2.71875,2.725,7,
1.5,880012,2.46875,2.475,6,
1.5,880013,2.8125,2.81875,8,
1.5,880014,2.88125,2.8875,9,
1.5,880015,2.575,2.58125,6,
1.5,880016,2.80625,2.8125,8,
1.5,880017,2.66875,2.675,7,
1.5,880018,2.74375,2.75,8,
1.5,880019,2.41875,2.425,7,
1.5,880020,2.59375,2.6,6,
1.5,880021,2.4125,2.41875,7,
1.5,880022,2.45625,2.4625,6,
1.5,880023,2.5125,2.51875,6,
1.5,880024,2.61875,2.625,6,
1.5,880025,2.825,2.83125,8,
1.5,880026,2.78125,2.7875,8,
1.5,880027,2.86875,2.875,9,
1.5,880028,2.38125,2.3875,7,
1.5,880029,2.6125,2.61875,6,
1.5,880030,2.525,2.53125,6,
1.5,880031,2.5125,2.51875,6,
1.5,880032,2.46875,2.475,6,
1.5,880033,2.6625,2.66875,7,
1.5,880034,2.675,2.68125,7,
1.5,880035,2.575,2.58125,6,
1.5,880036,2.76875,2.775,8,
1.5,880037,2.71875,2.725,7,
1.5,880038,2.875,2.88125,9,
1.5,880039,2.4625,2.46875,6,
