a,s,d,direction,r,L_profile_minus_L1star,grad_max
1.3,4.95,2,0,0.0,0.0,9.586078675641319e-13
1.3,4.95,2,0,0.005,2.9036235522916787e-05,3.318742849978129e-16
1.3,4.95,2,0,0.02,0.00046473506432631595,1.227316859253591e-16
1.3,4.95,2,0,0.05,0.002909983852893927,1.0817444216857514e-14
1.3,4.95,2,0,0.1,0.011714318769269094,7.833217581521001e-13
1.3,4.95,2,0,0.2,0.04787543571085684,4.2847669856627135e-16
1.3,4.95,4,0,0.0,0.0,9.585994107871865e-13
1.3,4.95,4,0,0.005,2.903623552302781e-05,3.423910460709223e-16
1.3,4.95,4,0,0.02,0.00046473506432642697,1.113475631142613e-16
1.3,4.95,4,0,0.05,0.0029099838528938715,1.0813212440253031e-14
1.3,4.95,4,0,0.1,0.011714318769267928,7.836245758188753e-13
1.3,4.95,4,0,0.2,0.0478754356926529,4.343313902976931e-16
1.3,4.95,4,1,0.0,0.0,9.585994107871865e-13
1.3,4.95,4,1,0.005,2.903652886149244e-05,6.321576291948294e-16
1.3,4.95,4,1,0.02,0.00046480985556224264,5.184112687739439e-16
1.3,4.95,4,1,0.05,0.002912839310872828,1.0815296141303277e-14
1.3,4.95,4,1,0.1,0.011756320812495225,1.4027233151067686e-12
1.3,4.95,4,1,0.2,0.04834322283807624,4.722784663346857e-16
1.3,4.9625,2,0,0.0,0.0,2.500170209751573e-16
1.3,4.9625,2,0,0.005,2.9083965637721754e-05,2.2941717969793274e-16
1.3,4.9625,2,0,0.02,0.0004654997558377616,3.658098129966092e-16
1.3,4.9625,2,0,0.05,0.0029147982374190806,1.0803124277851232e-14
1.3,4.9625,2,0,0.1,0.011734061024042453,7.740005468145905e-13
1.3,4.9625,2,0,0.2,0.04796108090278006,1.22514845490862e-16
1.3,4.9625,4,0,0.0,0.0,2.654126918244515e-16
1.3,4.9625,4,0,0.005,2.908396563761073e-05,3.985516708259157e-12
1.3,4.9625,4,0,0.02,0.0004654997558377061,2.7241629904552894e-15
1.3,4.9625,4,0,0.05,0.0029147982374190806,1.0806558149419401e-14
1.3,4.9625,4,0,0.1,0.011734061024041231,7.740708031153676e-13
1.3,4.9625,4,0,0.2,0.04796108088416268,3.122502256758253e-16
1.3,4.9625,4,1,0.0,0.0,2.654126918244515e-16
1.3,4.9625,4,1,0.005,2.9084260847633825e-05,1.6815975695250174e-16
1.3,4.9625,4,1,0.02,0.00046557502387051253,2.512096433648914e-16
1.3,4.9625,4,1,0.05,0.0029176718252659217,1.0580457950742916e-14
1.3,4.9625,4,1,0.1,0.011776326082883704,1.395048356347961e-12
1.3,4.9625,4,1,0.2,0.04843169179270518,1.568840543586525e-16
1.5,2.525,2,0,0.0,0.0,2.202881974056048e-14
1.5,2.525,2,0,0.005,1.9332396749949243e-05,6.69635831160309e-12
1.5,2.525,2,0,0.02,0.00030937757420768097,2.489328188026718e-16
1.5,2.525,2,0,0.05,0.0019356687241540715,3.6914915568786455e-15
1.5,2.525,2,0,0.1,0.007771306919869547,8.629013302507982e-14
1.5,2.525,2,0,0.2,0.03149460904403012,1.8648277366750676e-16
1.5,2.525,4,0,0.0,0.0,2.2040529124023323e-14
1.5,2.525,4,0,0.005,1.9332396750060266e-05,6.696345734857889e-12
1.5,2.525,4,0,0.02,0.000309377574207792,2.5240226575462543e-16
1.5,2.525,4,0,0.05,0.001935668724154127,3.7088387916384136e-15
1.5,2.525,4,0,0.1,0.007771306919869658,8.664726922069654e-14
1.5,2.525,4,0,0.2,0.03149460904337342,1.3964523981613297e-16
1.5,2.525,4,1,0.0,0.0,2.2040529124023323e-14
1.5,2.525,4,1,0.005,1.933250860908231e-05,6.696673597594849e-12
1.5,2.525,4,1,0.02,0.0003094061167961404,2.411265631607762e-16
1.5,2.525,4,1,0.05,0.0019367634066312367,3.62231945827407e-15
1.5,2.525,4,1,0.1,0.007787698590390413,1.2334838012106886e-13
1.5,2.525,4,1,0.2,0.03169343006433856,2.1684043449710089e-16
1.5,2.5375,2,0,0.0,0.0,1.9147010366094008e-16
1.5,2.5375,2,0,0.005,1.9397507281693205e-05,6.6973739921982745e-12
1.5,2.5375,2,0,0.02,0.0003104201767910042,9.454242944073599e-17
1.5,2.5375,2,0,0.05,0.0019422140066431282,3.691057876009651e-15
1.5,2.5375,2,0,0.1,0.007797892669775486,8.553270938738144e-14
1.5,2.5375,2,0,0.2,0.03160680085299905,1.7564075194265172e-16
1.5,2.5375,4,0,0.0,0.0,1.8908485888147197e-16
1.5,2.5375,4,0,0.005,1.9397507281748716e-05,6.6973653185808946e-12
1.5,2.5375,4,0,0.02,0.0003104201767910042,9.73613550891983e-17
1.5,2.5375,4,0,0.05,0.0019422140066431282,3.697563089044564e-15
1.5,2.5375,4,0,0.1,0.007797892669775375,8.536834433803264e-14
1.5,2.5375,4,0,0.2,0.031606800852313155,2.1640675362810669e-16
1.5,2.5375,4,1,0.0,0.0,1.8908485888147197e-16
1.5,2.5375,4,1,0.005,1.939762068370321e-05,6.697636369124016e-12
1.5,2.5375,4,1,0.02,0.00031044911298089284,1.6328084717631697e-16
1.5,2.5375,4,1,0.05,0.0019433237691576233,3.63728144825437e-15
1.5,2.5375,4,1,0.1,0.00781450943510753,1.203542474015329e-13
1.5,2.5375,4,1,0.2,0.031808348223371974,2.389581588158052e-16
