a,s,d,start,L_final_minus_L1star,wnoise_norm_final,grad_max,G_rd_final,w1,b1,G1_branch,L1star,branch_grad,noise_block_rel_err,noise_block_min_eig,cross_max_abs
1.3,4.95,2,branch+noise,5.551115123125783e-17,6.644207832835007e-17,1.2923039374723722e-14,-0.0002676610663208123,-0.8336677306111101,3.8319971679297047,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,branch+noise,5.551115123125783e-17,6.644209156323987e-17,1.2923039374723722e-14,-0.0002676610663208123,-0.8336677306111101,3.8319971679297047,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,branch+noise,0.0,5.951416545386964e-18,1.073468570977898e-15,-0.0002676610663217005,-0.8336677306111038,3.831997167929708,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,branch+noise,0.0,5.951416545386964e-18,1.073468570977898e-15,-0.0002676610663217005,-0.8336677306111038,3.831997167929708,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,branch+noise,0.0,5.0654214861785496e-12,1.9627417247904122e-10,-0.00026766111981091356,-0.833667730765542,3.8319971679279683,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,branch+noise,5.551115123125783e-17,6.608211396670196e-18,1.0399023493441045e-15,-0.00026766106632303277,-0.8336677306111046,3.8319971679297087,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,random,0.3436421660472715,8.026154327004674e-06,9.366337132971081e-12,-1.4086420918602016e-10,1.1006640416033735e-16,3.8347549251047135,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,random,0.3707523319406725,0.6839098214207435,7.589415207398531e-17,-0.27500495743010767,-3.7242474996296434e-18,-3.141592653589793,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,random,5.551115123125783e-17,3.455565856551433e-17,1.1375947926717256e-12,-0.00026766106558673286,0.8336677306104895,3.831997167929132,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,random,5.551115123125783e-17,6.178689425279284e-14,6.820213881500448e-13,-0.0002676610665890422,-0.8336677306116377,3.8319971679296994,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,random,0.34364216604727127,2.2793764985956322e-07,1.614498890539335e-11,-2.6849895640168597e-09,-7.022712689589588e-18,3.8382902457196573,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,random,0.3436421660472714,7.188059118710373e-06,7.343729357262019e-12,-9.649303578385116e-11,-3.573419838381783e-17,2.448433612256244,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,random,5.551115123125783e-17,7.266537996131712e-17,2.744462643256007e-13,-0.0002676610661409562,0.833667730610957,3.8319971679295652,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,2,random,0.3436421660472715,1.3785283830818244e-06,8.823332689478214e-13,-1.3565504275447893e-10,1.8684732210616984e-14,2.448403129923191,-0.0002676610655281131,0.3495050145126738,9.586001697287072e-13,4.206029319839225e-15,2.322847006942613,4.9873299934333204e-17
1.3,4.95,4,branch+noise,0.0,5.046146794141598e-16,2.5433973503685703e-14,-0.0002676610663225887,-0.8336677306111163,3.8319971679297034,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,branch+noise,0.0,5.131035618407736e-16,2.5430829317385495e-14,-0.0002676610663225887,-0.8336677306111163,3.8319971679297034,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,branch+noise,0.0,4.180244112254608e-18,1.0448456336242806e-15,-0.0002676610663217005,-0.8336677306111036,3.831997167929708,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,branch+noise,1.1102230246251565e-16,4.313773732011769e-18,5.8215151449436675e-15,-0.00026766106631948006,-0.8336677306111024,3.8319971679297056,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,branch+noise,0.0,2.1421597391056374e-17,9.089717233025027e-15,-0.00026766106632747366,-0.8336677306111085,3.8319971679297122,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,branch+noise,0.0,1.865857395006429e-17,2.262729933977248e-16,-0.0002676610663217005,-0.833667730611104,3.8319971679297082,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,random,0.3707535869653805,0.6839047384662496,1.7512868871207772e-12,-0.27500495743010767,3.94969747936817e-14,3.141592653587646,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,random,0.3707535869653805,0.6839047384698479,5.426030568667921e-12,-0.27500495743010767,2.0165273032030293e-14,3.1415926535995364,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,random,0.3436421660472715,6.69222569946948e-19,2.0816681711721685e-15,0.0,-1.3643216215766566e-18,-0.3324895662354515,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,random,0.34364216604727127,9.402247924940578e-06,8.947800616762591e-12,-3.710010076929393e-10,2.5568451195024623e-17,2.448429458857081,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,random,0.0,9.232579082870344e-18,4.3341398178742274e-12,-0.000267661063765523,0.833667730608938,3.8319971679277143,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,random,0.3436421660472715,6.58043247556888e-06,6.994963419257316e-12,-2.312496860668034e-10,-1.691601246144932e-17,3.8347501879969386,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,random,-3.3306690738754696e-16,3.182285703165625e-16,1.2333812932834119e-13,-0.0002676610662604162,-0.8336677306110437,66.66385023972552,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.95,4,random,0.3707535869653805,0.6839047384654243,2.223216525675627e-16,-0.27500495743010767,-2.76325278724701e-18,3.141592653589793,-0.0002676610655281131,0.3495050145126737,9.586001697287072e-13,1.147098905410698e-15,2.322847006942603,4.029978953957221e-17
1.3,4.9625,2,branch+noise,0.0,8.798346290089681e-17,1.2637135261839294e-14,0.00014956012266909013,-0.8333477165737535,3.831661273832565,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
1.3,4.9625,2,branch+noise,0.0,8.798346290089681e-17,1.2637135261839294e-14,0.00014956012266909013,-0.8333477165737535,3.831661273832565,0.00014956012266731378,0.3491099646354972,2.80483102022e-16,4.38999661709245e-15,2.3266650791444983,3.144186300207963e-18
