   label       arm  d   a  n_crossing  n_branch_switch  n_used  median_branch_over_pop  median_branch_over_own_x1  median_G1switch_over_own_x1  median_r_branch  median_pred_r  tol_as_registered  within_tol  obs_over_pred  frac_s_branch_ge_s_lo
POST HOC   primary  1 1.3          40               40      40                1.024597                   0.999981                     0.999981         0.029618       0.028867           0.010000        True       1.026026               0.700000
POST HOC   primary  1 1.5          40               40      40                1.026312                   0.999873                     0.999873         0.062635       0.062553           0.015638        True       1.001311               0.700000
POST HOC   primary  2 1.3          36               36      36                1.151248                   1.118092                     0.999720         0.025169       0.023824           0.010000        True       1.056448               0.944444
POST HOC   primary  2 1.5          36               36      36                1.147610                   1.120106                     0.999658         0.053964       0.049049           0.012262        True       1.100208               0.944444
POST HOC   primary  4 1.3          29               29      29                1.465825                   1.401400                     0.999583         0.019074       0.017496           0.010000        True       1.090181               1.000000
POST HOC   primary  4 1.5          29               29      29                1.473787                   1.411625                     0.999698         0.038355       0.035811           0.010000        True       1.071043               1.000000
POST HOC secondary  2 1.3         112              112     112                1.161952                   1.118092                     0.999720         0.024782       0.023641           0.010000        True       1.048288               0.910714
POST HOC secondary  2 1.5         112              112     112                1.160725                   1.120106                     0.999658         0.051462       0.049372           0.012343        True       1.042322               0.910714
POST HOC secondary  4 1.3          90               90      90                1.503460                   1.401400                     0.999583         0.013873       0.016608           0.010000        True       0.835298               1.000000
POST HOC secondary  4 1.5          93               93      93                1.500158                   1.411625                     0.999698         0.032543       0.033733           0.010000        True       0.964710               0.989247
