arm,d,a,seed,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note
primary,2,1.3,880000,5.4582748563545795,,True,4.667213663962247,
primary,2,1.3,880001,5.0391367512150875,,True,4.995634871628077,
primary,2,1.3,880002,5.578969285544099,,True,5.108908637506158,
primary,2,1.3,880003,5.8324981143297245,,True,5.415422067859572,
primary,2,1.3,880004,6.1196742918982086,,True,6.0103284521391664,
primary,2,1.3,880005,5.43410601462895,,True,5.0183237189508,
primary,2,1.3,880006,5.308568282810542,,True,5.092493083656789,
primary,2,1.3,880008,5.4528108126848505,,False,5.003678311573742,
primary,2,1.3,880009,5.057663487546791,,True,4.700887276204919,
primary,2,1.3,880010,5.4157555897562215,,True,4.84199757413231,
primary,2,1.3,880011,6.3099803429791255,,True,5.362734207339649,
primary,2,1.3,880013,6.6992987913817785,,True,5.5407902560619515,
primary,2,1.3,880014,4.444535693383694,,False,4.171962837763163,
primary,2,1.3,880017,6.037617236999402,,True,5.223752901855621,
primary,2,1.3,880018,5.31890147638685,,True,4.8787699141664245,
primary,2,1.3,880019,5.303762562041203,,True,4.72660149112391,
primary,2,1.3,880020,5.116200880705335,,True,5.070448495371863,
primary,2,1.3,880021,5.297150625171659,,True,4.7446417213860155,
primary,2,1.3,880022,5.473393096001693,,True,4.790928524807272,
primary,2,1.3,880023,6.032276305630015,,True,4.924118308513389,
primary,2,1.3,880024,5.346841359796706,,True,5.097906094927849,
primary,2,1.3,880025,5.188492536691587,,True,4.442541056282708,
primary,2,1.3,880026,5.941023944839378,,True,4.712333963613533,
primary,2,1.3,880027,6.489032095938487,,True,5.646073239223798,
primary,2,1.3,880028,5.9598488819949385,,True,5.122848307550061,
primary,2,1.3,880029,5.791177100179608,,True,5.136999613563586,
primary,2,1.3,880030,6.30589525242371,,True,5.042193904298014,
primary,2,1.3,880031,5.682748879120732,,True,4.941375088677353,
primary,2,1.3,880032,4.855206569747034,,True,4.836796648418094,
primary,2,1.3,880033,6.569114873086621,,True,5.179360551448617,
primary,2,1.3,880034,6.296131731665952,,True,4.877277545353712,
primary,2,1.3,880035,5.75768866276864,,True,5.068223022587722,
primary,2,1.3,880036,7.098865994436737,,True,5.344222425791093,
primary,2,1.3,880037,6.2545313556412765,,True,5.314641265289957,
primary,2,1.3,880038,5.7601570840472185,,True,5.651544674669193,
primary,2,1.3,880039,5.729000486290861,,True,5.034698501221998,
primary,2,1.5,880000,2.796278206394554,,True,2.3782666018937464,
primary,2,1.5,880001,2.5705097781182324,,True,2.545810021396149,
primary,2,1.5,880002,2.8518744382132084,,True,2.6091755427655547,
primary,2,1.5,880003,2.9780143489566786,,True,2.758414920343373,
primary,2,1.5,880004,3.1136002268947935,,True,3.0622898157668095,
primary,2,1.5,880005,2.7760903823040866,,True,2.564863021524336,
primary,2,1.5,880006,2.6969083794616315,,True,2.6032617183892235,
primary,2,1.5,880008,2.789384069509235,,True,2.5520074682414084,
primary,2,1.5,880009,2.611013552400592,,True,2.4197691820659375,
primary,2,1.5,880010,2.7742770573323683,,True,2.4816198919154173,
primary,2,1.5,880011,3.217021524425123,,True,2.7279999805221733,
primary,2,1.5,880013,3.4018875568093865,,True,2.8257627206138354,
primary,2,1.5,880014,2.25884445172621,,False,2.1205365940577323,
primary,2,1.5,880017,3.062515681970713,,True,2.6688903198921414,
primary,2,1.5,880018,2.707273693805498,,True,2.4838417335697343,
primary,2,1.5,880019,2.6882131943472976,,True,2.4145668086955734,
primary,2,1.5,880020,2.614510838540684,,True,2.595499464054382,
primary,2,1.5,880021,2.720774630243405,,True,2.4257697039646993,
primary,2,1.5,880022,2.7833769940563338,,True,2.4421363198476014,
primary,2,1.5,880023,3.085610181275129,,True,2.5114544532466474,
primary,2,1.5,880024,2.7408440442725257,,True,2.612826890825123,
primary,2,1.5,880025,2.6514569985653096,,True,2.26179884797891,
primary,2,1.5,880026,3.0285725724284527,,True,2.402400121604015,
primary,2,1.5,880027,3.3242509778396703,,True,2.878128937151441,
primary,2,1.5,880028,3.0448279114832513,,True,2.6200163842809725,
primary,2,1.5,880029,2.956350480458325,,True,2.617310143661761,
primary,2,1.5,880030,3.2089940379505197,,True,2.5742369725710414,
primary,2,1.5,880031,2.8957669328639355,,True,2.51495743429943,
primary,2,1.5,880032,2.479019674227728,,True,2.4717180285790477,
primary,2,1.5,880033,3.3572599142228414,,True,2.6521427887747846,
primary,2,1.5,880034,3.380586338441999,,True,2.666895008530357,
primary,2,1.5,880035,2.932382340062789,,True,2.5824071428207396,
primary,2,1.5,880036,3.6223115945678153,,True,2.7297568076348346,
primary,2,1.5,880037,3.20472925081006,,True,2.7290540420139267,
primary,2,1.5,880038,2.929994874431462,,True,2.876616778127988,
primary,2,1.5,880039,2.9140088060071863,,True,2.564231511657,
primary,4,1.3,880001,5.704755963386312,,True,4.992100420410318,
primary,4,1.3,880002,6.503370649050643,,True,5.107958210451235,
primary,4,1.3,880003,7.755797461744608,,False,5.481140615536306,
primary,4,1.3,880004,9.242457314063923,,True,6.1177970305693155,
primary,4,1.3,880005,5.9678890518713015,,True,5.039759438095219,
primary,4,1.3,880006,7.264995988333098,,True,5.144760173900538,
primary,4,1.3,880007,7.632785182228734,,True,5.661836627841534,
primary,4,1.3,880010,5.914829957739597,,True,4.824770596271733,
primary,4,1.3,880011,7.852862579922247,,True,5.351946205147648,
primary,4,1.3,880013,8.329820616287117,,True,5.479487465935096,
primary,4,1.3,880015,6.464162383107199,,True,5.0793506277501175,
primary,4,1.3,880017,6.588387309886968,,True,5.213460770420304,
primary,4,1.3,880018,6.029074375922203,,True,4.880000360380813,
primary,4,1.3,880019,6.737462136398115,,True,4.707669465087413,
primary,4,1.3,880020,7.73002771511932,,True,5.16182197132934,
primary,4,1.3,880021,7.6222565615387134,,True,4.708126809055025,
primary,4,1.3,880023,6.567979567465667,,True,4.9298076707026395,
primary,4,1.3,880024,5.463905413728959,,True,5.0961068083062475,
primary,4,1.3,880025,7.6383866186872185,,True,4.461651542948874,
primary,4,1.3,880026,6.213204936446439,,True,4.70887054724274,
primary,4,1.3,880027,11.892024405143378,,False,5.947345053712713,
primary,4,1.3,880032,6.113096634017067,,True,4.808191318179574,
primary,4,1.3,880033,7.382631789282661,,False,4.34917353364002,
primary,4,1.3,880034,7.677253373650267,,True,5.258469241746117,
primary,4,1.3,880035,6.879124631618246,,True,5.051019295185938,
primary,4,1.3,880036,8.203266352321698,,True,5.329282211091366,
primary,4,1.3,880037,7.7823924236830075,,False,5.325708296612703,
primary,4,1.3,880038,7.3152772647625115,,True,5.688799867965404,
primary,4,1.3,880039,7.129945506931294,,True,5.0852899191679555,
primary,4,1.5,880001,2.9118006421280267,,True,2.544814237598894,
primary,4,1.5,880002,3.3041951820682405,,True,2.610143463907266,
primary,4,1.5,880003,3.963524782310399,,True,2.793560571899948,
primary,4,1.5,880004,4.706940371635387,,True,3.1182678327633147,
primary,4,1.5,880005,3.051939370586328,,True,2.575983936569026,
primary,4,1.5,880006,3.704247735378143,,True,2.630607794566605,
primary,4,1.5,880007,3.890318512709147,,True,2.8826878174634185,
primary,4,1.5,880010,3.045413037110526,,True,2.472856237187874,
primary,4,1.5,880011,4.002089587445076,,True,2.723171915088531,
primary,4,1.5,880013,4.229901088080938,,True,2.797608517591324,
primary,4,1.5,880015,3.27562215287211,,True,2.585167458674655,
primary,4,1.5,880017,3.3349738536077123,,True,2.6639499477121458,
primary,4,1.5,880018,3.0898371207987596,,True,2.484130730250386,
primary,4,1.5,880019,3.4249089710556007,,True,2.40512804505991,
primary,4,1.5,880020,3.9588895958750125,,True,2.6430691407903932,
primary,4,1.5,880021,3.906707158913065,,True,2.4029993167828048,
primary,4,1.5,880023,3.3657694016885484,,True,2.514866248865107,
primary,4,1.5,880024,2.7993609594010755,,True,2.6117773098056833,
primary,4,1.5,880025,3.931248779547354,,True,2.2725218992995497,
primary,4,1.5,880026,3.167392280200894,,True,2.4006254853896944,
primary,4,1.5,880027,6.054151801530148,,True,3.030727680885602,
primary,4,1.5,880032,3.137644611964813,,True,2.4582767461938078,
primary,4,1.5,880033,3.7628638377244967,,True,2.2228544620983386,
primary,4,1.5,880034,3.925403657122053,,True,2.6816933078742853,
primary,4,1.5,880035,3.7305230342230806,,True,2.582204336872647,
primary,4,1.5,880036,4.180242721000521,,True,2.723740800680213,
primary,4,1.5,880037,3.9876979790202176,,True,2.7341261486178388,
primary,4,1.5,880038,3.7384659111258234,,True,2.8975734686654047,
primary,4,1.5,880039,3.6347296155716595,,True,2.5903848144271597,
primary,1,1.3,880000,5.315707183567337,,True,5.315707183567337,
primary,1,1.3,880001,4.971927071872823,,True,4.971927071872823,
primary,1,1.3,880002,5.101887658012508,,True,5.101887658012508,
primary,1,1.3,880003,5.434862534509193,,True,5.434862534509193,
primary,1,1.3,880004,6.008615987249277,,True,6.008615987249277,
primary,1,1.3,880005,5.010125436269565,,True,5.010125436269565,
primary,1,1.3,880006,5.085188499809195,,True,5.085188499809195,
primary,1,1.3,880007,5.662919113001098,,True,5.662919113001098,
primary,1,1.3,880008,4.965597939404283,,True,4.965597939404283,
primary,1,1.3,880009,4.693005341148723,,True,4.693005341148723,
