label,arm,d,a,n_crossing,n_branch_switch,n_used,median_branch_over_pop,median_branch_over_own_x1,median_G1switch_over_own_x1,median_r_branch,median_pred_r,tol_as_registered,within_tol,obs_over_pred,frac_s_branch_ge_s_lo
POST HOC,primary,1,1.3,40,40,40,1.0245972620890402,0.999981191912213,0.999981191912213,0.029618437005438647,0.0288671293219987,0.01,True,1.0260264079278365,0.7
POST HOC,primary,1,1.5,40,40,40,1.0263117588715316,0.9998731642593507,0.9998731642593507,0.06263464556922671,0.06255264671812835,0.015638161679532088,True,1.0013108774032833,0.7
POST HOC,primary,2,1.3,36,36,36,1.151248359688433,1.1180923598906118,0.999719596587654,0.025169029653367536,0.0238241951322219,0.01,True,1.056448266717173,0.9444444444444444
POST HOC,primary,2,1.5,36,36,36,1.147610022493061,1.1201055823820347,0.9996582405799179,0.05396382281575196,0.04904876046820795,0.012262190117051987,True,1.1002076770264118,0.9444444444444444
POST HOC,primary,4,1.3,29,29,29,1.4658251678856185,1.4013997358223607,0.9995832866168833,0.019073572244819426,0.0174957801243553,0.01,True,1.0901812956752774,1.0
POST HOC,primary,4,1.5,29,29,29,1.4737868777177603,1.4116253553011007,0.99969838464203,0.038355035989023456,0.0358109048771023,0.01,True,1.0710434746246216,1.0
POST HOC,secondary,2,1.3,112,112,112,1.1619516516333777,1.1180923598906118,0.999719596587654,0.02478217671035987,0.02364060797624635,0.01,True,1.0482884676764892,0.9107142857142857
POST HOC,secondary,2,1.5,112,112,112,1.1607249443140755,1.1201055823820347,0.9996582405799179,0.05146192871208577,0.0493723830232422,0.01234309575581055,True,1.0423221558469218,0.9107142857142857
POST HOC,secondary,4,1.3,90,90,90,1.5034600446054014,1.4013997358223607,0.9995832866168833,0.013873021788663453,0.01660846504095355,0.01,True,0.8352982502871292,1.0
POST HOC,secondary,4,1.5,93,93,93,1.5001577165397728,1.4116253553011007,0.99969838464203,0.03254270352017641,0.0337331540106487,0.01,True,0.964709778098529,0.989247311827957
