arm,d,a,role,n_runs,n_placed_at_init,n_crossing,frac_at_or_above_s_lo,P1,median_r_pop,ref_q1,ref_q3,P2a,P2a_side,n_usable_P2b,median_pred_r,median_obs_r_own,tol,obs_minus_pred,P2b
primary,1,1.3,descriptive width-1 control (not scored),40,0,40,0.875,FAIL,0.055330665876716645,0.035215444706921006,0.1535090163374987,PASS,inside,40.0,0.02886712932199873,0.029798889462470335,0.01,0.0009317601404716033,PASS
primary,1,1.5,descriptive width-1 control (not scored),40,0,40,0.975,PASS,0.08758662090481772,0.07248411971245139,0.18489077519992886,PASS,inside,40.0,0.0625526467181284,0.062232937748967876,0.0156381616795321,-0.0003197089691605176,PASS
primary,2,1.3,registered primary,40,0,36,0.9722222222222222,PASS,0.1816714585814323,0.035215444706921006,0.1535090163374987,FAIL,above,36.0,0.023824195132221955,0.14740548980179446,0.01,0.12358129466957252,FAIL
primary,2,1.5,registered primary,40,0,36,0.9722222222222222,PASS,0.20656424129581308,0.07248411971245139,0.18489077519992886,FAIL,above,36.0,0.04904876046820801,0.18729403218806306,0.012262190117052003,0.13824527171985507,FAIL
primary,4,1.3,registered primary,40,0,29,,UNRESOLVED,,,,UNRESOLVED,,,,,,,UNRESOLVED
primary,4,1.5,registered primary,40,0,29,,UNRESOLVED,,,,UNRESOLVED,,,,,,,UNRESOLVED
secondary,2,1.3,registered secondary (pooled 120 seeds),120,0,112,0.9464285714285714,PASS,0.1892263349643587,0.035215444706921006,0.1535090163374987,FAIL,above,,,,,,not scored (secondary)
secondary,2,1.5,registered secondary (pooled 120 seeds),120,0,112,0.9642857142857143,PASS,0.22593250746830607,0.07248411971245139,0.18489077519992886,FAIL,above,,,,,,not scored (secondary)
secondary,4,1.3,registered secondary (pooled 120 seeds),120,0,90,1.0,PASS,0.527949304819139,0.035215444706921006,0.1535090163374987,FAIL,above,,,,,,not scored (secondary)
secondary,4,1.5,registered secondary (pooled 120 seeds),120,0,93,1.0,PASS,0.5531810115795148,0.07248411971245139,0.18489077519992886,FAIL,above,,,,,,not scored (secondary)
