a,endpoint,init_seed,w2_endpoint,barrier_linear,barrier_mep
1.02,constructed,0,1.0,0.0,0.0
1.02,constructed,1,1.0,0.10635435278892846,0.0
1.02,constructed,2,1.0,0.0,0.0
1.02,constructed,3,1.0,0.0,0.0
1.02,constructed,4,1.0,0.0,0.0
1.02,constructed,5,1.0,0.0,
1.02,constructed,6,1.0,0.07674320092281228,
1.02,constructed,7,1.0,0.04108284933901296,
1.02,constructed,8,1.0,0.0,
1.02,constructed,9,1.0,0.013006946840107059,
1.02,constructed,10,1.0,0.09008178247678089,
1.02,constructed,11,1.0,0.050624087929140194,
1.02,constructed,12,1.0,0.048298239492355455,
1.02,constructed,13,1.0,0.026771037841891165,
1.02,constructed,14,1.0,0.07095869715356762,
1.02,constructed,15,1.0,0.03253612533656658,
1.02,constructed,16,1.0,0.1241906899730566,
1.02,constructed,17,1.0,0.0,
1.02,constructed,18,1.0,0.0,
1.02,constructed,19,1.0,0.0,
1.05,constructed,0,1.0,0.0,0.0
1.05,constructed,1,1.0,0.10339684011585093,0.0
1.05,constructed,2,1.0,0.0,0.0
1.05,constructed,3,1.0,0.0,0.0
1.05,constructed,4,1.0,0.0,0.0
1.05,constructed,5,1.0,0.0,
1.05,constructed,6,1.0,0.07316851225280763,
1.05,constructed,7,1.0,0.038503497032861156,
1.05,constructed,8,1.0,0.0,
1.05,constructed,9,1.0,0.021967850217161633,
1.05,constructed,10,1.0,0.0911670581733176,
1.05,constructed,11,1.0,0.0649400619180166,
1.05,constructed,12,1.0,0.052423733044164256,
1.05,constructed,13,1.0,0.03594440115709896,
1.05,constructed,14,1.0,0.07202491339657269,
1.05,constructed,15,1.0,0.031213269588416415,
1.05,constructed,16,1.0,0.1268134699484792,
1.05,constructed,17,1.0,0.0,
1.05,constructed,18,1.0,0.0,
1.05,constructed,19,1.0,0.0,
1.1,constructed,0,1.0,0.0,0.0
1.1,constructed,1,1.0,0.09845176156948199,0.0
1.1,constructed,2,1.0,0.0,0.0
1.1,constructed,3,1.0,0.0,0.0
1.1,constructed,4,1.0,0.0,0.0
1.1,constructed,5,1.0,0.0,
1.1,constructed,6,1.0,0.06548150209284875,
1.1,constructed,7,1.0,0.03563042025292895,
1.1,constructed,8,1.0,0.0,
1.1,constructed,9,1.0,0.033755779045641754,
1.1,constructed,10,1.0,0.09219049599893236,
1.1,constructed,11,1.0,0.08358320658407703,
1.1,constructed,12,1.0,0.05790792640646014,
1.1,constructed,13,1.0,0.04953115150880194,
1.1,constructed,14,1.0,0.07347762417177195,
1.1,constructed,15,1.0,0.029480086836560337,
1.1,constructed,16,1.0,0.12977838790405816,
1.1,constructed,17,1.0,0.0,
1.1,constructed,18,1.0,0.0,
1.1,constructed,19,1.0,0.0,
1.25,constructed,0,1.0,0.003708197427587878,0.0
1.25,constructed,1,1.0,0.0838224507142562,0.0
1.25,constructed,2,1.0,0.0,0.0
