init_seed,alpha,loss,a,kind
0,0.0,0.9604928493499756,1.02,constructed
0,0.05,49.079994201660156,1.02,constructed
0,0.1,151.60488891601562,1.02,constructed
0,0.15,289.259033203125,1.02,constructed
0,0.2,444.2000732421875,1.02,constructed
0,0.25,599.121337890625,1.02,constructed
0,0.3,738.8980102539062,1.02,constructed
0,0.35,851.0899658203125,1.02,constructed
0,0.4,926.2578125,1.02,constructed
0,0.45,959.5650634765625,1.02,constructed
0,0.5,949.0340576171875,1.02,constructed
0,0.55,896.8321533203125,1.02,constructed
0,0.6,808.8751220703125,1.02,constructed
0,0.65,693.572021484375,1.02,constructed
0,0.7,560.9708862304688,1.02,constructed
0,0.75,420.81988525390625,1.02,constructed
0,0.8,289.656982421875,1.02,constructed
0,0.85,173.8575897216797,1.02,constructed
0,0.9,83.35166931152344,1.02,constructed
0,0.95,31.576812744140625,1.02,constructed
0,1.0,0.00018327613361179829,1.02,constructed
1,0.0,0.8491948843002319,1.02,constructed
1,0.05,31.766799926757812,1.02,constructed
1,0.1,31.78175926208496,1.02,constructed
1,0.15,3.28135347366333,1.02,constructed
1,0.2,61.0942497253418,1.02,constructed
1,0.25,130.42861938476562,1.02,constructed
1,0.3,195.92466735839844,1.02,constructed
1,0.35,243.75694274902344,1.02,constructed
1,0.4,264.215087890625,1.02,constructed
1,0.45,253.85374450683594,1.02,constructed
1,0.5,214.19598388671875,1.02,constructed
1,0.55,152.76353454589844,1.02,constructed
1,0.6,81.72154998779297,1.02,constructed
1,0.65,12.420652389526367,1.02,constructed
1,0.7,55.66337585449219,1.02,constructed
1,0.75,99.30917358398438,1.02,constructed
1,0.8,112.8310546875,1.02,constructed
1,0.85,98.3680419921875,1.02,constructed
1,0.9,61.970420837402344,1.02,constructed
1,0.95,21.752458572387695,1.02,constructed
1,1.0,0.00018327613361179829,1.02,constructed
2,0.0,0.7127940654754639,1.02,constructed
2,0.05,24.096397399902344,1.02,constructed
2,0.1,50.69451141357422,1.02,constructed
2,0.15,73.97904968261719,1.02,constructed
2,0.2,92.63411712646484,1.02,constructed
2,0.25,108.74185180664062,1.02,constructed
2,0.3,124.91667938232422,1.02,constructed
2,0.35,144.0692596435547,1.02,constructed
2,0.4,167.35226440429688,1.02,constructed
2,0.45,193.90805053710938,1.02,constructed
2,0.5,221.4473419189453,1.02,constructed
2,0.55,245.53855895996094,1.02,constructed
2,0.6,261.2647705078125,1.02,constructed
2,0.65,263.9447021484375,1.02,constructed
2,0.7,250.7946319580078,1.02,constructed
2,0.75,220.4106903076172,1.02,constructed
2,0.8,175.82533264160156,1.02,constructed
2,0.85,123.58689880371094,1.02,constructed
2,0.9,68.19136047363281,1.02,constructed
2,0.95,25.737857818603516,1.02,constructed
2,1.0,0.00018327613361179829,1.02,constructed
3,0.0,0.6706613898277283,1.02,constructed
3,0.05,2.1063361167907715,1.02,constructed
3,0.1,66.23393249511719,1.02,constructed
3,0.15,221.1790771484375,1.02,constructed
3,0.2,447.96685791015625,1.02,constructed
3,0.25,712.0836181640625,1.02,constructed
3,0.3,970.630615234375,1.02,constructed
3,0.35,1181.6492919921875,1.02,constructed
3,0.4,1312.757568359375,1.02,constructed
3,0.45,1344.71630859375,1.02,constructed
3,0.5,1275.9417724609375,1.02,constructed
3,0.55,1117.52001953125,1.02,constructed
