a,kind,depth,data_seed,epsilon,recovered,n
1.02,constructed,4,9,0.003,2,20
1.02,constructed,4,9,0.01,0,20
1.02,constructed,4,9,0.03,0,20
1.02,constructed,4,9,0.1,0,20
1.02,constructed,4,9,0.3,0,20
1.02,constructed,4,9,1.0,0,20
1.05,constructed,4,4,0.003,5,20
1.05,constructed,4,4,0.01,2,20
1.05,constructed,4,4,0.03,1,20
1.05,constructed,4,4,0.1,0,20
1.05,constructed,4,4,0.3,0,20
1.05,constructed,4,4,1.0,0,20
1.1,constructed,4,4,0.003,9,20
1.1,constructed,4,4,0.01,5,20
1.1,constructed,4,4,0.03,2,20
1.1,constructed,4,4,0.1,0,20
1.1,constructed,4,4,0.3,0,20
1.1,constructed,4,4,1.0,0,20
1.09,found,5,4,0.003,20,20
1.09,found,5,4,0.01,20,20
1.09,found,5,4,0.03,20,20
1.09,found,5,4,0.1,20,20
1.09,found,5,4,0.3,7,20
1.09,found,5,4,1.0,0,20
1.1,found,5,4,0.003,20,20
1.1,found,5,4,0.01,20,20
1.1,found,5,4,0.03,20,20
1.1,found,5,4,0.1,19,20
1.1,found,5,4,0.3,12,20
1.1,found,5,4,1.0,1,20
1.25,found,5,0,0.003,20,20
1.25,found,5,0,0.01,20,20
1.25,found,5,0,0.03,20,20
1.25,found,5,0,0.1,20,20
1.25,found,5,0,0.3,10,20
1.25,found,5,0,1.0,1,20
2.0,found,5,0,0.003,20,20
2.0,found,5,0,0.01,20,20
2.0,found,5,0,0.03,20,20
2.0,found,5,0,0.1,20,20
2.0,found,5,0,0.3,17,20
2.0,found,5,0,1.0,2,20
3.0,found,5,0,0.003,20,20
3.0,found,5,0,0.01,19,20
3.0,found,5,0,0.03,17,20
3.0,found,5,0,0.1,19,20
3.0,found,5,0,0.3,14,20
3.0,found,5,0,1.0,1,20
