dataset,depth,width,activation,seed,layer,distance_from_output,quantizer,min_between_class_distance,min_between_class_chebyshev,quantization_step,margin_in_steps,margin_in_steps_chebyshev,margin_below_one,between_class_collision_pairs,recovery_max_saturation_deviation,collision_group_pure_fraction,collision_group_count
linked_tori,4,5,tanh,0,1,3,float64,0.183664967925003,0.11051147714053178,1.1102230246251565e-16,1654306962216115.2,995398894540524.0,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,1,3,float32,0.183664967925003,0.11051147714053178,5.960464477539063e-08,3081386.838510847,1854074.922465764,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,1,3,float16,0.183664967925003,0.11051147714053178,0.00048828125,376.14585431040615,226.32750518380908,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,1,3,bfloat16,0.183664967925003,0.11051147714053178,0.00390625,47.01823178880077,28.290938147976135,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,1,3,fixed-8,0.183664967925003,0.11051147714053178,0.0078125,23.509115894400384,14.145469073988068,False,0,0.0,1.0,5.0
linked_tori,4,5,tanh,0,1,3,fixed-6,0.183664967925003,0.11051147714053178,0.03125,5.877278973600096,3.536367268497017,False,0,0.0,1.0,71.0
linked_tori,4,5,tanh,0,1,3,fixed-4,0.183664967925003,0.11051147714053178,0.125,1.469319743400024,0.8840918171242542,True,0,0.0,1.0,422.0
linked_tori,4,5,tanh,0,2,2,float64,0.236361460646679,0.13190724388231512,1.1102230246251565e-16,2128954772186259.5,1188114828791727.0,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,2,2,float32,0.236361460646679,0.13190724388231512,5.960464477539063e-08,3965487.2793448335,2213036.3225782793,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,2,2,float16,0.236361460646679,0.13190724388231512,0.00048828125,484.0682714043986,270.14603547098136,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,2,2,bfloat16,0.236361460646679,0.13190724388231512,0.00390625,60.50853392554983,33.76825443387267,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,2,2,fixed-8,0.236361460646679,0.13190724388231512,0.0078125,30.254266962774913,16.884127216936335,False,0,0.0,1.0,7.0
linked_tori,4,5,tanh,0,2,2,fixed-6,0.236361460646679,0.13190724388231512,0.03125,7.563566740693728,4.221031804234084,False,0,0.0,1.0,224.0
linked_tori,4,5,tanh,0,2,2,fixed-4,0.236361460646679,0.13190724388231512,0.125,1.890891685173432,1.055257951058521,False,0,0.0,1.0,308.0
linked_tori,4,5,tanh,0,3,1,float64,0.6858270604938319,0.36497958916064444,1.1102230246251565e-16,6177380988161248.0,3287443883483430.0,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,3,1,float32,0.6858270604938319,0.36497958916064444,5.960464477539063e-08,11506268.732550085,6123341.40293939,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,3,1,float16,0.6858270604938319,0.36497958916064444,0.00048828125,1404.5738198913677,747.4781986009998,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,3,1,bfloat16,0.6858270604938319,0.36497958916064444,0.00390625,175.57172748642097,93.43477482512498,False,0,0.0,1.0,12.0
linked_tori,4,5,tanh,0,3,1,fixed-8,0.6858270604938319,0.36497958916064444,0.0078125,87.78586374321048,46.71738741256249,False,0,0.0,1.0,82.0
linked_tori,4,5,tanh,0,3,1,fixed-6,0.6858270604938319,0.36497958916064444,0.03125,21.94646593580262,11.679346853140622,False,0,0.0,1.0,386.0
linked_tori,4,5,tanh,0,3,1,fixed-4,0.6858270604938319,0.36497958916064444,0.125,5.486616483950655,2.9198367132851555,False,0,0.0,1.0,185.0
linked_tori,4,5,tanh,0,4,0,float64,2.8637294734070933,1.373661042794694,1.1102230246251565e-16,2.5794181978652184e+16,1.2372838720927102e+16,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,4,0,float32,2.8637294734070933,1.373661042794694,5.960464477539063e-08,48045407.94091706,23046208.025751825,False,0,0.0,,0.0
linked_tori,4,5,tanh,0,4,0,float16,2.8637294734070933,1.373661042794694,0.00048828125,5864.917961537727,2813.2578156435334,False,0,0.0,1.0,163.0
linked_tori,4,5,tanh,0,4,0,bfloat16,2.8637294734070933,1.373661042794694,0.00390625,733.1147451922159,351.6572269554417,False,0,0.0,1.0,185.0
linked_tori,4,5,tanh,0,4,0,fixed-8,2.8637294734070933,1.373661042794694,0.0078125,366.55737259610794,175.82861347772084,False,0,0.0,1.0,164.0
linked_tori,4,5,tanh,0,4,0,fixed-6,2.8637294734070933,1.373661042794694,0.03125,91.63934314902698,43.95715336943021,False,0,0.0,1.0,75.0
linked_tori,4,5,tanh,0,4,0,fixed-4,2.8637294734070933,1.373661042794694,0.125,22.909835787256746,10.989288342357552,False,0,0.0,1.0,23.0
linked_tori,4,5,tanh,1,1,3,float64,0.14907183050334807,0.0833451041946667,1.1102230246251565e-16,1342719680612632.2,750705960388512.2,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,1,3,float32,0.14907183050334807,0.0833451041946667,5.960464477539063e-08,2501010.2998700594,1398298.8156164293,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,1,3,float16,0.14907183050334807,0.0833451041946667,0.00048828125,305.29910887085686,170.6907733906774,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,1,3,bfloat16,0.14907183050334807,0.0833451041946667,0.00390625,38.16238860885711,21.336346673834676,False,0,0.0,1.0,1.0
linked_tori,4,5,tanh,1,1,3,fixed-8,0.14907183050334807,0.0833451041946667,0.0078125,19.081194304428553,10.668173336917338,False,0,0.0,1.0,3.0
linked_tori,4,5,tanh,1,1,3,fixed-6,0.14907183050334807,0.0833451041946667,0.03125,4.770298576107138,2.6670433342293345,False,0,0.0,1.0,103.0
linked_tori,4,5,tanh,1,1,3,fixed-4,0.14907183050334807,0.0833451041946667,0.125,1.1925746440267846,0.6667608335573336,True,0,0.0,1.0,417.0
linked_tori,4,5,tanh,1,2,2,float64,0.17675804904827863,0.1368798616203652,1.1102230246251565e-16,1592094967657127.0,1232904187576003.5,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,2,2,float32,0.17675804904827863,0.1368798616203652,5.960464477539063e-08,2965507.968621565,2296463.004454977,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,2,2,float16,0.17675804904827863,0.1368798616203652,0.00048828125,362.00048445087464,280.3299565985079,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,2,2,bfloat16,0.17675804904827863,0.1368798616203652,0.0078125,22.625030278179665,17.520622287406745,False,0,0.0,1.0,2.0
linked_tori,4,5,tanh,1,2,2,fixed-8,0.17675804904827863,0.1368798616203652,0.0078125,22.625030278179665,17.520622287406745,False,0,0.0,1.0,17.0
linked_tori,4,5,tanh,1,2,2,fixed-6,0.17675804904827863,0.1368798616203652,0.03125,5.656257569544916,4.380155571851686,False,0,0.0,1.0,187.0
linked_tori,4,5,tanh,1,2,2,fixed-4,0.17675804904827863,0.1368798616203652,0.125,1.414064392386229,1.0950388929629216,False,0,0.0,1.0,346.0
linked_tori,4,5,tanh,1,3,1,float64,0.6439697189674494,0.35182645980998717,1.1102230246251565e-16,5800363572759376.0,3168971026598678.0,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,3,1,float32,0.6439697189674494,0.35182645980998717,5.960464477539063e-08,10804019.072576195,5902668.510747474,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,3,1,float16,0.6439697189674494,0.35182645980998717,0.00048828125,1318.8499844453363,720.5405896908537,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,3,1,bfloat16,0.6439697189674494,0.35182645980998717,0.00390625,164.85624805566704,90.06757371135672,False,0,0.0,1.0,5.0
linked_tori,4,5,tanh,1,3,1,fixed-8,0.6439697189674494,0.35182645980998717,0.0078125,82.42812402783352,45.03378685567836,False,0,0.0,1.0,79.0
linked_tori,4,5,tanh,1,3,1,fixed-6,0.6439697189674494,0.35182645980998717,0.03125,20.60703100695838,11.25844671391959,False,0,0.0,1.0,293.0
linked_tori,4,5,tanh,1,3,1,fixed-4,0.6439697189674494,0.35182645980998717,0.125,5.151757751739595,2.8146116784798973,False,0,0.0,1.0,240.0
linked_tori,4,5,tanh,1,4,0,float64,2.892764229864657,1.5581756598663827,1.1102230246251565e-16,2.605570381537834e+16,1.4034798642304036e+16,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,4,0,float32,2.892764229864657,1.5581756598663827,5.960464477539063e-08,48532530.321513005,26141849.611520834,False,0,0.0,,0.0
linked_tori,4,5,tanh,1,4,0,float16,2.892764229864657,1.5581756598663827,0.00048828125,5924.381142762818,3191.143751406352,False,0,0.0,1.0,132.0
linked_tori,4,5,tanh,1,4,0,bfloat16,2.892764229864657,1.5581756598663827,0.00390625,740.5476428453522,398.892968925794,False,0,0.0,1.0,225.0
linked_tori,4,5,tanh,1,4,0,fixed-8,2.892764229864657,1.5581756598663827,0.0078125,370.2738214226761,199.446484462897,False,0,0.0,1.0,223.0
linked_tori,4,5,tanh,1,4,0,fixed-6,2.892764229864657,1.5581756598663827,0.03125,92.56845535566903,49.86162111572425,False,0,0.0,1.0,107.0
linked_tori,4,5,tanh,1,4,0,fixed-4,2.892764229864657,1.5581756598663827,0.125,23.142113838917258,12.465405278931062,False,0,0.0,1.0,28.0
linked_tori,4,5,tanh,3,1,3,float64,0.1681719820456628,0.0890272790729025,1.1102230246251565e-16,1514758551350009.5,801886441717065.8,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,1,3,float32,0.1681719820456628,0.0890272790729025,5.960464477539063e-08,2821457.6679282067,1493629.890898365,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,1,3,float16,0.1681719820456628,0.0890272790729025,0.00048828125,344.4162192295174,182.32786754130433,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,1,3,bfloat16,0.1681719820456628,0.0890272790729025,0.00390625,43.05202740368968,22.79098344266304,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,1,3,fixed-8,0.1681719820456628,0.0890272790729025,0.0078125,21.52601370184484,11.39549172133152,False,0,0.0,1.0,4.0
linked_tori,4,5,tanh,3,1,3,fixed-6,0.1681719820456628,0.0890272790729025,0.03125,5.38150342546121,2.84887293033288,False,0,0.0,1.0,89.0
linked_tori,4,5,tanh,3,1,3,fixed-4,0.1681719820456628,0.0890272790729025,0.125,1.3453758563653024,0.71221823258322,True,0,0.0,1.0,393.0
linked_tori,4,5,tanh,3,2,2,float64,0.2023418527666343,0.12148744800179587,1.1102230246251565e-16,1822533385442540.0,1094261651102160.8,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,2,2,float32,0.2023418527666343,0.12148744800179587,5.960464477539063e-08,3394732.9697060212,2038221.1564148976,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,2,2,float16,0.2023418527666343,0.12148744800179587,0.00048828125,414.39611446606705,248.80629350767794,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,2,2,bfloat16,0.2023418527666343,0.12148744800179587,0.0078125,25.89975715412919,15.550393344229871,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,2,2,fixed-8,0.2023418527666343,0.12148744800179587,0.0078125,25.89975715412919,15.550393344229871,False,0,0.0,1.0,26.0
linked_tori,4,5,tanh,3,2,2,fixed-6,0.2023418527666343,0.12148744800179587,0.03125,6.474939288532298,3.8875983360574677,False,0,0.0,1.0,210.0
linked_tori,4,5,tanh,3,2,2,fixed-4,0.2023418527666343,0.12148744800179587,0.125,1.6187348221330744,0.9718995840143669,True,0,0.0,1.0,299.0
linked_tori,4,5,tanh,3,3,1,float64,0.6506940030033347,0.34079861581007354,5.551115123125783e-17,1.1721861077832138e+16,6139282076682512.0,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,3,1,float32,0.6506940030033347,0.34079861581007354,2.9802322387695312e-08,21833667.67658319,11435303.979893237,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,3,1,float16,0.6506940030033347,0.34079861581007354,0.000244140625,2665.242636301659,1395.9111303580612,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,3,1,bfloat16,0.6506940030033347,0.34079861581007354,0.001953125,333.15532953770736,174.48889129475765,False,0,0.0,1.0,3.0
linked_tori,4,5,tanh,3,3,1,fixed-8,0.6506940030033347,0.34079861581007354,0.0078125,83.28883238442684,43.62222282368941,False,0,0.0,1.0,42.0
linked_tori,4,5,tanh,3,3,1,fixed-6,0.6506940030033347,0.34079861581007354,0.03125,20.82220809610671,10.905555705922353,False,0,0.0,1.0,323.0
linked_tori,4,5,tanh,3,3,1,fixed-4,0.6506940030033347,0.34079861581007354,0.125,5.2055520240266775,2.7263889264805883,False,0,0.0,1.0,242.0
linked_tori,4,5,tanh,3,4,0,float64,2.5675059226151085,1.440972921948924,1.1102230246251565e-16,2.312603743272189e+16,1.2979130228680298e+16,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,4,0,float32,2.5675059226151085,1.440972921948924,5.960464477539063e-08,43075601.44499296,24175513.96168824,False,0,0.0,,0.0
linked_tori,4,5,tanh,3,4,0,float16,2.5675059226151085,1.440972921948924,0.00048828125,5258.252129515742,2951.1125441513964,False,0,0.0,1.0,105.0
linked_tori,4,5,tanh,3,4,0,bfloat16,2.5675059226151085,1.440972921948924,0.00390625,657.2815161894678,368.88906801892455,False,0,0.0,1.0,252.0
linked_tori,4,5,tanh,3,4,0,fixed-8,2.5675059226151085,1.440972921948924,0.0078125,328.6407580947339,184.44453400946227,False,0,0.0,1.0,249.0
linked_tori,4,5,tanh,3,4,0,fixed-6,2.5675059226151085,1.440972921948924,0.03125,82.16018952368347,46.11113350236557,False,0,0.0,1.0,124.0
linked_tori,4,5,tanh,3,4,0,fixed-4,2.5675059226151085,1.440972921948924,0.125,20.540047380920868,11.527783375591392,False,0,0.0,1.0,29.0
linked_tori,4,5,tanh,4,1,3,float64,0.25254073851211095,0.13765992753457912,1.1102230246251565e-16,2274684751718025.5,1239930396697160.0,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,1,3,float32,0.25254073851211095,0.13765992753457912,5.960464477539063e-08,4236930.518817204,2309550.3387919813,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,1,3,float16,0.25254073851211095,0.13765992753457912,0.00048828125,517.2034324728032,281.92753159081803,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,1,3,bfloat16,0.25254073851211095,0.13765992753457912,0.00390625,64.6504290591004,35.240941448852254,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,1,3,fixed-8,0.25254073851211095,0.13765992753457912,0.0078125,32.3252145295502,17.620470724426127,False,0,0.0,1.0,1.0
linked_tori,4,5,tanh,4,1,3,fixed-6,0.25254073851211095,0.13765992753457912,0.03125,8.08130363238755,4.405117681106532,False,0,0.0,1.0,64.0
linked_tori,4,5,tanh,4,1,3,fixed-4,0.25254073851211095,0.13765992753457912,0.125,2.0203259080968876,1.101279420276633,False,0,0.0,1.0,418.0
linked_tori,4,5,tanh,4,2,2,float64,0.2852182883117977,0.17097047704105078,1.1102230246251565e-16,2569017953920525.5,1539965153386864.5,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,2,2,float32,0.2852182883117977,0.17097047704105078,5.960464477539063e-08,4785168.830157305,2868408.62294075,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,2,2,float16,0.2852182883117977,0.17097047704105078,0.00048828125,584.1270544625617,350.147536980072,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,2,2,bfloat16,0.2852182883117977,0.17097047704105078,0.001953125,146.03176361564041,87.536884245018,False,0,0.0,1.0,2.0
linked_tori,4,5,tanh,4,2,2,fixed-8,0.2852182883117977,0.17097047704105078,0.0078125,36.507940903910104,21.8842210612545,False,0,0.0,1.0,13.0
linked_tori,4,5,tanh,4,2,2,fixed-6,0.2852182883117977,0.17097047704105078,0.03125,9.126985225977526,5.471055265313625,False,0,0.0,1.0,172.0
linked_tori,4,5,tanh,4,2,2,fixed-4,0.2852182883117977,0.17097047704105078,0.125,2.2817463064943815,1.3677638163284063,False,0,0.0,1.0,379.0
linked_tori,4,5,tanh,4,3,1,float64,0.8599742327787152,0.44358891030655706,5.551115123125783e-17,1.54919185371618e+16,7990987404649179.0,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,3,1,float32,0.8599742327787152,0.44358891030655706,2.9802322387695312e-08,28855946.91552557,14884373.926835468,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,3,1,float16,0.8599742327787152,0.44358891030655706,0.000244140625,3522.4544574616175,1816.9401766156577,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,3,1,bfloat16,0.8599742327787152,0.44358891030655706,0.001953125,440.3068071827022,227.11752207695721,False,0,0.0,1.0,1.0
linked_tori,4,5,tanh,4,3,1,fixed-8,0.8599742327787152,0.44358891030655706,0.0078125,110.07670179567555,56.779380519239304,False,0,0.0,1.0,33.0
linked_tori,4,5,tanh,4,3,1,fixed-6,0.8599742327787152,0.44358891030655706,0.03125,27.519175448918887,14.194845129809826,False,0,0.0,1.0,310.0
linked_tori,4,5,tanh,4,3,1,fixed-4,0.8599742327787152,0.44358891030655706,0.125,6.879793862229722,3.5487112824524565,False,0,0.0,1.0,244.0
linked_tori,4,5,tanh,4,4,0,float64,3.294510145840964,1.5486570127221895,1.1102230246251565e-16,2.967430933035537e+16,1.3949062290840716e+16,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,4,0,float32,3.294510145840964,1.5486570127221895,5.960464477539063e-08,55272708.330965355,25982153.21235492,False,0,0.0,,0.0
linked_tori,4,5,tanh,4,4,0,float16,3.294510145840964,1.5486570127221895,0.00048828125,6747.156778682294,3171.649562055044,False,0,0.0,1.0,109.0
linked_tori,4,5,tanh,4,4,0,bfloat16,3.294510145840964,1.5486570127221895,0.00390625,843.3945973352868,396.4561952568805,False,0,0.0,1.0,224.0
linked_tori,4,5,tanh,4,4,0,fixed-8,3.294510145840964,1.5486570127221895,0.0078125,421.6972986676434,198.22809762844025,False,0,0.0,1.0,167.0
linked_tori,4,5,tanh,4,4,0,fixed-6,3.294510145840964,1.5486570127221895,0.03125,105.42432466691085,49.55702440711006,False,0,0.0,1.0,94.0
linked_tori,4,5,tanh,4,4,0,fixed-4,3.294510145840964,1.5486570127221895,0.125,26.356081166727712,12.389256101777516,False,0,0.0,1.0,19.0
linked_tori,4,15,tanh,0,1,3,float64,0.5296955087407011,0.23329481820627768,1.1102230246251565e-16,4771072991568894.0,2101332912682519.5,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,1,3,float32,0.5296955087407011,0.23329481820627768,5.960464477539063e-08,8886815.964372631,3914037.556727453,False,0,0.0,,0.0
linked_tori,4,15,tanh,0,1,3,float16,0.5296955087407011,0.23329481820627768,0.00048828125,1084.816401900956,477.7877876864567,False,0,0.0,,0.0
