act,budget,k,n,frac,ci95_lo,ci95_hi,reaches_half
1.35,1000,0,20,0.0,0.0,0.1684334709830853,False
1.35,4000,1,20,0.05,0.0012650894979498032,0.24873276277202777,False
1.35,16000,2,20,0.1,0.0123485271702948,0.3169827140190823,False
1.35,64000,2,20,0.1,0.0123485271702948,0.3169827140190823,False
1.5,1000,0,20,0.0,0.0,0.1684334709830853,False
1.5,4000,1,20,0.05,0.0012650894979498032,0.24873276277202777,False
1.5,16000,1,20,0.05,0.0012650894979498032,0.24873276277202777,False
1.5,64000,1,20,0.05,0.0012650894979498032,0.24873276277202777,False
2.0,1000,0,20,0.0,0.0,0.1684334709830853,False
2.0,4000,2,20,0.1,0.0123485271702948,0.3169827140190823,False
2.0,16000,3,20,0.15,0.03207093718546371,0.3789268265453139,False
2.0,64000,3,20,0.15,0.03207093718546371,0.3789268265453139,False
3.0,1000,1,20,0.05,0.0012650894979498032,0.24873276277202777,False
3.0,4000,5,20,0.25,0.08657146910143453,0.49104587170795744,False
3.0,16000,6,20,0.3,0.11893159040572765,0.5427891822762891,False
3.0,64000,7,20,0.35,0.15390920478454115,0.592188534532828,False
gelu,1000,0,20,0.0,0.0,0.1684334709830853,False
gelu,4000,1,20,0.05,0.0012650894979498032,0.24873276277202777,False
gelu,16000,5,20,0.25,0.08657146910143453,0.49104587170795744,False
gelu,64000,6,20,0.3,0.11893159040572765,0.5427891822762891,False
