act,depth,seed,cls,coord_lo,coord_hi,n,errors
relu,5,0,A,-1.0,-0.8,9944,152
relu,5,0,A,-0.8,-0.6,9898,105
relu,5,0,A,-0.6,-0.3999999999999999,10077,90
relu,5,0,A,-0.3999999999999999,-0.19999999999999996,9929,66
relu,5,0,A,-0.19999999999999996,0.0,10057,64
relu,5,0,A,0.0,0.20000000000000018,10082,60
relu,5,0,A,0.20000000000000018,0.40000000000000013,10074,51
relu,5,0,A,0.40000000000000013,0.6000000000000001,10178,80
relu,5,0,A,0.6000000000000001,0.8,9908,94
relu,5,0,A,0.8,1.0,9853,187
relu,5,0,B,-1.0,-0.8,9989,9989
relu,5,0,B,-0.8,-0.6,10064,6359
relu,5,0,B,-0.6,-0.3999999999999999,9949,10
relu,5,0,B,-0.3999999999999999,-0.19999999999999996,10078,0
relu,5,0,B,-0.19999999999999996,0.0,9875,0
relu,5,0,B,0.0,0.20000000000000018,10018,0
relu,5,0,B,0.20000000000000018,0.40000000000000013,10030,0
relu,5,0,B,0.40000000000000013,0.6000000000000001,10029,0
relu,5,0,B,0.6000000000000001,0.8,9901,0
relu,5,0,B,0.8,1.0,10067,626
relu,5,1,A,-1.0,-0.8,9932,0
relu,5,1,A,-0.8,-0.6,9980,0
relu,5,1,A,-0.6,-0.3999999999999999,9821,0
relu,5,1,A,-0.3999999999999999,-0.19999999999999996,10080,0
relu,5,1,A,-0.19999999999999996,0.0,9988,0
relu,5,1,A,0.0,0.20000000000000018,9866,2
relu,5,1,A,0.20000000000000018,0.40000000000000013,10184,717
relu,5,1,A,0.40000000000000013,0.6000000000000001,10039,332
relu,5,1,A,0.6000000000000001,0.8,10103,0
relu,5,1,A,0.8,1.0,10007,0
relu,5,1,B,-1.0,-0.8,9993,18
relu,5,1,B,-0.8,-0.6,10096,97
relu,5,1,B,-0.6,-0.3999999999999999,10149,3
relu,5,1,B,-0.3999999999999999,-0.19999999999999996,10009,0
relu,5,1,B,-0.19999999999999996,0.0,9894,0
relu,5,1,B,0.0,0.20000000000000018,10016,0
relu,5,1,B,0.20000000000000018,0.40000000000000013,9888,0
relu,5,1,B,0.40000000000000013,0.6000000000000001,10108,0
relu,5,1,B,0.6000000000000001,0.8,9874,0
relu,5,1,B,0.8,1.0,9973,0
relu,5,2,A,-1.0,-0.8,9971,112
relu,5,2,A,-0.8,-0.6,10193,106
relu,5,2,A,-0.6,-0.3999999999999999,9905,80
relu,5,2,A,-0.3999999999999999,-0.19999999999999996,10113,12
relu,5,2,A,-0.19999999999999996,0.0,10087,3
relu,5,2,A,0.0,0.20000000000000018,9963,1
relu,5,2,A,0.20000000000000018,0.40000000000000013,9891,0
relu,5,2,A,0.40000000000000013,0.6000000000000001,10004,5
relu,5,2,A,0.6000000000000001,0.8,9873,249
relu,5,2,A,0.8,1.0,10000,2470
relu,5,2,B,-1.0,-0.8,10078,154
relu,5,2,B,-0.8,-0.6,9910,471
relu,5,2,B,-0.6,-0.3999999999999999,10029,360
relu,5,2,B,-0.3999999999999999,-0.19999999999999996,9946,83
relu,5,2,B,-0.19999999999999996,0.0,10292,24
relu,5,2,B,0.0,0.20000000000000018,9938,3
relu,5,2,B,0.20000000000000018,0.40000000000000013,9880,0
relu,5,2,B,0.40000000000000013,0.6000000000000001,9953,0
relu,5,2,B,0.6000000000000001,0.8,9948,0
relu,5,2,B,0.8,1.0,10026,1031
