budget,a,n,k,acc_med,k_big,frac
1000,0.9,20,0,0.96685,0,0.0
1000,1.0,20,0,0.970575,0,0.0
1000,1.05,20,0,0.975325,0,0.0
1000,1.1,20,0,0.9768,0,0.0
1000,1.2,20,0,0.97755,0,0.0
1000,1.35,20,0,0.9831,0,0.0
1000,1.5,20,0,0.98515,0,0.0
1000,2.0,20,0,0.9892,0,0.0
1000,3.0,20,1,0.9908,0,0.05
4000,0.9,20,0,0.991175,0,0.0
4000,1.0,20,0,0.9936750000000001,0,0.0
4000,1.05,20,0,0.993025,0,0.0
4000,1.1,20,0,0.994775,0,0.0
4000,1.2,20,0,0.9956,0,0.0
4000,1.35,20,1,0.9966999999999999,0,0.05
4000,1.5,20,1,0.996975,1,0.05
4000,2.0,20,2,0.996975,2,0.1
4000,3.0,20,5,0.9969250000000001,4,0.25
16000,0.9,20,0,0.9957499999999999,0,0.0
16000,1.0,20,0,0.995375,0,0.0
16000,1.05,20,0,0.99545,0,0.0
16000,1.1,20,0,0.9962,0,0.0
16000,1.2,20,0,0.996975,0,0.0
16000,1.35,20,2,0.9972,0,0.1
16000,1.5,20,1,0.997825,1,0.05
16000,2.0,20,3,0.997725,3,0.15
16000,3.0,20,6,0.997675,6,0.3
64000,0.9,20,0,0.9967250000000001,0,0.0
64000,1.0,20,0,0.9961500000000001,0,0.0
64000,1.05,20,0,0.99595,0,0.0
64000,1.1,20,0,0.9965999999999999,0,0.0
64000,1.2,20,0,0.99755,0,0.0
64000,1.35,20,2,0.9977,1,0.1
64000,1.5,20,1,0.9978750000000001,1,0.05
64000,2.0,20,3,0.9975750000000001,3,0.15
64000,3.0,20,7,0.998,7,0.35
