budget,a,n,k,acc_med,frac
1000,0.9,20,0,0.8235,0.0
1000,1.0,20,0,0.822425,0.0
1000,1.05,20,0,0.81105,0.0
1000,1.1,20,0,0.8170999999999999,0.0
1000,1.2,20,0,0.807175,0.0
1000,1.35,20,0,0.838075,0.0
1000,1.5,20,0,0.8442500000000001,0.0
1000,2.0,20,0,0.837075,0.0
1000,3.0,20,0,0.8252250000000001,0.0
4000,0.9,20,0,0.88035,0.0
4000,1.0,20,0,0.88125,0.0
4000,1.05,20,0,0.877075,0.0
4000,1.1,20,0,0.877375,0.0
4000,1.2,20,0,0.87965,0.0
4000,1.35,20,0,0.8961749999999999,0.0
4000,1.5,20,0,0.899925,0.0
4000,2.0,20,0,0.8747,0.0
4000,3.0,20,0,0.860125,0.0
16000,0.9,20,0,0.9077,0.0
16000,1.0,20,0,0.9058999999999999,0.0
16000,1.05,20,0,0.89995,0.0
16000,1.1,20,0,0.904825,0.0
16000,1.2,20,0,0.905,0.0
16000,1.35,20,0,0.93455,0.0
16000,1.5,20,0,0.9258500000000001,0.0
16000,2.0,20,0,0.88965,0.0
16000,3.0,20,0,0.8766499999999999,0.0
64000,0.9,20,0,0.921625,0.0
64000,1.0,20,0,0.920975,0.0
64000,1.05,20,0,0.920775,0.0
64000,1.1,20,0,0.917475,0.0
64000,1.2,20,0,0.9184749999999999,0.0
64000,1.35,20,0,0.933875,0.0
64000,1.5,20,0,0.932,0.0
64000,2.0,20,0,0.895275,0.0
64000,3.0,20,0,0.8806499999999999,0.0
