a,budget,seed,step,before_crossing,rel_dist,gap_run,gap_min
1.4,8000,1,1,True,1.2718922979284644,-3.219340862432744,-2.9724579123586494
1.4,8000,1,2190,False,0.006006090321233837,0.0550886547082623,0.06207993671529799
1.4,8000,1,2718,False,0.004452426270527833,0.0921287036576146,0.09659007249692131
1.4,8000,1,3246,False,0.003493824309316256,0.1157628819865519,0.11867758621788749
1.4,8000,1,3774,False,0.0028595063346065286,0.1278707428591756,0.12752343451030024
1.4,8000,1,4302,False,0.0024177616414469503,0.1265472136950647,0.12625061762384293
1.4,8000,1,4830,False,0.0020978913667815246,0.1255467420449481,0.12528540892232742
1.4,8000,1,5358,False,0.001859040904973001,0.1247768339153987,0.12453970811852111
1.4,8000,1,5886,False,0.0016762722039401694,0.1241751287773151,0.12395516444213683
1.4,8000,1,6414,False,0.0015262909885171076,0.1236909600224014,0.1234919406441799
1.4,8000,1,6942,False,0.001420166933885693,0.1233239595795137,0.12312204876656407
1.4,8000,1,7470,False,0.001328896456802583,0.1230235238276789,0.1228256863387962
1.4,8000,1,7998,False,0.001254772645920175,0.1227847468848306,0.12258835670481805
1.4,8000,29,1,True,4.416476803753281,-4.300018815470188,-0.09716120810715351
1.4,8000,29,6453,False,0.007473127027691041,0.0187718003996057,0.028219470755678877
1.4,8000,29,6593,False,0.00640119700179035,0.0432410612082647,0.050898332929785184
1.4,8000,29,6733,False,0.00561877021960485,0.0614626815315633,0.06782627557082321
1.4,8000,29,6873,False,0.005019820243980393,0.0756197147878552,0.0809998629340205
1.4,8000,29,7013,False,0.004545152966154475,0.0869627732614204,0.09156734647148612
1.4,8000,29,7153,False,0.004158932642495394,0.0962655322782288,0.10024121826163679
1.4,8000,29,7293,False,0.003838103227303995,0.1040351185817329,0.10748963372647413
1.4,8000,29,7433,False,0.0035671092784799446,0.1106193203687468,0.11363430211128733
1.4,8000,29,7573,False,0.0033350477176502915,0.1162654898727773,0.11890442162288695
1.4,8000,29,7713,False,0.003134033087405079,0.1211548951980314,0.1234682082002787
1.4,8000,29,7853,False,0.0029582108792181572,0.1254237514793592,0.12745223669167105
1.4,8000,29,7993,False,0.002803136598639348,0.127435199434573,0.12704069934895657
1.4,4000,4,1,True,1.1422578832908454,-0.7262492904923211,-0.007096833828747373
