activation,monotonic,seed,budget,accuracy,perfect
relu,True,0,1000,0.9394999742507935,False
relu,True,1,1000,0.940500020980835,False
relu,True,2,1000,0.940500020980835,False
relu,True,3,1000,0.9300000071525574,False
relu,True,4,1000,0.9375,False
relu,True,5,1000,0.9229999780654907,False
relu,True,6,1000,0.940500020980835,False
relu,True,7,1000,0.9334999918937683,False
relu,True,8,1000,0.9595000147819519,False
relu,True,9,1000,0.9710000157356262,False
relu,True,10,1000,0.9679999947547913,False
relu,True,11,1000,0.9649999737739563,False
relu,True,12,1000,0.9580000042915344,False
relu,True,13,1000,0.9674999713897705,False
relu,True,14,1000,0.9470000267028809,False
relu,True,15,1000,0.9319999814033508,False
relu,True,16,1000,0.934499979019165,False
relu,True,17,1000,0.9265000224113464,False
relu,True,18,1000,0.9279999732971191,False
relu,True,19,1000,0.9559999704360962,False
gelu,False,0,1000,0.9564999938011169,False
gelu,False,1,1000,0.9649999737739563,False
gelu,False,2,1000,0.9894999861717224,False
gelu,False,3,1000,0.9605000019073486,False
gelu,False,4,1000,0.968500018119812,False
gelu,False,5,1000,0.921500027179718,False
gelu,False,6,1000,0.9580000042915344,False
gelu,False,7,1000,0.9629999995231628,False
gelu,False,8,1000,0.9695000052452087,False
gelu,False,9,1000,0.9294999837875366,False
gelu,False,10,1000,0.972000002861023,False
gelu,False,11,1000,0.9670000076293945,False
gelu,False,12,1000,0.9304999709129333,False
gelu,False,13,1000,0.9649999737739563,False
gelu,False,14,1000,0.9465000033378601,False
gelu,False,15,1000,0.9664999842643738,False
gelu,False,16,1000,0.9284999966621399,False
gelu,False,17,1000,0.9660000205039978,False
gelu,False,18,1000,0.9760000109672546,False
gelu,False,19,1000,0.9735000133514404,False
relu,True,0,4000,0.9419999718666077,False
relu,True,1,4000,0.9455000162124634,False
relu,True,2,4000,0.9434999823570251,False
relu,True,3,4000,0.9284999966621399,False
relu,True,4,4000,0.9480000138282776,False
relu,True,5,4000,0.9284999966621399,False
relu,True,6,4000,0.9390000104904175,False
relu,True,7,4000,0.9355000257492065,False
relu,True,8,4000,0.965499997138977,False
relu,True,9,4000,0.9735000133514404,False
relu,True,10,4000,0.9704999923706055,False
relu,True,11,4000,0.9649999737739563,False
relu,True,12,4000,0.9629999995231628,False
relu,True,13,4000,0.9789999723434448,False
relu,True,14,4000,0.9495000243186951,False
relu,True,15,4000,0.9359999895095825,False
relu,True,16,4000,0.9409999847412109,False
relu,True,17,4000,0.9359999895095825,False
relu,True,18,4000,0.9334999918937683,False
relu,True,19,4000,0.9854999780654907,False
gelu,False,0,4000,0.9745000004768372,False
gelu,False,1,4000,0.9635000228881836,False
gelu,False,2,4000,1.0,True
gelu,False,3,4000,0.968999981880188,False
gelu,False,4,4000,0.972000002861023,False
gelu,False,5,4000,0.9754999876022339,False
gelu,False,6,4000,0.9574999809265137,False
gelu,False,7,4000,1.0,True
gelu,False,8,4000,0.9769999980926514,False
gelu,False,9,4000,0.9739999771118164,False
gelu,False,10,4000,0.9704999923706055,False
gelu,False,11,4000,0.9710000157356262,False
gelu,False,12,4000,0.9879999756813049,False
gelu,False,13,4000,0.968999981880188,False
gelu,False,14,4000,0.9815000295639038,False
gelu,False,15,4000,0.968500018119812,False
gelu,False,16,4000,0.9934999942779541,False
gelu,False,17,4000,0.9890000224113464,False
gelu,False,18,4000,0.9929999709129333,False
gelu,False,19,4000,1.0,True
relu,True,0,16000,0.9419999718666077,False
relu,True,1,16000,0.9449999928474426,False
relu,True,2,16000,0.9559999704360962,False
relu,True,3,16000,0.9290000200271606,False
relu,True,4,16000,0.9490000009536743,False
relu,True,5,16000,0.9275000095367432,False
relu,True,6,16000,0.9495000243186951,False
relu,True,7,16000,0.9350000023841858,False
relu,True,8,16000,0.9704999923706055,False
relu,True,9,16000,0.9739999771118164,False
relu,True,10,16000,0.9769999980926514,False
relu,True,11,16000,0.9660000205039978,False
relu,True,12,16000,0.9679999947547913,False
relu,True,13,16000,0.9789999723434448,False
relu,True,14,16000,0.9524999856948853,False
relu,True,15,16000,0.9365000128746033,False
relu,True,16,16000,0.9430000185966492,False
relu,True,17,16000,0.9350000023841858,False
relu,True,18,16000,0.934499979019165,False
relu,True,19,16000,0.9950000047683716,False
gelu,False,0,16000,0.9940000176429749,False
gelu,False,1,16000,0.9819999933242798,False
gelu,False,2,16000,1.0,True
gelu,False,3,16000,0.9729999899864197,False
gelu,False,4,16000,0.9815000295639038,False
gelu,False,5,16000,0.9815000295639038,False
gelu,False,6,16000,0.9725000262260437,False
gelu,False,7,16000,1.0,True
gelu,False,8,16000,0.9890000224113464,False
gelu,False,9,16000,0.9975000023841858,False
gelu,False,10,16000,0.9835000038146973,False
gelu,False,11,16000,0.9925000071525574,False
gelu,False,12,16000,0.9975000023841858,False
gelu,False,13,16000,0.9894999861717224,False
gelu,False,14,16000,0.9929999709129333,False
gelu,False,15,16000,0.9884999990463257,False
gelu,False,16,16000,1.0,True
gelu,False,17,16000,1.0,True
gelu,False,18,16000,1.0,True
gelu,False,19,16000,1.0,True
relu,True,0,64000,0.9409999847412109,False
relu,True,1,64000,0.9459999799728394,False
relu,True,2,64000,0.9555000066757202,False
relu,True,3,64000,0.9284999966621399,False
