width,activation,seed,test_errors,test_accuracy,train_errors_10k,batches_to_criterion,dead_bottleneck_fraction,duration_seconds
2,gelu,0,1291,0.8709,1288,-1,,1.0317642919253558
2,gelu,1,898,0.9102,769,-1,,0.42613537493161857
2,gelu,2,953,0.9047000000000001,885,-1,,0.42285629198886454
2,gelu,3,875,0.9125,726,-1,,0.42100729094818234
2,gelu,4,964,0.9036,860,-1,,0.42427562503144145
2,gelu,5,933,0.9067000000000001,840,-1,,0.42136929207481444
2,gelu,6,927,0.9073,888,-1,,0.42017808300442994
2,gelu,7,1487,0.8513,1454,-1,,0.4252991669345647
2,gelu,8,1708,0.8291999999999999,1573,-1,,0.42599762487225235
2,gelu,9,852,0.9148000000000001,835,-1,,0.42559179197996855
2,tanh,0,857,0.9143,774,-1,,0.5361259579658508
2,tanh,1,809,0.9191,725,-1,,0.46675012493506074
2,tanh,2,842,0.9158,795,-1,,0.4500985420309007
2,tanh,3,823,0.9177,721,-1,,0.4489195409696549
2,tanh,4,869,0.9131,767,-1,,0.4537832080386579
2,tanh,5,871,0.9129,780,-1,,0.4515093339141458
2,tanh,6,905,0.9095,824,-1,,0.45625766599550843
2,tanh,7,1006,0.8994,952,-1,,0.4517753750551492
2,tanh,8,863,0.9137,788,-1,,0.45384158403612673
2,tanh,9,843,0.9157,835,-1,,0.4530849161092192
2,relu,0,871,0.9129,838,-1,0.0,0.33311770809814334
2,relu,1,907,0.9093,769,-1,0.0,0.3293124579358846
2,relu,2,1027,0.8973,912,-1,0.0,0.3304882908705622
2,relu,3,924,0.9076,832,-1,0.0,0.3287494170945138
2,relu,4,1061,0.8939,950,-1,0.0,0.32878287485800683
2,leaky_relu,0,876,0.9124,842,-1,,0.3305949999485165
2,leaky_relu,1,933,0.9067000000000001,830,-1,,0.32696204097010195
2,leaky_relu,2,1119,0.8881,971,-1,,0.3262396671343595
2,leaky_relu,3,942,0.9057999999999999,863,-1,,0.32831033295951784
2,leaky_relu,4,1064,0.8936,984,-1,,0.32911254186183214
4,gelu,0,730,0.927,618,-1,,0.4241134589537978
4,gelu,1,669,0.9331,551,-1,,0.426412665983662
4,gelu,2,610,0.9390000000000001,527,-1,,0.4250346249900758
4,gelu,3,565,0.9435,479,-1,,0.4251612911466509
4,gelu,4,588,0.9412,484,-1,,0.4246352920308709
4,gelu,5,534,0.9466,479,-1,,0.42718666698783636
4,gelu,6,617,0.9383,520,-1,,0.4288640001323074
4,gelu,7,560,0.944,480,-1,,0.42878366610966623
4,gelu,8,583,0.9417,521,-1,,0.4290678328834474
4,gelu,9,646,0.9354,603,-1,,0.42566774995066226
4,tanh,0,547,0.9453,443,-1,,0.45057437499053776
4,tanh,1,518,0.9482,452,-1,,0.44932395895011723
4,tanh,2,517,0.9483,441,-1,,0.4530290418770164
4,tanh,3,486,0.9514,410,-1,,0.45341258286498487
4,tanh,4,537,0.9463,467,-1,,0.4523079169448465
4,tanh,5,520,0.948,428,-1,,0.4532387920189649
4,tanh,6,532,0.9468,478,-1,,0.4505829999689013
4,tanh,7,507,0.9493,427,-1,,0.45126641681417823
4,tanh,8,465,0.9535,408,-1,,0.4478437080979347
4,tanh,9,573,0.9427,477,-1,,0.44895491702482104
4,relu,0,588,0.9412,527,-1,0.0,0.3496068329550326
4,relu,1,627,0.9373,544,-1,0.0,0.3262657090090215
4,relu,2,515,0.9485,463,-1,0.0,0.3465482918545604
4,relu,3,540,0.946,470,-1,0.0,0.34244491602294147
4,relu,4,550,0.945,473,-1,0.0,0.3289717910811305
4,leaky_relu,0,586,0.9414,496,-1,,0.32960766716860235
4,leaky_relu,1,616,0.9384,551,-1,,0.3282809997908771
4,leaky_relu,2,530,0.947,467,-1,,0.3464215830899775
4,leaky_relu,3,557,0.9443,488,-1,,0.38078766711987555
4,leaky_relu,4,554,0.9446,490,-1,,0.3310105411801487
6,gelu,0,490,0.951,419,-1,,0.42931416700594127
6,gelu,1,440,0.956,376,-1,,0.4278811670374125
6,gelu,2,463,0.9537,413,-1,,0.42593733384273946
6,gelu,3,491,0.9509,460,-1,,0.42840470909141004
6,gelu,4,530,0.947,463,-1,,0.43146054190583527
6,gelu,5,480,0.952,414,-1,,0.42692691599950194
6,gelu,6,433,0.9567,373,-1,,0.42904391605407
6,gelu,7,473,0.9527,386,-1,,0.45147904101759195
6,gelu,8,529,0.9471,445,-1,,0.46327462512999773
6,gelu,9,503,0.9497,420,-1,,0.43592629209160805
6,tanh,0,459,0.9541,350,-1,,0.4556837920099497
6,tanh,1,415,0.9585,349,-1,,0.4585048339795321
6,tanh,2,427,0.9573,348,-1,,0.45427737501449883
6,tanh,3,426,0.9574,351,-1,,0.44774033315479755
6,tanh,4,395,0.9605,334,-1,,0.4546617919113487
6,tanh,5,419,0.9581,344,-1,,0.45070725004188716
6,tanh,6,423,0.9577,351,-1,,0.45136862504296005
6,tanh,7,415,0.9585,322,-1,,0.4531660838983953
6,tanh,8,421,0.9579,375,-1,,0.4532405419740826
6,tanh,9,420,0.958,339,-1,,0.45282041700556874
6,relu,0,471,0.9529,386,-1,0.0,0.328994250157848
6,relu,1,458,0.9542,369,-1,0.0,0.3458370000589639
6,relu,2,491,0.9509,434,-1,0.1666666716337204,0.3305705420207232
6,relu,3,532,0.9468,438,-1,0.0,0.32687662495300174
6,relu,4,502,0.9498,405,-1,0.1666666716337204,0.3286172500811517
6,leaky_relu,0,469,0.9531000000000001,392,-1,,0.32767108315601945
