activation,seed,epochs,test_errors,train_errors_10k,final_train_loss,weight_l2,spectral_product,duration_seconds
gelu,100,2,3100,2891,1.047761142692566,29.081980225227504,3081.948331961932,261.90566604211926
gelu,101,2,3162,2990,1.0441855689620971,29.020146950002715,2964.068205690298,246.23579887486994
gelu,102,2,3335,3218,1.0406317178535462,28.893224612874565,3510.8089420157735,258.18715187488124
gelu,103,2,3075,2805,1.0528340632247926,29.532770273913613,4656.461242029647,245.1314644999802
gelu,104,2,3102,2948,1.0251147186660767,28.862616441812833,3555.2284900714394,237.76274395920336
gelu,105,2,3260,2961,1.0717597674751282,28.424318380092966,2817.85803750224,237.7684075832367
gelu,106,2,3203,2934,1.0519828831100464,28.83836686122115,3093.6938642305413,244.02530483389273
gelu,107,2,3148,2942,1.0281738463974,29.471404443544007,3653.411830557296,249.0248823328875
relu,100,2,3681,3614,1.2217639729690553,28.09811409519321,2113.4466078378136,222.358756207861
relu,101,2,4254,4155,1.2878749437713624,27.696382257555435,3485.433541584718,225.41574937477708
relu,102,2,4028,3940,1.216885818309784,27.934797215002416,2722.8304400968923,205.31564649986103
relu,103,2,3737,3635,1.2137190978622436,28.485971344611496,2822.9417521112546,215.62192229228094
relu,104,2,3896,3793,1.1800979329490662,29.091423671875326,3627.794084664557,205.56621037470177
relu,105,2,4006,3902,1.2084870747756957,27.750975170698723,2617.4217879131565,227.22246979223564
relu,106,2,3939,3906,1.2330113314819335,26.797996763146788,1991.8366348957477,237.54844829207286
relu,107,2,3847,3778,1.2334736973571778,28.018417080389124,4589.528794629135,225.54129141615704
tanh,100,2,3270,3005,0.9931320307922363,27.811474753989447,1008.1178670561911,255.60335983289406
