experiment,a,quantity,check_interval,check_based,interpolated,n,check_pass,interp_pass,check_lo,check_hi,interp_lo,interp_hi,check_C_better,interp_C_better
Block G base (lambda),1.3,lambda(a),50,1.1148657085990012,1.0978848539542865,37.0,,,,,,,,
Block G base (lambda),1.5,lambda(a),50,1.1644021378607485,1.1297586708540857,37.0,,,,,,,,
Block G all windows (B2),,B2 pooled median crossing R,50,0.2280329273471252,0.22603627868648535,379.0,,,,,,,,
Block 3,,C - B1 mean_diff [registered predictions],50,-0.25729359647426275,-0.25106367686368775,8.0,True,True,,,,,,
Block 3,,C - B1 ci95_lo [registered predictions],50,-0.3704173469970752,-0.3651363935291577,8.0,True,True,,,,,,
Block 3,,C - B1 ci95_hi [registered predictions],50,-0.1311636151791475,-0.12699758705185318,8.0,True,True,,,,,,
Block 3,,C - B2 mean_diff [registered predictions],50,-0.054983582456451074,-0.024119123959048645,8.0,True,False,,,,,,
Block 3,,C - B2 ci95_lo [registered predictions],50,-0.10268191621888495,-0.054265455462788624,8.0,True,False,,,,,,
Block 3,,C - B2 ci95_hi [registered predictions],50,-0.010476685014828022,0.005296175264340369,8.0,True,False,,,,,,
Block 3,,C - U mean_diff [registered predictions],50,-0.08577439628862724,-0.04814356262058965,8.0,True,True,,,,,,
Block 3,,C - U ci95_lo [registered predictions],50,-0.11109002479472588,-0.06097935653443233,8.0,True,True,,,,,,
Block 3,,C - U ci95_hi [registered predictions],50,-0.06299352376704069,-0.03632482022634941,8.0,True,True,,,,,,
Block 3,,"C - B1 mean_diff [cadence-matched C, B1 and B2]",50,-0.25729359647426275,-0.26281091773216236,8.0,True,True,,,,,,
Block 3,,"C - B1 ci95_lo [cadence-matched C, B1 and B2]",50,-0.3704173469970752,-0.3754643596881446,8.0,True,True,,,,,,
Block 3,,"C - B1 ci95_hi [cadence-matched C, B1 and B2]",50,-0.1311636151791475,-0.1349325048839149,8.0,True,True,,,,,,
Block 3,,"C - B2 mean_diff [cadence-matched C, B1 and B2]",50,-0.054983582456451074,-0.05075603740807927,8.0,True,True,,,,,,
Block 3,,"C - B2 ci95_lo [cadence-matched C, B1 and B2]",50,-0.10268191621888495,-0.08604575919925814,8.0,True,True,,,,,,
Block 3,,"C - B2 ci95_hi [cadence-matched C, B1 and B2]",50,-0.010476685014828022,-0.016937106748851315,8.0,True,True,,,,,,
Block 3,,"C - U mean_diff [cadence-matched C, B1 and B2]",50,-0.08577439628862724,-0.07091966904700878,8.0,True,True,,,,,,
Block 3,,"C - U ci95_lo [cadence-matched C, B1 and B2]",50,-0.11109002479472588,-0.08809631683111233,8.0,True,True,,,,,,
Block 3,,"C - U ci95_hi [cadence-matched C, B1 and B2]",50,-0.06299352376704069,-0.05440250608422845,8.0,True,True,,,,,,
Block 3,1.3,mean |log error| U [registered predictions],50,0.08321546386719683,0.07074371239408497,4.0,,,,,,,,
Block 3,1.3,mean |log error| C [registered predictions],50,0.025518493072934682,0.03799024454604655,4.0,,,,,,,,
Block 3,1.3,mean |log error| C [cadence-matched],50,0.025518493072934682,0.02264175630003456,4.0,,,,,,,,
Block 3,1.3,median over settings of (median R / U) - 1,50,0.08758334656985722,0.07323063930619256,4.0,,,,,,,,
Block 3,1.5,mean |log error| U [registered predictions],50,0.13302979534491538,0.1078707131499897,4.0,,,,,,,,
Block 3,1.5,mean |log error| C [registered predictions],50,0.019177973561923054,0.04433705575684881,4.0,,,,,,,,
Block 3,1.5,mean |log error| C [cadence-matched],50,0.019177973561923054,0.014133331150022532,4.0,,,,,,,,
Block 3,1.5,median over settings of (median R / U) - 1,50,0.14205092147820597,0.11543174890347041,4.0,,,,,,,,
own-seed,1.3,P1 stat [registered predictions],50,-0.06962774809550945,-0.07124433911430439,,True,True,-0.08519249919523392,-0.05652097384446599,-0.08629069313334453,-0.05854795808811348,,
own-seed,1.3,P2a stat [registered predictions],50,-0.013628095674493614,-0.030150557593089558,,True,True,-0.025608602043777188,-0.0016393349671368837,-0.037237657974603114,-0.022582343532419318,,
own-seed,1.3,P3 stat [registered predictions],50,-0.044753369468768414,-0.05228647888912766,,True,True,-0.055274547827573656,-0.033366146713059486,-0.0593214605803704,-0.04474588048568931,,
own-seed,1.3,P4 stat [registered predictions],50,0.04187084544725583,0.029307146240708133,,True,True,0.001,0.061,0.001,0.061,,
own-seed,1.5,P1 stat [registered predictions],50,-0.06950518629956245,-0.06981526427553424,,True,True,-0.08638686601945116,-0.056168483292016284,-0.08614583720414727,-0.05683246544934186,,
own-seed,1.5,P2b stat [registered predictions],50,0.022622841692239427,-0.002516145271694731,,True,True,0.009139329763366975,0.03625195569943464,-0.013078875155366869,0.008425536784230308,True,False
own-seed,1.5,P3 stat [registered predictions],50,-0.031809604419663406,-0.04678571914505627,,True,True,-0.043564429761974666,-0.01959619597198617,-0.052982786778182224,-0.0397482514369297,,
own-seed,1.5,P4 stat [registered predictions],50,0.08667418748315588,0.06152592404418382,,True,True,0.034,0.094,0.034,0.094,,
own-seed,1.3,P1 stat [cadence-matched C],50,-0.06962774809550945,-0.07124433911430439,,True,True,-0.08519249919523392,-0.05652097384446599,-0.08629069313334453,-0.05854795808811348,,
own-seed,1.3,P2a stat [cadence-matched C],50,-0.013628095674493614,-0.031987978166895206,,True,True,-0.025608602043777188,-0.0016393349671368837,-0.04212803343497085,-0.021559921028174424,,
own-seed,1.3,P3 stat [cadence-matched C],50,-0.044753369468768414,-0.05232289316960796,,True,True,-0.055274547827573656,-0.033366146713059486,-0.06098743978547424,-0.04340891594836806,,
own-seed,1.3,P4 stat [cadence-matched C],50,0.04187084544725583,0.029307146240708133,,True,True,0.001,0.061,0.001,0.061,,
own-seed,1.5,P1 stat [cadence-matched C],50,-0.06950518629956245,-0.06981526427553424,,True,True,-0.08638686601945116,-0.056168483292016284,-0.08614583720414727,-0.05683246544934186,,
own-seed,1.5,P2b stat [cadence-matched C],50,0.022622841692239427,-0.0020440234171097494,,True,True,0.009139329763366975,0.03625195569943464,-0.013093605269056187,0.010010944937907433,True,False
own-seed,1.5,P3 stat [cadence-matched C],50,-0.031809604419663406,-0.046313597290471284,,True,True,-0.043564429761974666,-0.01959619597198617,-0.056061608565462134,-0.03689552392588348,,
own-seed,1.5,P4 stat [cadence-matched C],50,0.08667418748315588,0.06152592404418382,,True,True,0.034,0.094,0.034,0.094,,
own-seed,1.3,median residual R_cross / U_own - 1,50,0.0411683168027297,0.029070605196199306,460.0,,,,,,,,
own-seed,1.5,median residual R_cross / U_own - 1,50,0.08783702293358742,0.06217373139515647,460.0,,,,,,,,
