a,comparison,stat,lo,hi,pass,C_better_interval_above_0,crossing
1.3,P1,-0.06962774809550945,-0.08519249919523392,-0.05652097384446599,True,,check
1.3,P2a,-0.013628095674493614,-0.025608602043777188,-0.0016393349671368837,True,,check
1.3,P3,-0.044753369468768414,-0.055274547827573656,-0.033366146713059486,True,,check
1.3,P4,0.04187084544725583,0.001,0.061,True,,check
1.5,P1,-0.06950518629956245,-0.08638686601945116,-0.056168483292016284,True,,check
1.5,P2b,0.022622841692239427,0.009139329763366975,0.03625195569943464,True,True,check
1.5,P3,-0.031809604419663406,-0.043564429761974666,-0.01959619597198617,True,,check
1.5,P4,0.08667418748315588,0.034,0.094,True,,check
1.3,P1,-0.07124433911430439,-0.08629069313334453,-0.05854795808811348,True,,interpolated
1.3,P2a,-0.030150557593089558,-0.037237657974603114,-0.022582343532419318,True,,interpolated
1.3,P3,-0.05228647888912766,-0.0593214605803704,-0.04474588048568931,True,,interpolated
1.3,P4,0.029307146240708133,0.001,0.061,True,,interpolated
1.5,P1,-0.06981526427553424,-0.08614583720414727,-0.05683246544934186,True,,interpolated
1.5,P2b,-0.002516145271694731,-0.013078875155366869,0.008425536784230308,True,False,interpolated
1.5,P3,-0.04678571914505627,-0.052982786778182224,-0.0397482514369297,True,,interpolated
1.5,P4,0.06152592404418382,0.034,0.094,True,,interpolated
1.3,P1,-0.07124433911430439,-0.08629069313334453,-0.05854795808811348,True,,"interpolated, cadence-matched C"
1.3,P2a,-0.031987978166895206,-0.04212803343497085,-0.021559921028174424,True,,"interpolated, cadence-matched C"
1.3,P3,-0.05232289316960796,-0.06098743978547424,-0.04340891594836806,True,,"interpolated, cadence-matched C"
1.3,P4,0.029307146240708133,0.001,0.061,True,,"interpolated, cadence-matched C"
1.5,P1,-0.06981526427553424,-0.08614583720414727,-0.05683246544934186,True,,"interpolated, cadence-matched C"
1.5,P2b,-0.0020440234171097494,-0.013093605269056187,0.010010944937907433,True,False,"interpolated, cadence-matched C"
1.5,P3,-0.046313597290471284,-0.056061608565462134,-0.03689552392588348,True,,"interpolated, cadence-matched C"
1.5,P4,0.06152592404418382,0.034,0.094,True,,"interpolated, cadence-matched C"
