depth,activation,seed,epochs_run,plateaued,test_errors,train_errors_10k,final_train_loss,loss_trajectory,duration_seconds
8,gelu,3,23,True,2087,186,0.0660524197435379,1.62309|1.05819|0.76047|0.57748|0.44928|0.33997|0.24846|0.18067|0.14329|0.12778|0.10181|0.09138|0.09042|0.08506|0.07634|0.07235|0.07412|0.06913|0.07602|0.06974|0.06613|0.06632|0.06605,2562.4743185839616
8,gelu,4,21,True,2116,232,0.06585437877833843,1.66073|1.07369|0.78117|0.60238|0.46264|0.34938|0.24943|0.19145|0.13963|0.12839|0.10792|0.10018|0.08045|0.08385|0.07207|0.08887|0.07305|0.08013|0.05897|0.06336|0.06585,2219.9840422500856
8,gelu,5,24,True,1990,133,0.07370427691221237,1.61995|1.08145|0.78628|0.59830|0.46321|0.34097|0.24847|0.18621|0.14698|0.11720|0.11599|0.08840|0.09017|0.08050|0.08188|0.06951|0.07599|0.06960|0.07160|0.06798|0.07066|0.06214|0.06194|0.07370,2519.608643125044
8,gelu,6,17,True,2039,207,0.08121532779335976,1.62623|1.05533|0.75771|0.57212|0.44119|0.33183|0.23515|0.17374|0.13724|0.12102|0.10823|0.09516|0.08429|0.07973|0.07100|0.07661|0.08122,1779.9782556248829
8,gelu,7,22,True,2099,159,0.0680835303068161,1.60136|1.04642|0.74618|0.56523|0.43345|0.31371|0.23488|0.17255|0.14054|0.10982|0.10475|0.08999|0.08465|0.08714|0.07738|0.07222|0.07210|0.07079|0.07422|0.06358|0.06809|0.06808,2273.534931875067
8,gelu,8,22,True,2015,194,0.06852255457401275,1.61667|1.04973|0.76476|0.58268|0.44760|0.33264|0.24221|0.18393|0.14147|0.11189|0.11295|0.09453|0.09740|0.08080|0.08327|0.07599|0.07639|0.06651|0.07252|0.06394|0.06594|0.06852,2219.2060436250176
8,gelu,9,22,True,1997,160,0.06848879728198051,1.66231|1.10031|0.79577|0.59459|0.45616|0.34233|0.24669|0.18343|0.14469|0.11780|0.10653|0.09703|0.07989|0.09224|0.07801|0.07336|0.08263|0.06204|0.07385|0.06542|0.06875|0.06849,2323.2531920420006
8,gelu,10,40,False,2031,112,0.052636949702948334,1.62590|1.03658|0.75154|0.56888|0.43969|0.32626|0.24096|0.16895|0.13894|0.10976|0.10390|0.09221|0.08814|0.08154|0.08010|0.07860|0.07879|0.06607|0.07175|0.06954|0.06204|0.07531|0.06001|0.06477|0.05467|0.06196|0.05838|0.05579|0.06445|0.05048|0.05754|0.05234|0.05670|0.05492|0.04665|0.05965|0.05295|0.05098|0.04550|0.05264,4329.910369500052
8,gelu,11,33,True,2005,121,0.05521219073593617,1.59889|1.03636|0.73327|0.55713|0.42066|0.30629|0.21695|0.16708|0.12960|0.11310|0.09440|0.09243|0.08177|0.08001|0.06977|0.07803|0.06545|0.07571|0.06161|0.06376|0.05957|0.06812|0.05489|0.06471|0.06093|0.05337|0.05570|0.04814|0.06180|0.05523|0.05136|0.05271|0.05521,3497.034738708986
8,gelu,12,18,True,2091,226,0.07653436718463898,1.70558|1.11262|0.78860|0.60400|0.46901|0.35571|0.25506|0.19105|0.15572|0.11895|0.10768|0.09567|0.09743|0.07835|0.08682|0.07435|0.07532|0.07653,1877.8461511661299
8,relu,3,38,True,2142,209,0.07108521632492543,1.71748|1.17448|0.93011|0.77109|0.66831|0.56928|0.50366|0.43697|0.37397|0.32404|0.27527|0.23184|0.20887|0.17953|0.15677|0.13616|0.13514|0.11831|0.11685|0.10723|0.10564|0.08924|0.09182|0.08894|0.08524|0.07685|0.08158|0.07680|0.08235|0.07387|0.07181|0.07344|0.07116|0.06256|0.07368|0.06667|0.06780|0.07109,3492.6373681661207
8,relu,4,40,False,2152,134,0.0675387421631813,1.71467|1.24139|0.98363|0.81462|0.68020|0.58330|0.49836|0.42559|0.37308|0.30243|0.25029|0.22782|0.18408|0.16995|0.14561|0.12436|0.12718|0.11139|0.10109|0.09431|0.08993|0.10312|0.09130|0.08468|0.08340|0.07332|0.08409|0.07392|0.07645|0.07265|0.06983|0.07896|0.06750|0.07018|0.06756|0.06624|0.06220|0.06719|0.06359|0.06754,3676.529655708
8,relu,5,32,True,2219,159,0.08109120036363601,1.68046|1.22339|0.98763|0.83061|0.70920|0.61742|0.52820|0.44897|0.38530|0.32153|0.27255|0.23064|0.19450|0.16932|0.15418|0.13662|0.12665|0.11813|0.11537|0.10715|0.09428|0.09862|0.09124|0.08679|0.08738|0.07941|0.08099|0.07382|0.07882|0.06948|0.07706|0.08109,2941.1307499171235
8,relu,6,31,True,2269,188,0.08074183882474899,1.76799|1.25027|1.01069|0.83346|0.70895|0.60988|0.52063|0.45476|0.38813|0.33043|0.27712|0.23479|0.19799|0.18054|0.15291|0.13393|0.13201|0.12207|0.11251|0.10672|0.10220|0.09319|0.09343|0.08934|0.08984|0.08672|0.08081|0.08299|0.07423|0.07895|0.08074,2854.969319708878
8,relu,7,30,True,2132,197,0.07685136935830117,1.69883|1.24360|0.97222|0.80261|0.67361|0.58656|0.50594|0.42867|0.36964|0.31193|0.26653|0.23415|0.18083|0.17683|0.15274|0.14824|0.12214|0.11676|0.11905|0.09968|0.09518|0.08634|0.09585|0.08849|0.08123|0.08014|0.07932|0.07083|0.07669|0.07685,2758.476682333974
8,relu,8,29,True,2175,181,0.07870186352729798,1.72454|1.23526|0.99280|0.81205|0.68601|0.58809|0.50040|0.42766|0.35839|0.29858|0.25523|0.20776|0.18551|0.16092|0.12735|0.12428|0.11985|0.11456|0.10560|0.09108|0.08993|0.09354|0.08914|0.07972|0.08390|0.07806|0.07036|0.07203|0.07870,2667.0507580838166
8,relu,9,36,True,2230,177,0.0764725308547914,1.75038|1.27298|1.01068|0.83590|0.69931|0.60246|0.51797|0.44785|0.38576|0.32474|0.27636|0.22918|0.19828|0.18395|0.15661|0.13974|0.12886|0.12290|0.10798|0.10046|0.10272|0.09874|0.09116|0.09355|0.08900|0.08636|0.08006|0.08250|0.07989|0.08214|0.06928|0.07729|0.07439|0.06912|0.07247|0.07647,3310.1624069160316
8,relu,10,23,True,2147,215,0.09197705495357514,1.71713|1.20956|0.94843|0.79142|0.65103|0.56415|0.48761|0.41453|0.35706|0.29926|0.25035|0.20761|0.17674|0.15516|0.14094|0.13543|0.11422|0.11477|0.10147|0.10083|0.09070|0.09018|0.09198,2117.2389643751085
8,relu,11,32,True,2156,186,0.0771373320543766,1.68719|1.20595|0.95607|0.80575|0.69456|0.60436|0.52819|0.46326|0.39973|0.35300|0.30626|0.26136|0.22371|0.19141|0.16996|0.15368|0.13609|0.12610|0.12307|0.11060|0.10482|0.10032|0.09579|0.08960|0.08701|0.07909|0.08708|0.08135|0.08175|0.07011|0.07731|0.07714,2955.056114207953
8,relu,12,26,True,2175,197,0.08085245691537857,1.70713|1.21794|0.95717|0.78454|0.66954|0.56808|0.48165|0.41363|0.35247|0.29859|0.24019|0.20556|0.17748|0.16047|0.14101|0.12063|0.12129|0.10136|0.10648|0.08970|0.10047|0.08706|0.08778|0.08011|0.08027|0.08085,2767.6298521251883
8,tanh,3,21,True,2568,794,0.226797412815094,1.59178|1.10849|0.88634|0.76385|0.66994|0.59082|0.53211|0.47043|0.42623|0.38981|0.35828|0.32591|0.29999|0.27796|0.26317|0.25366|0.24020|0.24962|0.21875|0.22041|0.22680,2339.3214066249784
8,tanh,4,20,True,2540,750,0.21886643741607667,1.51675|1.06134|0.84830|0.72387|0.62374|0.55704|0.49459|0.43998|0.39073|0.36071|0.32915|0.29056|0.27720|0.26164|0.26183|0.25140|0.23857|0.21902|0.21859|0.21887,2731.1009548748843
8,tanh,5,22,True,2621,670,0.2239512359046936,1.56019|1.07735|0.86256|0.73232|0.63838|0.57024|0.50568|0.46137|0.40417|0.36846|0.34494|0.32381|0.28944|0.27759|0.25518|0.24304|0.24746|0.22718|0.23174|0.22129|0.22273|0.22395,2568.584486208856
8,tanh,6,27,True,2613,703,0.21109876834869384,1.54774|1.08015|0.86841|0.73687|0.64149|0.57148|0.50277|0.45351|0.40576|0.36935|0.33165|0.31337|0.28434|0.26716|0.26090|0.24185|0.23668|0.22773|0.21771|0.21899|0.21431|0.21683|0.19585|0.22602|0.21386|0.21259|0.21110,3133.765039957827
8,tanh,7,19,True,2617,805,0.23213138025283814,1.49868|1.01709|0.83273|0.71534|0.62559|0.53950|0.47792|0.43427|0.39170|0.35229|0.32369|0.29537|0.27159|0.25432|0.24958|0.23672|0.22926|0.23088|0.23213,2031.6868698750623
