a,glob_sign_changes_on_coarse_grid,w2_glob_lo,w2_glob_hi,solve_sign_changes_on_coarse_grid,w2_solve_lo,w2_solve_hi,unresolved_evaluations,all_converged,seed
1.6,1,1.914062,1.917968,1,3.117188,3.121094,0,True,0
1.6,1,2.070312,2.074218,1,2.601562,2.605468,0,True,1
1.6,1,1.976562,1.980468,1,2.730468,2.734375,0,True,2
1.6,1,2.339844,2.34375,1,3.023438,3.027344,0,True,3
1.6,1,1.75,1.753906,1,2.664062,2.667968,1,True,4
1.6,1,1.964844,1.96875,1,2.628906,2.632812,0,True,5
1.6,1,1.886718,1.890625,1,2.757812,2.761718,0,True,6
1.6,1,2.03125,2.035156,1,2.792968,2.796875,0,True,7
1.6,1,1.964844,1.96875,1,2.710938,2.714844,0,True,8
1.6,1,2.335938,2.339844,1,2.914062,2.917968,0,True,9
1.6,1,2.117188,2.121094,1,2.90625,2.910156,0,True,10
1.6,1,2.1875,2.191406,1,2.71875,2.722656,0,True,11
1.6,1,1.914062,1.917968,1,3.0,3.003906,0,True,12
1.6,1,2.292968,2.296875,1,2.859375,2.863282,0,True,13
1.6,1,1.914062,1.917968,1,2.855468,2.859375,0,True,14
1.6,1,2.003906,2.007812,1,2.746094,2.75,0,True,15
1.6,1,1.917968,1.921875,1,2.75,2.753906,0,True,16
1.6,1,2.113282,2.117188,1,2.71875,2.722656,0,True,17
1.6,1,2.128906,2.132812,1,3.074218,3.078125,0,True,18
1.6,1,2.003906,2.007812,1,2.855468,2.859375,0,True,19
1.6,1,2.261718,2.265625,1,2.898438,2.902344,1,True,20
1.6,1,2.195312,2.199218,1,3.046875,3.050782,1,True,21
1.6,1,2.011718,2.015625,1,2.613282,2.617188,0,True,22
1.6,1,2.210938,2.214844,1,3.117188,3.121094,0,True,23
1.6,1,2.234375,2.238282,1,2.957032,2.960938,0,True,24
1.6,1,2.34375,2.347656,1,3.332032,3.335938,0,True,25
1.6,1,2.230468,2.234375,1,3.0,3.003906,0,True,26
1.6,1,2.09375,2.097656,1,3.613282,3.617188,0,True,27
1.6,1,2.324218,2.328125,1,3.417968,3.421875,0,True,28
1.6,1,2.082032,2.085938,1,2.8125,2.816406,0,True,29
1.6,1,2.210938,2.214844,1,2.949218,2.953125,1,True,30
1.6,1,2.171875,2.175782,1,3.25,3.253906,0,True,31
1.6,1,1.855468,1.859375,1,2.511718,2.515625,0,True,32
1.6,1,2.179688,2.183594,1,2.933594,2.9375,0,True,33
1.6,1,1.882812,1.886718,1,2.679688,2.683594,0,True,34
1.6,1,2.117188,2.121094,1,2.925782,2.929688,0,True,35
1.6,1,2.445312,2.449218,1,3.183594,3.1875,0,True,36
1.6,1,1.976562,1.980468,1,2.632812,2.636718,0,True,37
1.6,1,2.332032,2.335938,1,3.617188,3.621094,0,True,38
1.6,1,2.167968,2.171875,1,3.085938,3.089844,0,True,39
1.6,1,2.1875,2.191406,1,2.789062,2.792968,0,True,40
1.6,1,2.433594,2.4375,1,3.101562,3.105468,0,True,41
1.6,1,2.0,2.003906,1,2.695312,2.699218,0,True,42
1.6,1,2.292968,2.296875,1,3.101562,3.105468,0,True,43
1.6,1,2.195312,2.199218,1,2.890625,2.894532,1,True,44
1.6,1,2.234375,2.238282,1,3.015625,3.019532,0,True,45
1.6,1,2.417968,2.421875,1,2.78125,2.785156,0,True,46
1.6,1,2.261718,2.265625,1,3.148438,3.152344,1,True,47
1.6,1,2.058594,2.0625,1,2.816406,2.820312,0,True,48
1.6,1,1.972656,1.976562,1,2.804688,2.808594,0,True,49
