s,global_region,m_minus_lo,m_minus_hi,m_plus_lo,m_plus_hi,argmin_w1,argmin_b1,argmin_G,encl_w1,encl_b1,competitor_lower,competitor_converged,competitor_margin,constant_margin
1.5,-,0.48657014405666066,0.4865701448807056,0.5223719638886833,0.522371964792494,1.0556022436114803,4.063819468376502,-0.4741695619913786,"[1.055541, 1.055639]","[4.063759, 4.063880]",0.4896656340809805,True,0.0030954892002749146,0.20657703567923968
2.0,-,0.46136091145993013,0.4613609117022503,0.48403693008666693,0.48403693104059115,0.9881396156689715,3.9940172553023556,-0.2978670815571318,"[0.988109, 0.988170]","[3.993987, 3.994048]",0.4653570047275261,True,0.003996093025275815,0.231786268857695
2.5,-,0.43889725668968343,0.4388972569705686,0.4521947902140376,0.45219479103823956,0.9422773095661471,3.9461716640611613,-0.19194613309434772,"[0.942247, 0.942308]","[3.946141, 3.946202]",0.4437319417617135,True,0.004834684791144905,0.2542499235893767
3.0,-,0.418296039535248,0.41829603994076126,0.4253507563670896,0.42535075702000064,0.9087761768567141,3.9110361993481617,-0.12173816214883848,"[0.908758, 0.908807]","[3.911006, 3.911079]",0.42391986630906553,True,0.005623826368304274,0.27485114061918403
3.5,-,0.39911433150213593,0.39911433197345614,0.4023165696533699,0.40231657058805637,0.8831174884642247,3.884033267701095,-0.07205566914552808,"[0.883087, 0.883136]","[3.884003, 3.884076]",0.40548240409799396,True,0.006368072124537827,0.29403284858648915
4.0,-,0.3810944295546574,0.3810944300409646,0.38219277746152885,0.38219277796402085,0.8627466317577699,3.8625940600227886,-0.040125206161955695,"[0.862716, 0.862777]","[3.862564, 3.862624]",0.3881660852420087,True,0.00707165520104408,0.3120527505189807
4.5,-,0.36407053703841413,0.3640705375997081,0.3642842437385971,0.36428424467668796,0.8461651503545499,3.845135897722566,-0.016931645067183698,"[0.846147, 0.846196]","[3.845105, 3.845166]",0.3718041305731372,True,0.0077335929734291264,0.3290766429602372
5.0,+,0.3479294205203543,0.3479294211968913,0.3479278129281582,0.3479278134988831,0.8323947392386595,3.8306604758432323,0.001389881272694904,"[0.832364, 0.832425]","[3.830630, 3.830691]",0.3562546616132605,True,0.00832684811437745,0.3452193670610622
5.5,+,0.33282296756078683,0.3328229680959139,0.33258199583976494,0.33258199650915693,0.8207648233045793,3.8184799379203787,0.016177470903491642,"[0.820728, 0.820789]","[3.818443, 3.818516]",0.3414597671857562,True,0.008877770676599284,0.36056518405078836
6.0,+,0.31877305728289423,0.3187730577850248,0.317968291886264,0.31796829266970367,0.8108135017755719,3.808101218700755,0.028326732391197318,"[0.810783, 0.810844]","[3.808059, 3.808132]",0.32735533875001327,True,0.009387046080309602,0.3751788878902416
6.5,+,0.30563359060099143,0.3056335913269785,0.3040348780845723,0.3040348788984141,0.8021969734864927,3.799165171888788,0.03845875619866579,"[0.802154, 0.802227]","[3.799123, 3.799196]",0.3138900211694975,True,0.009855142271083417,0.3891123016615312
7.0,+,0.29329109955476695,0.2932911004947658,0.29073889467375313,0.2907388955215875,0.7946671298944541,3.7914100467944767,0.047008178131353606,"[0.794637, 0.794698]","[3.791380, 3.791440]",0.3010235243189525,True,0.010284628797365025,0.4024082850383578
7.5,+,0.281655895516948,0.2816558960864638,0.27804386547265486,0.27804386634164774,0.7880304149848563,3.7846410522066636,0.054289603318844026,"[0.788000, 0.788061]","[3.784598, 3.784671]",0.28872266436639166,True,0.010678798024743918,0.41510331421829755
8.0,+,0.27065592860400123,0.27065592926812615,0.26591798115165777,0.26591798139745143,0.7821418159600396,3.778684702202909,0.060555894392539056,"[0.782127, 0.782157]","[3.778663, 3.778700]",0.27695493246123803,True,0.011036951063786604,0.42722919916249386
8.5,+,0.2602324360316418,0.2602324367861929,0.25433292219052084,0.2543329224429942,0.7768876029201498,3.7734222958889125,0.06598400614341093,"[0.776875, 0.776906]","[3.773404, 3.773441]",0.2656955804039502,True,0.01136265796095598,0.4388142581169511
9.0,+,0.2503367895365787,0.2503367903709684,0.24326304215031289,0.2432630424139159,0.772168513583998,3.7687503504337445,0.07071957479765878,"[0.772153, 0.772184]","[3.768735, 3.768772]",0.25491970913187056,True,0.011656666717954678,0.4498841381460294
9.5,+,0.24092817789242382,0.2409281788109406,0.2326847818329496,0.232684782117949,0.7679140706863246,3.7645927755205473,0.07486880421438125,"[0.767893, 0.767929]","[3.764571, 3.764608]",0.24460735056402763,True,0.01192256844607864,0.4604623984419963
10.0,+,0.23197187752585474,0.2319718785182284,0.2225762497747859,0.22257625006027035,0.7640512094250338,3.760873480832459,0.07853001509100199,"[0.764036, 0.764066]","[3.760852, 3.760889]",0.23473524980077626,True,0.01215899974050591,0.4705709304996749
10.5,+,0.22343794768766453,0.22343794821899865,0.2129169162110082,0.21291691649465633,0.7605394126805817,3.757537681341342,0.0817724303777041,"[0.760524, 0.760555]","[3.757522, 3.757559]",0.22528650761157049,True,0.012369591116914158,0.48023026406528896
11.0,+,0.21530023405104667,0.21530023461919065,0.2036873884079621,0.20368738871966882,0.7573313028847292,3.7545427664697555,0.08465214829605605,"[0.757316, 0.757347]","[3.754521, 3.754558]",0.21624257412776185,True,0.012555185408093028,0.48945979184027644
