arm,depth,activation,seed,warmup,test_errors,train_errors_10k,final_train_loss,penultimate_train_loss,loss_plateaued,duration_seconds
mnist_mlp,4,gelu,0,0,224,44,0.014413041714578866,0.012751267346491416,True,6.014470624970272
mnist_mlp,4,gelu,1,0,230,38,0.011480632466326158,0.016569573268045982,False,5.325752459000796
mnist_mlp,4,gelu,2,0,215,31,0.010652583860916396,0.014209028365959725,False,5.314344374928623
mnist_mlp,4,relu,0,0,182,14,0.014371456783016523,0.013010066699919602,True,3.664029208011925
mnist_mlp,4,relu,1,0,212,29,0.011772099088753263,0.017803210108975568,False,3.69501308305189
mnist_mlp,4,relu,2,0,199,33,0.015144825396190087,0.015330315542221069,False,3.5782217499800026
mnist_mlp,4,tanh,0,0,238,35,0.017363762390613557,0.018396653094887732,False,5.5085465831216425
mnist_mlp,4,tanh,1,0,211,34,0.014460213376333316,0.016890868912637233,False,5.421382375061512
mnist_mlp,4,tanh,2,0,227,19,0.013791120255738497,0.01787395447678864,False,5.462153542088345
mnist_mlp,8,gelu,0,0,196,45,0.02191734129724403,0.017939525904754797,True,9.683728541014716
mnist_mlp,8,gelu,1,0,193,27,0.023800364777073264,0.022096247350176176,True,9.695037957979366
mnist_mlp,8,gelu,2,0,225,59,0.018741635834425688,0.02130853307172656,False,9.626717375125736
mnist_mlp,8,relu,0,0,218,52,0.02073017723678301,0.023686181706842033,False,6.178812083089724
mnist_mlp,8,relu,1,0,244,74,0.022896633012096088,0.02007918512771527,True,6.234791709110141
mnist_mlp,8,relu,2,0,225,53,0.021738380680574727,0.021399860771000385,True,6.158658041851595
mnist_mlp,8,tanh,0,0,266,90,0.041548588295777636,0.045142110535005726,False,10.257280374877155
mnist_mlp,8,tanh,1,0,275,85,0.0408217975795269,0.046800082035859426,False,10.495598250068724
mnist_mlp,8,tanh,2,0,282,123,0.04128767742266257,0.04708805917700132,False,10.649286542087793
mnist_mlp,12,gelu,0,0,237,57,0.03603537865032752,0.03885380346675714,False,17.32062870799564
mnist_mlp,12,gelu,1,0,217,57,0.03434713435173035,0.04019770070115725,False,14.948738208040595
mnist_mlp,12,gelu,2,0,226,70,0.05144766464183728,0.05103399470845858,True,16.906342541100457
mnist_mlp,12,relu,0,0,253,76,0.040590313732872405,0.03932091763218244,True,8.963409832911566
mnist_mlp,12,relu,1,0,265,92,0.050274941667914394,0.04899206600189209,True,8.942129791015759
mnist_mlp,12,relu,2,0,228,99,0.05273328104019165,0.0746096636335055,False,8.854800666915253
mnist_mlp,12,tanh,0,0,429,354,0.12404661426146825,0.1254924919048945,False,15.234795917058364
mnist_mlp,12,tanh,1,0,372,232,0.09178600509961446,0.08663566761811574,True,14.64256504108198
mnist_mlp,12,tanh,2,0,336,191,0.08338132897615433,0.08640214174191158,False,14.525238542119041
