eps,a,Ghat_lo,Ghat_hi,converged,surviving,u,G,inner_active,outer_active,active_set,margin_inner_inactive,margin_outer_inactive,margin_inner_abs,margin_outer_abs,w1_canon,b1_canon,K_eps
0.05,1.05,0.006360087775473922,0.006360087832667468,True,2611687,1.5768537242960452,0.0063600877754734775,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,2.20630885415326,inf,0.014032317972219044,0.3525952118099669,3.406453794607425,0.5688635443530042
0.075,1.075,0.011580241846049777,0.01158024196033328,True,1211075,1.5631079119115379,0.011580241846049777,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,2.168787120999288,inf,0.025115079373769778,0.4280747315843737,3.463394102288048,0.5638008604841539
0.1,1.1,0.017673444239529434,0.01767344435674558,True,713009,1.5497453750712122,0.017673444239529434,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,2.1326096709818945,inf,0.037690558104779726,0.49007251785369604,3.5102702149548226,0.5588833789689546
0.125,1.125,0.02448816647534313,0.024488166709554667,True,474074,1.5367477351469199,0.024488166475343576,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,2.097702090502813,inf,0.051368878007909125,0.5433223722477278,3.5506212390374405,0.5541039543532865
0.15,1.15,0.03192050540439162,0.03192050564440563,True,344106,1.5240978633960829,0.03192050540439162,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,2.0639955431294266,inf,0.06588378088910307,0.5902805642923336,3.586281644316729,0.5494559370388116
0.175,1.175,0.03989332955205516,0.03989332979190599,True,261908,1.5117797711317,0.03989332955205516,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,2.0314262421881097,inf,0.08104035654030328,0.6324228517143634,3.618352535432904,0.5449331291682464
0.2,1.2,0.048346450174628686,0.04834645042022442,True,208322,1.499778510444809,0.04834645017462824,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.9999349800392845,inf,0.09668975686496539,0.6707213401095942,3.6475585795845955,0.5405297453063815
0.225,1.225,0.057231257582469386,0.057231258073220166,True,170690,1.4880800874623563,0.057231257582469386,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.9694667164111666,inf,0.11271505694702766,0.7058583625685426,3.6744080169671705,0.5362403772337336
0.25,1.25,0.06650749530789701,0.06650749581003565,True,143750,1.4766713868826626,0.06650749530789701,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.9399702219377306,inf,0.12902256043298355,0.7383356934413313,3.6992743253647795,0.5320599624631761
0.275,1.275,0.07614117978577761,0.0761411802880099,True,121802,1.4655400968939498,0.07614117978577717,I:x=+0.8|I:x=-0.8,O-:x=-1.2|O-:x=-2.0,I:x=+0.8|I:x=-0.8|O-:x=-1.2|O-:x=-2.0,inf,1.9113977308043162,inf,0.14553607826329795,0.7685357104852579,3.722441933646707,0.5279837558309939
