configuration,reading,amplitude,frequency,noise,embedded,activation,depth,seed,fold_layer,input_link,all_reportable,min_dist_final
flat,core,0.0,0.0,0.0,True,gelu,12,2,1,-1,True,5.817777759431
flat,core,0.0,0.0,0.0,True,gelu,12,4,1,-1,True,8.277267161213958
A_paper,core,0.3,100.0,0.0,False,gelu,5,0,1,-1,True,2.4441230533462526
A_paper,core,0.3,100.0,0.0,False,gelu,5,8,1,-1,True,3.1418855284658673
A_a0.05,core,0.05,100.0,0.0,False,gelu,5,8,1,-1,True,1.5068584396357851
A_a0.05,core,0.05,100.0,0.0,False,gelu,12,2,1,-1,True,4.956770751327771
A_a0.05,core,0.05,100.0,0.0,False,gelu,12,4,1,-1,True,8.7789004488195
A_a0.15,core,0.15,100.0,0.0,False,gelu,5,0,1,-1,True,2.6392118597612484
A_a0.15,core,0.15,100.0,0.0,False,gelu,12,4,1,-1,True,7.387479617441208
A_a0.15,core,0.15,100.0,0.0,False,gelu,12,7,1,-1,True,2.3130638023905337
A_a0.5,core,0.5,100.0,0.0,False,gelu,3,5,1,-1,True,0.47386925851112965
A_a0.5,core,0.5,100.0,0.0,False,gelu,5,1,1,-1,True,2.310965299211558
A_f10,core,0.3,10.0,0.0,False,gelu,5,1,1,-1,True,3.579517746201717
A_f50,core,0.3,50.0,0.0,False,gelu,3,4,1,-1,True,1.6253498134658402
A_f50,core,0.3,50.0,0.0,False,gelu,5,1,1,-1,True,1.3726780018035494
A_f200,core,0.3,200.0,0.0,False,gelu,5,0,1,-1,True,2.3523962157364933
A_n0.005,core,0.3,100.0,0.005,False,gelu,5,0,1,-1,True,2.5120640450339677
A_n0.005,core,0.3,100.0,0.005,False,gelu,5,8,1,-1,True,3.1833362752584904
A_n0.02,core,0.3,100.0,0.02,False,gelu,5,8,1,-1,True,3.253237694923087
A_n0.02,core,0.3,100.0,0.02,False,gelu,12,4,1,-1,True,4.555339154531214
B_paper,offset,0.3,100.0,0.0,True,gelu,5,6,1,-1,True,3.82925730135661
B_paper,offset,0.3,100.0,0.0,True,gelu,12,4,1,-1,True,8.06300826147179
B_a0.05,offset,0.05,100.0,0.0,True,gelu,5,6,1,-1,True,3.82925730135661
B_a0.05,offset,0.05,100.0,0.0,True,gelu,12,4,1,-1,True,8.06300826147179
B_a0.15,offset,0.15,100.0,0.0,True,gelu,5,6,1,-1,True,3.82925730135661
B_a0.15,offset,0.15,100.0,0.0,True,gelu,12,4,1,-1,True,8.06300826147179
B_a0.5,offset,0.5,100.0,0.0,True,gelu,5,6,1,-1,True,3.82925730135661
B_a0.5,offset,0.5,100.0,0.0,True,gelu,12,4,1,-1,True,8.06300826147179
B_f10,offset,0.3,10.0,0.0,True,gelu,3,5,1,-1,True,0.8722501059006408
B_f10,offset,0.3,10.0,0.0,True,gelu,12,4,1,-1,True,8.209007617192015
B_f50,offset,0.3,50.0,0.0,True,gelu,12,4,1,-1,True,8.366201429591156
A_embedded_a0.001,core,0.001,100.0,0.0,True,gelu,12,4,1,-1,True,8.43483908990639
A_embedded_f0.5,core,0.3,0.5,0.0,True,gelu,3,5,1,-1,True,1.043388894847436
A_embedded_f0.5,core,0.3,0.5,0.0,True,gelu,5,5,1,-1,True,2.35561284889359
