configuration,reading,amplitude,frequency,noise,embedded,linking_number,min_between_class_distance,activation,monotonic,depth,width,seed,train_data_seed,eval_data_seed,passed,final_train_accuracy,final_eval_accuracy,perfect_eval,at_chance,eval_errors,max_steps,learning_rate,initialization_scheme,initialization_gain,duration_seconds
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,0,50000,60000,False,0.969,0.967,False,False,66,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,1.2492798750754446
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,1,50001,60001,False,0.949,0.9565,False,False,87,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6736894999630749
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,2,50002,60002,False,0.968,0.969,False,False,62,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6553415001835674
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,3,50003,60003,False,0.9745,0.961,False,False,78,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6564536660443991
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,4,50004,60004,False,0.971,0.9655,False,False,69,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6513515419792384
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,5,50005,60005,False,0.9655,0.9685,False,False,63,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6551999170333147
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,6,50006,60006,False,0.96,0.9585,False,False,83,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6542339590378106
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,7,50007,60007,False,0.957,0.9555,False,False,89,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6683715840335935
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,8,50008,60008,False,0.97,0.966,False,False,68,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6542023750953376
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,3,9,50009,60009,False,0.9675,0.966,False,False,68,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6531055830419064
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,4,0,50000,60000,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6484883341472596
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,4,1,50001,60001,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6501916251145303
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,4,2,50002,60002,False,0.9585,0.9525,False,False,95,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6425431249663234
flat,core,0.0,0.0,0.0,True,-1,,tanh,True,3,4,3,50003,60003,True,1.0,1.0,True,False,0,2000,0.01,torch.nn.Linear.reset_parameters: kaiming_uniform_(a=sqrt(5)); bias_uniform_bound=1/sqrt(fan_in),0.5773502691896257,0.6515620411373675
