configuration,amplitude,frequency,activation,width,depth,seed,eval_errors,dense_errors,regionally_separating,duration_seconds
flat,0.0,0.0,gelu,3,5,0,69,,False,1.4430143749341369
flat,0.0,0.0,gelu,3,5,1,86,,False,0.9744899168144912
flat,0.0,0.0,gelu,3,5,2,92,,False,0.9726007089484483
flat,0.0,0.0,gelu,3,5,3,89,,False,0.9804081250913441
flat,0.0,0.0,gelu,3,5,4,71,,False,0.9719795000273734
flat,0.0,0.0,gelu,3,5,5,71,,False,0.9730236670002341
flat,0.0,0.0,gelu,3,5,6,62,,False,1.0078888339921832
flat,0.0,0.0,gelu,3,5,7,58,,False,0.9850825830362737
flat,0.0,0.0,gelu,3,5,8,1,,False,0.980023458134383
flat,0.0,0.0,gelu,3,5,9,91,,False,0.9668447498697788
flat,0.0,0.0,gelu,3,5,10,65,,False,0.9670997499488294
flat,0.0,0.0,gelu,3,5,11,86,,False,0.9722733749076724
flat,0.0,0.0,gelu,3,5,12,94,,False,0.9761035409756005
flat,0.0,0.0,gelu,3,5,13,70,,False,0.9694700830150396
flat,0.0,0.0,gelu,3,5,14,93,,False,0.9712985409423709
flat,0.0,0.0,gelu,3,5,15,77,,False,0.9783141671214253
flat,0.0,0.0,gelu,3,5,16,64,,False,0.9747824999503791
flat,0.0,0.0,gelu,3,5,17,73,,False,0.9763877498917282
flat,0.0,0.0,gelu,3,5,18,64,,False,0.9672265420667827
flat,0.0,0.0,gelu,3,5,19,79,,False,0.9786193748004735
flat,0.0,0.0,gelu,3,5,20,72,,False,0.9694033339619637
flat,0.0,0.0,gelu,3,5,21,86,,False,0.9703911668621004
flat,0.0,0.0,gelu,3,5,22,96,,False,0.9703670418821275
flat,0.0,0.0,gelu,3,5,23,82,,False,0.9861384159885347
flat,0.0,0.0,gelu,3,5,24,0,33.0,False,1.0018404161091894
flat,0.0,0.0,gelu,3,5,25,72,,False,0.9703903750050813
flat,0.0,0.0,gelu,3,5,26,35,,False,0.9938097919803113
flat,0.0,0.0,gelu,3,5,27,89,,False,0.9719669998157769
flat,0.0,0.0,gelu,3,5,28,68,,False,0.9859772080089897
flat,0.0,0.0,gelu,3,5,29,74,,False,0.9750468749552965
flat,0.0,0.0,gelu,4,5,0,62,,False,0.8825005418621004
flat,0.0,0.0,gelu,4,5,1,85,,False,0.8806979998480529
flat,0.0,0.0,gelu,4,5,2,0,0.0,True,0.8997339999768883
flat,0.0,0.0,gelu,4,5,3,0,0.0,True,0.8890040419064462
flat,0.0,0.0,gelu,4,5,4,71,,False,0.880108832847327
flat,0.0,0.0,gelu,4,5,5,0,0.0,True,0.8967345419805497
flat,0.0,0.0,gelu,4,5,6,0,0.0,True,0.8967477090191096
flat,0.0,0.0,gelu,4,5,7,0,0.0,True,0.8985020420514047
flat,0.0,0.0,gelu,4,5,8,0,0.0,True,0.9270399170927703
flat,0.0,0.0,gelu,4,5,9,0,0.0,True,0.9090938749723136
flat,0.0,0.0,gelu,4,5,10,62,,False,0.9148080840241164
flat,0.0,0.0,gelu,4,5,11,0,0.0,True,0.9027740419842303
flat,0.0,0.0,gelu,4,5,12,0,0.0,True,0.9110478330403566
flat,0.0,0.0,gelu,4,5,13,69,,False,0.914922040887177
flat,0.0,0.0,gelu,4,5,14,84,,False,0.898354624863714
flat,0.0,0.0,gelu,4,5,15,0,0.0,True,0.9267987499479204
flat,0.0,0.0,gelu,4,5,16,0,0.0,True,0.9128366659861058
flat,0.0,0.0,gelu,4,5,17,92,,False,0.8993626250885427
flat,0.0,0.0,gelu,4,5,18,103,,False,0.9015745408833027
flat,0.0,0.0,gelu,4,5,19,0,0.0,True,0.9183088331483305
flat,0.0,0.0,gelu,4,5,20,0,0.0,True,0.9177707920316607
flat,0.0,0.0,gelu,4,5,21,0,0.0,True,0.9229827499948442
flat,0.0,0.0,gelu,4,5,22,0,0.0,True,0.9193929170724005
flat,0.0,0.0,gelu,4,5,23,78,,False,0.9169181250035763
flat,0.0,0.0,gelu,4,5,24,84,,False,0.9112432089168578
flat,0.0,0.0,gelu,4,5,25,0,0.0,True,0.9297605419997126
