family,window,a,seed,stored_cross_step,stored_cross_w2,cross_step,cross_w2,G_cross,reproduced,prev_step,G_prev,w2_prev,cross_w2_interp
Block 3,H10,1.3,100000,3550,9.58676477202129,3550,9.58676477202129,0.00021603412521553622,True,3500,-0.000911647883299338,9.45970043432194,9.562422596803719
Block 3,H10,1.3,100001,4550,7.62897067131544,4550,7.62897067131544,0.0002618518265578018,True,4500,-0.0012236630657977976,7.518898913391582,7.609568313915249
Block 3,H10,1.3,100002,3050,7.404742728933962,3050,7.404742728933962,0.0016167586324828953,True,3000,-7.91163629232372e-06,7.283841833969945,7.284430583531475
Block 3,H10,1.3,100003,8800,7.307456677182146,8800,7.307456677182146,0.0004882643888381999,True,8750,-0.0013941535905823699,7.1687500296085975,7.271478739632835
Block 3,H10,1.3,100004,4500,8.682317928900511,4500,8.682317928900511,0.0010905157269593957,True,4450,-5.084146042655391e-05,8.565071869896437,8.570294565240983
Block 3,H10,1.3,100005,4050,6.428548460142135,4050,6.428548460142135,0.0012215154457670963,True,4000,-0.0004590736898979486,6.321131361427999,6.350473669323686
Block 3,H10,1.3,100006,1850,6.659825987919508,1850,6.659825987919508,0.0012847041234840262,True,1800,-0.0021924921526235153,6.5136290187911685,6.605811248984409
Block 3,H10,1.3,100007,5750,9.217950111043564,5750,9.217950111043564,0.0010259889783310605,True,5700,-2.5111125405707924e-06,9.101724164886594,9.102007933875557
Block 3,H10,1.3,100008,6400,8.539485989764165,6400,8.539485989764165,0.0008223037035888225,True,6350,-0.0005901814047200027,8.411849386950045,8.465180037375605
Block 3,H10,1.3,100009,4000,8.746586221013539,4000,8.746586221013539,1.8568302982746587e-05,True,3950,-0.0011470852522004193,8.626658498515173,8.744675829819279
Block 3,H10,1.3,100010,2550,6.955187022589386,2550,6.955187022589386,0.0006429711420725681,True,2500,-0.0011230387026661681,6.828444572306666,6.909042467817999
Block 3,H10,1.3,100011,2750,7.453409794206999,2750,7.453409794206999,0.0006648816112528877,True,2700,-0.0008343864013329316,7.329064676337864,7.398266363128475
Block 3,H10,1.3,100012,5950,12.598736653720637,5950,12.598736653720637,0.0001798748444450382,True,5900,-0.0005719084803104124,12.476880578668995,12.56958085600229
Block 3,H10,1.3,100013,2900,6.9295263941138785,2900,6.9295263941138785,0.0014891026090881887,True,2850,-0.00039697897674928484,6.809885237975075,6.83506708805925
Block 3,H10,1.3,100014,3100,6.265434300734279,3100,6.265434300734279,0.0010433088318246853,True,3050,-0.0009197916619330115,6.150167201944375,6.204174481092484
Block 3,H10,1.3,100015,3850,7.302995694817382,3850,7.302995694817382,5.52748133464398e-05,True,3800,-0.0017248497560093945,7.185275965882223,7.299340368580051
Block 3,H10,1.3,100016,5900,10.63775461238977,5900,10.63775461238977,0.0002532141988527137,True,5850,-0.0006963263430632693,10.519255848806791,10.606154519333021
