family,a,seed,window,source,stored_cross_step,reproduced,cross_step_check,first_positive_step,R_check,R_step,R_interp_step,R_ref,check_interval,R_interp_check,growth_over_interval_rel,growth_one_step_rel,residual_check,residual_interp_step,residual_interp_check,R_ref_kind
phase 2b (S3),1.3,0,base,stored,4016,True,4016,4016,0.21172483508334053,0.21172483508334053,0.21166135099181982,0.2040881583009235,1,0.21166135099181982,0.00045972978724120753,0.00045972978724120753,0.03741851975143473,0.03710745764940371,0.03710745764940371,R_own (n = 400)
phase 2b (S3),1.3,1,base,stored,2623,True,2623,2623,0.22686099339783541,0.22686099339783541,0.226833166946776,0.219694108441271,1,0.226833166946776,0.000431082368763212,0.000431082368763212,0.03262210810937738,0.032495448130842375,0.032495448130842375,R_own (n = 400)
phase 2b (S3),1.3,2,base,stored,1860,True,1860,1860,0.21692918407444947,0.21692918407444947,0.21691187787567306,0.2102767247358889,1,0.21691187787567306,0.0005078542529208461,0.0005078542529208461,0.031636688972192184,0.031554386954229185,0.031554386954229185,R_own (n = 400)
phase 2b (S3),1.3,3,base,stored,3219,True,3219,3219,0.25562289801688365,0.25562289801688365,0.2555374078817314,0.2492916000867576,1,0.2555374078817314,0.00037584077638727186,0.00037584077638727186,0.025397157096037848,0.025054224822658178,0.025054224822658178,R_own (n = 400)
phase 2b (S3),1.3,4,base,stored,27778,True,27778,27778,0.19463353566565533,0.19463353566565533,0.1946023192121086,0.1871368676312357,1,0.1946023192121086,0.0008268275481077611,0.0008268275481077611,0.040059813596924565,0.03989300278117325,0.03989300278117325,R_own (n = 400)
phase 2b (S3),1.3,5,base,stored,2444,True,2444,2444,0.233631465200389,0.233631465200389,0.2336184612596587,0.2081241798889444,1,0.2336184612596587,0.0004830534529331198,0.0004830534529331198,0.12255800995855126,0.12249552831544186,0.12249552831544186,R_own (n = 400)
phase 2b (S3),1.3,6,base,stored,4375,True,4375,4375,0.20924049959159807,0.20924049959159807,0.20923479103035333,0.201666545348111,1,0.20923479103035333,0.0007098987175382055,0.0007098987175382055,0.037556820495006527,0.03752851356271436,0.03752851356271436,R_own (n = 400)
phase 2b (S3),1.3,7,base,stored,1890,True,1890,1890,0.2234403705101423,0.2234403705101423,0.22339958687559022,0.2164652911708543,1,0.22339958687559022,0.0004880286217567648,0.0004880286217567648,0.032222622396228084,0.032034215126261145,0.032034215126261145,R_own (n = 400)
phase 2b (S3),1.3,9,base,stored,2828,True,2828,2828,0.2555475097224767,0.2555475097224767,0.2554837702608941,0.2490225319808895,1,0.2554837702608941,0.00039060447861262085,0.00039060447861262085,0.026202358837504436,0.025946400225745236,0.025946400225745236,R_own (n = 400)
phase 2b (S3),1.3,10,base,stored,2111,True,2111,2111,0.23209642385860005,0.23209642385860005,0.23205446690077794,0.2253445386645002,1,0.23205446690077794,0.000456695073252975,0.000456695073252975,0.029962497578662317,0.02977630732053238,0.02977630732053238,R_own (n = 400)
phase 2b (S3),1.3,11,base,stored,3890,True,3890,3890,0.2386471851074995,0.2386471851074995,0.23861026022282986,0.2328784456288059,1,0.23861026022282986,0.000573475023781033,0.000573475023781033,0.024771461622895785,0.02461290300417107,0.02461290300417107,R_own (n = 400)
phase 2b (S3),1.3,12,base,stored,1954,True,1954,1954,0.21139209806974982,0.21139209806974982,0.21130777306750922,0.2040881583009235,1,0.21130777306750922,0.000500400668820504,0.000500400668820504,0.035788160516676326,0.03537498121738425,0.03537498121738425,R_own (n = 400)
phase 2b (S3),1.3,13,base,stored,4327,True,4327,4327,0.24932263049515893,0.24932263049515893,0.24924813785158942,0.2436411698635283,1,0.24924813785158942,0.0004451803520223051,0.0004451803520223051,0.02331896795115962,0.0230132205948681,0.0230132205948681,R_own (n = 400)
phase 2b (S3),1.3,14,base,stored,4628,True,4628,4628,0.21216214885632606,0.21216214885632606,0.21210058729658593,0.2035500220891874,1,0.21210058729658593,0.0005995380823171303,0.0005995380823171303,0.042309633173928995,0.04200719370913175,0.04200719370913175,R_own (n = 400)
phase 2b (S3),1.3,15,base,stored,2833,True,2833,2833,0.2214188791604773,0.2214188791604773,0.221346590256172,0.2143127463239098,1,0.221346590256172,0.00047664734764798014,0.00047664734764798014,0.033157770400773945,0.03282046473162792,0.03282046473162792,R_own (n = 400)
phase 2b (S3),1.3,16,base,stored,3670,True,3670,3670,0.22247948161538864,0.22247948161538864,0.22247929585358428,0.2051644307243957,1,0.22247929585358428,0.0007202831059512928,0.0007202831059512928,0.08439596878394995,0.08439506335505209,0.08439506335505209,R_own (n = 400)
phase 2b (S3),1.3,18,base,stored,2603,True,2603,2603,0.23405084915818536,0.23405084915818536,0.23398058704497304,0.2266898791938405,1,0.23398058704497304,0.0004223051140450386,0.0004223051140450386,0.032471542137311404,0.03216159396731744,0.03216159396731744,R_own (n = 400)
phase 2b (S3),1.3,19,base,stored,2161,True,2161,2161,0.21770153856878272,0.21770153856878272,0.21763930607466048,0.2118911333710972,1,0.21763930607466048,0.000482743616473483,0.000482743616473483,0.027421653304904536,0.027127952982799908,0.027127952982799908,R_own (n = 400)
phase 2b (S3),1.3,20,base,stored,3359,True,3359,3359,0.2471343838430095,0.2471343838430095,0.2470988203313911,0.2409504888048477,1,0.2470988203313911,0.0003777832281476949,0.0003777832281476949,0.025664588060538396,0.02551699129991425,0.02551699129991425,R_own (n = 400)
phase 2b (S3),1.3,21,base,stored,8483,True,8483,8483,0.24049566344045428,0.24049566344045428,0.24038500951287275,0.233416581840542,1,0.24038500951287275,0.0005748902127825221,0.0005748902127825221,0.030328100703438166,0.02985403872074177,0.02985403872074177,R_own (n = 400)
phase 2b (S3),1.3,22,base,stored,3525,True,3525,3525,0.2207069907945257,0.2207069907945257,0.22067536317632452,0.2132364739004375,1,0.22067536317632452,0.0003943519511119718,0.0003943519511119718,0.035033954357997166,0.03488563255533994,0.03488563255533994,R_own (n = 400)
phase 2b (S3),1.3,23,base,stored,2758,True,2758,2758,0.24211114017608698,0.24211114017608698,0.24205495836279034,0.2350309904757504,1,0.24205495836279034,0.000522687268887831,0.000522687268887831,0.03012432397108533,0.029885283948393404,0.029885283948393404,R_own (n = 400)
phase 2b (S3),1.3,24,base,stored,2789,True,2789,2789,0.2470635592986513,0.2470635592986513,0.24705250643868926,0.2396051482755074,1,0.24705250643868926,0.00047440709351016265,0.00047440709351016265,0.031127924741282786,0.031081795265177625,0.031081795265177625,R_own (n = 400)
phase 2b (S3),1.3,25,base,stored,4303,True,4303,4303,0.25611000669215356,0.25611000669215356,0.2560401795299963,0.2492916000867576,1,0.2560401795299963,0.0003627016536044513,0.0003627016536044513,0.0273511285700081,0.027071026223467243,0.027071026223467243,R_own (n = 400)
phase 2b (S3),1.3,26,base,stored,3249,True,3249,3249,0.24310579088723908,0.24310579088723908,0.24309334973449126,0.2371835353226949,1,0.24309334973449126,0.0005875302768506921,0.0005875302768506921,0.02496908377930529,0.02491663008461309,0.02491663008461309,R_own (n = 400)
phase 2b (S3),1.3,27,base,stored,3184,True,3184,3184,0.22862834415252567,0.22862834415252567,0.22861908448545915,0.2215775851823474,1,0.22861908448545915,0.0003836069079784922,0.0003836069079784922,0.031820723040987264,0.03177893331275783,0.03177893331275783,R_own (n = 400)
phase 2b (S3),1.3,28,base,stored,3150,True,3150,3150,0.25359993463353137,0.25359993463353137,0.2535435972475855,0.2471390552398131,1,0.2535435972475855,0.00038662176228487804,0.00038662176228487804,0.026142688728209684,0.025914730480610215,0.025914730480610215,R_own (n = 400)
phase 2b (S3),1.3,29,base,stored,6839,True,6839,6839,0.2286569246048757,0.2286569246048757,0.2285337576845691,0.2218466532882154,1,0.2285337576845691,0.0005833077928560953,0.0005833077928560953,0.030698102566427465,0.030142913121461667,0.030142913121461667,R_own (n = 400)
phase 2b (S3),1.3,30,base,stored,2769,True,2769,2769,0.24331084810098352,0.24331084810098352,0.24325509440222085,0.2361072628992226,1,0.24325509440222085,0.00040499457409080977,0.00040499457409080977,0.030509799289129225,0.030273662128086132,0.030273662128086132,R_own (n = 400)
