family,a,n_runs,check_interval,R_ref,growth_over_interval_rel_median,growth_over_interval_rel_max,growth_one_step_rel_median,median_residual_check,median_residual_interp_check,median_residual_interp_step,median_shift_check_minus_interp_check,max_shift_check_minus_interp_check
phase 2b (S3),1.3,38,1,R_own (n = 400),0.00046580608887001587,0.0008268275481077611,0.00046580608887001587,0.03130013587677827,0.031090919581426513,0.031090919581426513,0.00023204770432128097,0.000624922783834192
phase 2b (S3),1.35,38,1,none (growth relative to R_check),0.0005520219768094521,0.0011289453415937996,0.0005520219768094521,,,,,
phase 2b (S3),1.4,38,1,none (growth relative to R_check),0.0006632252265065943,0.001562860916993038,0.0006632252265065943,,,,,
phase 2b (S3),1.45,38,1,none (growth relative to R_check),0.000773316089455056,0.002101143024935939,0.000773316089455056,,,,,
phase 2b (S3),1.5,38,1,R_own (n = 400),0.0009457881840638207,0.0029856371406543217,0.0009457881840638207,0.06606020828486825,0.06576116738783233,0.06576116738783233,0.00038954655398526494,0.002835023975238826
phase 2b (S3),1.6,38,1,none (growth relative to R_check),0.0011742210862094012,0.004435533096556147,0.0011742210862094012,,,,,
"size test n = 6,400 (lag tests phi = 1, 4b control)",1.3,20,1,"R_own (n = 6,400)",0.0005813111682732431,0.0007200362968314967,0.0005813111682732431,0.03156508454943374,0.031104783874438935,0.031104783874438935,0.0002442025887226529,0.0006461473280043872
"size test n = 6,400 (lag tests phi = 1, 4b control)",1.5,20,1,"R_own (n = 6,400)",0.0014860931869048954,0.0025290140863096374,0.0014860931869048954,0.06678566439301592,0.0659385767447811,0.0659385767447811,0.0005834564778132711,0.001997796585074818
Block G base window (lambda calibration),1.3,20,50,R_glob (base),0.02399715407490728,0.03459447767561657,0.0004796334764111325,0.0711045961714244,0.05639596197481345,0.056280415023542196,0.013802319803864205,0.022907271515109295
Block G base window (lambda calibration),1.5,20,50,R_glob (base),0.049073868285199176,0.12073938051226799,0.0009787311049607565,0.12564121907483572,0.09360171589461885,0.09334630766887353,0.019131582768718736,0.09315543772388568
Block 3 (prospective),1.3,20,50,U = R_glob (window),0.025704286772511326,0.0636318846407118,0.0005146615850645441,0.08579885705167645,0.074581025632254,0.07447143539798784,0.008468633988893637,0.01945735625348677
Block 3 (prospective),1.5,20,50,U = R_glob (window),0.04906123072650298,0.2110617205300056,0.0009810077020760816,0.13043189009221057,0.11689788964119174,0.11663835958805913,0.02226089941679643,0.16283343928550909
prospective own-seed,1.3,20,50,U_own (run's own),0.020225379202614323,0.02960367389221558,0.00040439532107124814,0.04301590761718621,0.02967111910607767,0.029557035600728532,0.01187692623095471,0.024534747815759372
prospective own-seed,1.5,20,50,U_own (run's own),0.03832821055357327,0.06048823695090273,0.000765177423556967,0.0800900776404394,0.06183641353630509,0.061350216179342554,0.013010736856560623,0.03726149905157872
