group,sweep,configuration,activation,parameter,depth,width,seed,dense_seed,dense_n,dense_errors,dense_min_margin,regionally_separating,duration_seconds
w3,width_sweep,baseline,gelu,,3,3,10,907630,100000,0,3.3576579093933105,True,1.18931695795618
w3,width_sweep,baseline,gelu,,3,3,17,920061,100000,0,0.10160548985004425,True,0.6967312090564519
w3,width_sweep,baseline,gelu,,5,3,0,926255,100000,0,1.211366057395935,True,0.9987980420701206
w3,width_sweep,baseline,gelu,,5,3,1,926217,100000,1,-0.058444857597351074,False,1.0357644169125706
w3,width_sweep,baseline,gelu,,8,3,14,909812,100000,0,5.33834981918335,True,1.8571977911051363
w3,width_sweep,baseline,gelu,,12,3,2,915839,100000,0,4.544738292694092,True,2.1665482081007212
w3,threshold_sweep,baseline,sin_family,1.1,5,3,4,903528,100000,0,1.3742384910583496,True,1.070715291891247
w3,threshold_sweep,baseline,sin_family,1.1,5,3,19,947619,100000,0,1.4022408723831177,True,1.0843386659398675
w3,threshold_sweep,baseline,sin_family,1.1,8,3,8,947682,100000,0,1.3901276588439941,True,1.5479311251547188
w3,threshold_sweep,baseline,sin_family,1.25,5,3,0,906161,100000,0,3.2508108615875244,True,1.0585992080159485
w3,threshold_sweep,baseline,sin_family,1.25,5,3,4,903528,100000,0,4.784279823303223,True,1.0518700841348618
w3,threshold_sweep,baseline,sin_family,1.25,5,3,19,947619,100000,0,4.9803009033203125,True,1.1306408329401165
w3,threshold_sweep,baseline,sin_family,1.25,8,3,4,936073,100000,0,6.9047040939331055,True,1.63111437484622
w3,threshold_sweep,baseline,sin_family,1.25,12,3,4,941454,100000,0,2.4292547702789307,True,2.4979962080251426
w3,threshold_sweep,baseline,sin_family,1.5,3,3,3,939387,100000,0,2.906245231628418,True,0.9744514578487724
w3,threshold_sweep,baseline,sin_family,1.5,3,3,5,940174,100000,0,3.3398094177246094,True,0.7484447078313679
w3,threshold_sweep,baseline,sin_family,1.5,3,3,10,935626,100000,0,2.962851047515869,True,0.7237529589328915
w3,threshold_sweep,baseline,sin_family,1.5,3,3,11,910924,100000,0,2.907301902770996,True,0.7335215418133885
w3,threshold_sweep,baseline,sin_family,1.5,3,3,18,902696,100000,0,1.5077095031738281,True,0.7233615000732243
w3,threshold_sweep,baseline,sin_family,1.5,5,3,4,903528,100000,0,5.672340393066406,True,1.0584018328227103
w3,threshold_sweep,baseline,sin_family,1.5,5,3,11,937121,100000,0,1.357907772064209,True,1.127396791940555
w3,threshold_sweep,baseline,sin_family,1.5,5,3,15,906600,100000,0,5.842270851135254,True,1.2463515419512987
w3,threshold_sweep,baseline,sin_family,1.5,5,3,18,938117,100000,0,2.7864599227905273,True,1.0435422088485211
w3,threshold_sweep,baseline,sin_family,1.5,5,3,19,947619,100000,0,0.3044132590293884,True,1.0433267077896744
