a,budget,seed,init_distance_step0,distance_step1_recomputed,logged_first_distance,step1_reproduced,min_distance_logged,min_including_step0,min_at_step0
1.3,4000,27,5.405304836256203,5.400750486862613,5.400750486862613,True,5.382219320681787,5.382219320681787,False
1.4,2000,10,5.248216682356245,5.23184820578024,5.23184820578024,True,4.802960475352399,4.802960475352399,False
1.6,32000,8,4.112331166746633,4.11462199452204,4.11462199452204,True,4.11462199452204,4.112331166746633,True
1.3,8000,32,5.743569091399563,5.726845019240653,5.726845019240653,True,5.347137657959064,5.347137657959064,False
1.35,2000,3,5.380242364755303,5.388177945881493,5.388177945881493,True,5.388177945881493,5.380242364755303,True
1.3,8000,24,5.450267876343037,5.433051297370881,5.433051297370881,True,5.016451287841075,5.016451287841075,False
1.3,2000,4,4.7958860758423265,4.804764867955381,4.804764867955381,True,4.804764867955381,4.7958860758423265,True
1.3,2000,23,5.183906966309225,5.199291535789696,5.199291535789696,True,4.593828630653499,4.593828630653499,False
1.3,32000,27,5.405304836256203,5.400750486862613,5.400750486862613,True,5.382219320681787,5.382219320681787,False
1.45,4000,39,5.1392059208755025,5.131592693630568,5.131592693630568,True,4.732053783428845,4.732053783428845,False
1.45,4000,18,5.415864006333145,5.399857743249102,5.399857743249102,True,4.602624609116889,4.602624609116889,False
1.5,8000,24,5.487629407413545,5.470466310167841,5.470466310167841,True,4.751975639307714,4.751975639307714,False
1.4,32000,32,5.765431846388554,5.7487076658127005,5.7487076658127005,True,5.371704315444265,5.371704315444265,False
1.5,4000,33,4.900628629582267,4.910074238352101,4.910074238352101,True,4.910074238352101,4.900628629582267,True
1.35,32000,38,5.35811704208195,5.34823886502125,5.34823886502125,True,5.273651743184722,5.273651743184722,False
1.45,4000,34,5.492025762880408,5.490428886265766,5.490428886265766,True,5.487735959382991,5.487735959382991,False
1.6,16000,18,5.410579074787164,5.394607543724868,5.394607543724868,True,4.673943518295394,4.673943518295394,False
1.35,4000,11,4.593481610004228,4.588537033596474,4.588537033596474,True,4.501827742467253,4.501827742467253,False
1.5,4000,35,5.222483961395048,5.219032623127191,5.219032623127191,True,5.168752319148844,5.168752319148844,False
1.35,4000,37,4.312706581084096,4.309770087603418,4.309770087603418,True,4.276844831103936,4.276844831103936,False
1.45,16000,9,5.657088162485361,5.6410283413616025,5.6410283413616025,True,5.531033379784308,5.531033379784308,False
1.5,2000,39,5.145435930522375,5.137699543005529,5.137699543005529,True,4.7329471363348175,4.7329471363348175,False
1.35,32000,9,5.644282751503274,5.628204408483242,5.628204408483242,True,5.51676227676156,5.51676227676156,False
