object,coord,epsilon,recovered,n
found,0,0.01,40,40
found,0,0.1,40,40
found,0,0.3,40,40
found,0,1.0,40,40
found,1,0.01,40,40
found,1,0.1,40,40
found,1,0.3,40,40
found,1,1.0,17,40
found,2,0.01,40,40
found,2,0.1,40,40
found,2,0.3,40,40
found,2,1.0,31,40
found,3,0.01,40,40
found,3,0.1,40,40
found,3,0.3,40,40
found,3,1.0,25,40
constructed,0,0.01,40,40
constructed,0,0.1,40,40
constructed,0,0.3,40,40
constructed,0,1.0,40,40
constructed,1,0.01,40,40
constructed,1,0.1,40,40
constructed,1,0.3,20,40
constructed,1,1.0,6,40
constructed,2,0.01,40,40
constructed,2,0.1,40,40
constructed,2,0.3,40,40
constructed,2,1.0,31,40
constructed,3,0.01,40,40
constructed,3,0.1,40,40
constructed,3,0.3,40,40
constructed,3,1.0,27,40
