object,coord,epsilon,recovered,n
found,0,0.01,40,40
found,0,0.1,40,40
found,0,0.3,34,40
found,0,1.0,22,40
found,1,0.01,40,40
found,1,0.1,39,40
found,1,0.3,21,40
found,1,1.0,5,40
found,2,0.01,40,40
found,2,0.1,40,40
found,2,0.3,40,40
found,2,1.0,32,40
found,3,0.01,40,40
found,3,0.1,40,40
found,3,0.3,40,40
found,3,1.0,34,40
constructed,0,0.01,40,40
constructed,0,0.1,40,40
constructed,0,0.3,28,40
constructed,0,1.0,13,40
constructed,1,0.01,37,40
constructed,1,0.1,8,40
constructed,1,0.3,3,40
constructed,1,1.0,1,40
constructed,2,0.01,40,40
constructed,2,0.1,40,40
constructed,2,0.3,39,40
constructed,2,1.0,21,40
constructed,3,0.01,40,40
constructed,3,0.1,40,40
constructed,3,0.3,40,40
constructed,3,1.0,39,40
