q,budget,eps,rate
4.0,2000,0.6,0.85
4.0,2000,0.4,0.85
4.0,2000,0.25,0.85
4.0,2000,0.15,0.15
4.0,8000,0.6,0.9
4.0,8000,0.4,0.9
4.0,8000,0.25,0.875
4.0,8000,0.15,0.875
4.0,8000,0.1,0.9
4.0,8000,0.06,0.775
4.0,8000,0.04,0.025
4.0,32000,0.6,0.95
4.0,32000,0.4,0.95
4.0,32000,0.25,0.925
4.0,32000,0.15,0.925
4.0,32000,0.1,0.95
4.0,32000,0.06,0.9
4.0,32000,0.04,0.9
4.0,32000,0.025,0.9
4.0,32000,0.015,0.45
4.0,128000,0.6,0.95
4.0,128000,0.4,0.95
4.0,128000,0.25,0.95
4.0,128000,0.15,0.925
4.0,128000,0.1,0.95
4.0,128000,0.06,0.9
4.0,128000,0.04,0.9
4.0,128000,0.025,0.9
4.0,128000,0.015,0.875
4.0,128000,0.01,0.9
4.0,128000,0.006,0.85
0.6666666666666666,2000,0.6,0.425
0.6666666666666666,2000,0.4,0.0
0.6666666666666666,2000,0.25,0.0
0.6666666666666666,2000,0.15,0.0
0.6666666666666666,2000,0.1,0.0
0.6666666666666666,2000,0.06,0.0
0.6666666666666666,2000,0.04,0.0
0.6666666666666666,2000,0.025,0.0
0.6666666666666666,2000,0.015,0.0
0.6666666666666666,2000,0.01,0.0
0.6666666666666666,2000,0.006,0.0
0.6666666666666666,8000,0.6,0.725
0.6666666666666666,8000,0.4,0.725
0.6666666666666666,8000,0.25,0.0
0.6666666666666666,32000,0.6,0.725
0.6666666666666666,32000,0.4,0.725
0.6666666666666666,32000,0.25,0.7
0.6666666666666666,32000,0.15,0.325
0.6666666666666666,128000,0.6,0.725
0.6666666666666666,128000,0.4,0.725
0.6666666666666666,128000,0.25,0.7
0.6666666666666666,128000,0.15,0.75
0.6666666666666666,128000,0.1,0.75
0.6666666666666666,128000,0.06,0.0
