family,beta,budget,onset_eps,bracketed,q
q4_beta1.25,1.25,2000,0.25,True,
q4_beta1.25,1.25,8000,0.06,True,
q4_beta1.25,1.25,32000,0.025,True,
q4_beta1.25,1.25,128000,0.006,False,
q0.667_beta2.5,2.4992503748125934,2000,,False,
q0.667_beta2.5,2.4992503748125934,8000,0.4,True,
q0.667_beta2.5,2.4992503748125934,32000,0.25,True,
q0.667_beta2.5,2.4992503748125934,128000,0.1,True,
q2_beta1.5,1.5,2000,0.25,True,2.0
q2_beta1.5,1.5,8000,0.1,True,2.0
q2_beta1.5,1.5,32000,0.04,True,2.0
q2_beta1.5,1.5,128000,0.015,True,2.0
q1_beta2,2.0,2000,0.6,True,1.0
q1_beta2,2.0,8000,0.25,True,1.0
q1_beta2,2.0,32000,0.1,True,1.0
q1_beta2,2.0,128000,0.04,True,1.0
