reference,opt,predictor,n,median_obs,median_pred,median_ratio,frac_within_10,median_abs_err,spearman
branch switch (registered target),adam,"mechanistic, trajectory (registered)",74,0.093779246704978,0.07989672847059315,1.0650932556464938,0.21621621621621623,0.022898084505106452,0.2484561273602369
branch switch (registered target),adam,"mechanistic, closed form (registered)",74,0.093779246704978,0.08865653271671844,1.0454504462626697,0.2972972972972973,0.014592109145848048,0.5518104405775638
branch switch (registered target),adam,constant lag from a = 1.30–1.60,74,0.093779246704978,0.0342759348112602,2.736008433362115,0.0,0.0595033118937178,
branch switch (registered target),adam,frozen fitted relationship,74,0.093779246704978,0.09353153036011544,0.9717533735221782,0.44594594594594594,0.010405908736467316,0.4979340984820436
branch switch (registered target),sgd,"mechanistic, trajectory (registered)",63,0.0937622908317581,0.0898602457473596,1.0555267302534384,1.0,0.004731581323971293,0.9945276497695852
branch switch (registered target),sgd,"mechanistic, closed form (registered)",63,0.0937622908317581,0.0884126701611265,1.023791591998875,0.6190476190476191,0.006952094493844499,0.8081317204301075
branch switch (registered target),sgd,constant lag from a = 1.30–1.60,63,0.0937622908317581,0.04219963606056015,2.2218743947744253,0.0,0.05156265477119795,
branch switch (registered target),sgd,frozen fitted relationship,63,0.0937622908317581,0.09286540749902752,0.9743973489115363,0.746031746031746,0.0058132744424629484,0.8081317204301075
global own threshold (sensitivity),adam,"mechanistic, trajectory (registered)",74,0.0892794428324237,0.07989672847059315,1.0884180848659375,0.17567567567567569,0.0245235368646236,-0.0526767863754165
global own threshold (sensitivity),adam,"mechanistic, closed form (registered)",74,0.0892794428324237,0.08865653271671844,1.0506257368999412,0.25675675675675674,0.016374856770734508,0.18785634950018507
global own threshold (sensitivity),adam,constant lag from a = 1.30–1.60,74,0.0892794428324237,0.0342759348112602,2.604726707646029,0.0,0.05757610810091515,
global own threshold (sensitivity),adam,frozen fitted relationship,74,0.0892794428324237,0.09353153036011544,0.970099599685568,0.40540540540540543,0.011892723632170019,0.1535283228433913
global own threshold (sensitivity),sgd,"mechanistic, trajectory (registered)",63,0.0908681585005761,0.0898602457473596,1.0436149325001127,0.8095238095238095,0.0050323161298131,0.3446140552995392
global own threshold (sensitivity),sgd,"mechanistic, closed form (registered)",63,0.0908681585005761,0.0884126701611265,1.0428055029452128,0.49206349206349204,0.008095134993724704,0.1681067588325653
global own threshold (sensitivity),sgd,constant lag from a = 1.30–1.60,63,0.0908681585005761,0.04219963606056015,2.153292468450969,0.015873015873015872,0.05032462667664765,
global own threshold (sensitivity),sgd,frozen fitted relationship,63,0.0908681585005761,0.09286540749902752,0.9848665538157907,0.6349206349206349,0.006007887493787681,0.1681067588325653
