variant,level,k,n,frac,ci95_lo,ci95_hi
preserved,0.6,0,177,0.0,0.0,0.020625451479576784
preserved,0.8,0,177,0.0,0.0,0.020625451479576784
preserved,0.9,3,177,0.01694915254237288,0.0035090550205758523,0.04873134915250781
preserved,1.0,36,177,0.2033898305084746,0.14670402695147525,0.27028585338907096
preserved,1.1,114,177,0.6440677966101694,0.5687522236116307,0.7144681608811836
preserved,1.25,171,177,0.9661016949152542,0.9276808624104244,0.987460187289229
preserved,1.5,177,177,1.0,0.9793745485204232,1.0
preserved,2.0,177,177,1.0,0.9793745485204232,1.0
reset,0.6,0,177,0.0,0.0,0.020625451479576784
reset,0.8,0,177,0.0,0.0,0.020625451479576784
reset,0.9,3,177,0.01694915254237288,0.0035090550205758523,0.04873134915250781
reset,1.0,34,177,0.192090395480226,0.13684857300984277,0.25794415755869327
reset,1.1,114,177,0.6440677966101694,0.5687522236116307,0.7144681608811836
reset,1.25,171,177,0.9661016949152542,0.9276808624104244,0.987460187289229
reset,1.5,177,177,1.0,0.9793745485204232,1.0
reset,2.0,177,177,1.0,0.9793745485204232,1.0
