activation,parameter,box,solution_fraction,components,solution_inradius,basin_fraction,ratio_basin_to_solution
sin_family,1.05,5.0,0.0,0,0.0,0.0,
sin_family,1.1,5.0,0.0,0,0.0,0.0,
sin_family,1.25,5.0,2.831095764999234e-06,8,0.0,0.0,0.0
sin_family,1.35,5.0,4.2466436474988505e-06,12,0.0,0.003657978966620942,861.38119189148
sin_family,1.5,5.0,8.493287294997701e-06,24,0.0,0.05182136869379668,6101.450109231317
sin_family,2.0,5.0,4.812862800498697e-05,64,0.0,0.502362444749276,10437.9132664497
sin_family,3.0,5.0,0.00018685232048994943,80,0.0,0.4657826550830666,2492.7849644132225
pwl_family,-0.05,5.0,0.0007551947953135456,28,0.0,0.3249504648681603,430.28694965150777
pwl_family,-0.25,5.0,0.0016462821873470545,42,0.0,0.42219173906416707,256.45162312332326
gelu,,5.0,1.0616609118747127e-05,8,0.0,0.17192501143118427,16193.966407559823
sin_family,1.05,10.0,0.0,0,0.0,0.0,
sin_family,1.1,10.0,0.0,0,0.0,0.0,
sin_family,1.25,10.0,1.415547882499617e-06,4,0.0,0.0,0.0
sin_family,1.35,10.0,1.415547882499617e-06,4,0.0,0.0024386526444139613,1722.76238378296
sin_family,1.5,10.0,8.493287294997701e-06,24,0.0,0.07681755829903979,9044.50251486054
sin_family,2.0,10.0,9.90883517749732e-06,20,0.0,0.2383782959914647,24057.14614496919
sin_family,3.0,10.0,5.3790819534985446e-05,28,0.0,0.28318853833257124,5264.62583728411
pwl_family,-0.05,10.0,0.0015202984258045886,48,0.0,0.2522481329065691,165.92014345675037
pwl_family,-0.25,10.0,0.001019902249340974,38,0.0,0.354061880810852,347.1527600214969
gelu,,10.0,3.5388697062490422e-06,2,0.0,0.11415942691662856,32258.725636335923
