setting,activation,parameter,seed,eval_errors,solved
annulus2d,sin_family,1.0,0,63,False
annulus2d,sin_family,1.0,1,64,False
annulus2d,sin_family,1.0,2,125,False
annulus2d,sin_family,1.0,3,111,False
annulus2d,sin_family,1.0,4,147,False
annulus2d,sin_family,1.0,5,124,False
annulus2d,sin_family,1.0,6,129,False
annulus2d,sin_family,1.0,7,61,False
annulus2d,sin_family,1.0,8,147,False
annulus2d,sin_family,1.0,9,122,False
annulus2d,sin_family,1.0,10,45,False
annulus2d,sin_family,1.0,11,137,False
annulus2d,sin_family,1.0,12,44,False
annulus2d,sin_family,1.0,13,83,False
annulus2d,sin_family,1.0,14,117,False
annulus2d,sin_family,1.0,15,102,False
annulus2d,sin_family,1.0,16,151,False
annulus2d,sin_family,1.0,17,73,False
annulus2d,sin_family,1.0,18,72,False
annulus2d,sin_family,1.0,19,117,False
annulus2d,sin_family,1.0,20,66,False
annulus2d,sin_family,1.0,21,44,False
annulus2d,sin_family,1.0,22,56,False
annulus2d,sin_family,1.0,23,73,False
annulus2d,sin_family,1.0,24,39,False
annulus2d,sin_family,1.0,25,133,False
annulus2d,sin_family,1.0,26,77,False
annulus2d,sin_family,1.0,27,50,False
annulus2d,sin_family,1.0,28,45,False
annulus2d,sin_family,1.0,29,147,False
annulus2d,sin_family,1.0,30,119,False
annulus2d,sin_family,1.0,31,73,False
annulus2d,sin_family,1.0,32,46,False
annulus2d,sin_family,1.0,33,132,False
annulus2d,sin_family,1.0,34,96,False
annulus2d,sin_family,1.0,35,97,False
annulus2d,sin_family,1.0,36,105,False
annulus2d,sin_family,1.0,37,65,False
annulus2d,sin_family,1.0,38,123,False
annulus2d,sin_family,1.0,39,151,False
annulus2d,sin_family,1.0,40,68,False
annulus2d,sin_family,1.0,41,67,False
annulus2d,sin_family,1.0,42,75,False
annulus2d,sin_family,1.0,43,124,False
annulus2d,sin_family,1.0,44,52,False
annulus2d,sin_family,1.0,45,150,False
annulus2d,sin_family,1.0,46,143,False
annulus2d,sin_family,1.0,47,126,False
annulus2d,sin_family,1.0,48,143,False
