dataset,activation,format,depth,width,seed,eval_data_seed,baseline_vector_collision_rate
linked_tori,tanh,bfloat16,4,5,0,20000,0.026000000000000023
linked_tori,tanh,bfloat16,4,15,0,20000,0.0
linked_tori,tanh,bfloat16,4,30,0,20000,0.0
linked_tori,tanh,bfloat16,4,50,0,20000,0.0
linked_tori,tanh,bfloat16,6,5,0,20000,0.13049999999999995
linked_tori,tanh,bfloat16,6,15,0,20000,0.0
linked_tori,tanh,bfloat16,6,30,0,20000,0.0
linked_tori,tanh,bfloat16,6,50,0,20000,0.0
linked_tori,tanh,bfloat16,8,5,0,20000,0.696
linked_tori,tanh,bfloat16,8,15,0,20000,0.0044999999999999485
linked_tori,tanh,bfloat16,8,30,0,20000,0.0
linked_tori,tanh,bfloat16,8,50,0,20000,0.0
linked_tori,tanh,bfloat16,10,5,0,20000,0.973
linked_tori,tanh,bfloat16,10,15,0,20000,0.22750000000000004
linked_tori,tanh,bfloat16,10,30,0,20000,0.0014999999999999458
linked_tori,tanh,bfloat16,10,50,0,20000,0.0010000000000000009
linked_tori,tanh,bfloat16,4,5,1,20001,0.015499999999999958
linked_tori,tanh,bfloat16,4,15,1,20001,0.0
linked_tori,tanh,bfloat16,4,30,1,20001,0.0
linked_tori,tanh,bfloat16,4,50,1,20001,0.0
linked_tori,tanh,bfloat16,6,5,1,20001,0.08899999999999997
linked_tori,tanh,bfloat16,6,15,1,20001,0.0014999999999999458
linked_tori,tanh,bfloat16,6,30,1,20001,0.0
linked_tori,tanh,bfloat16,6,50,1,20001,0.0
linked_tori,tanh,bfloat16,8,5,1,20001,0.9299999999999999
linked_tori,tanh,bfloat16,8,15,1,20001,0.20750000000000002
linked_tori,tanh,bfloat16,8,30,1,20001,0.005499999999999949
linked_tori,tanh,bfloat16,8,50,1,20001,0.0
linked_tori,tanh,bfloat16,10,5,1,20001,0.9945
linked_tori,tanh,bfloat16,10,15,1,20001,0.75
linked_tori,tanh,bfloat16,10,30,1,20001,0.0020000000000000018
linked_tori,tanh,bfloat16,10,50,1,20001,0.0
linked_tori,tanh,bfloat16,4,5,2,20002,0.01100000000000001
linked_tori,tanh,bfloat16,4,15,2,20002,0.0
linked_tori,tanh,bfloat16,4,30,2,20002,0.0
linked_tori,tanh,bfloat16,4,50,2,20002,0.0
linked_tori,tanh,bfloat16,6,5,2,20002,0.383
linked_tori,tanh,bfloat16,6,15,2,20002,0.0004999999999999449
linked_tori,tanh,bfloat16,6,30,2,20002,0.0
linked_tori,tanh,bfloat16,6,50,2,20002,0.0
linked_tori,tanh,bfloat16,8,5,2,20002,0.9475
linked_tori,tanh,bfloat16,8,15,2,20002,0.0010000000000000009
linked_tori,tanh,bfloat16,8,30,2,20002,0.0010000000000000009
linked_tori,tanh,bfloat16,8,50,2,20002,0.0
linked_tori,tanh,bfloat16,10,5,2,20002,0.997
linked_tori,tanh,bfloat16,10,15,2,20002,0.484
linked_tori,tanh,bfloat16,10,30,2,20002,0.0004999999999999449
linked_tori,tanh,bfloat16,10,50,2,20002,0.0
linked_tori,tanh,bfloat16,4,5,3,20003,0.20550000000000002
linked_tori,tanh,bfloat16,4,15,3,20003,0.0
linked_tori,tanh,bfloat16,4,30,3,20003,0.0
linked_tori,tanh,bfloat16,4,50,3,20003,0.0
linked_tori,tanh,bfloat16,6,5,3,20003,0.5549999999999999
linked_tori,tanh,bfloat16,6,15,3,20003,0.0004999999999999449
linked_tori,tanh,bfloat16,6,30,3,20003,0.0
linked_tori,tanh,bfloat16,6,50,3,20003,0.0
linked_tori,tanh,bfloat16,8,5,3,20003,0.957
linked_tori,tanh,bfloat16,8,15,3,20003,0.0024999999999999467
linked_tori,tanh,bfloat16,8,30,3,20003,0.0
linked_tori,tanh,bfloat16,8,50,3,20003,0.0
linked_tori,tanh,bfloat16,10,5,3,20003,0.995
linked_tori,tanh,bfloat16,10,15,3,20003,0.08899999999999997
linked_tori,tanh,bfloat16,10,30,3,20003,0.0034999999999999476
linked_tori,tanh,bfloat16,10,50,3,20003,0.0
linked_tori,tanh,bfloat16,4,5,4,20004,0.0010000000000000009
linked_tori,tanh,bfloat16,4,15,4,20004,0.0
linked_tori,tanh,bfloat16,4,30,4,20004,0.0
linked_tori,tanh,bfloat16,4,50,4,20004,0.0
linked_tori,tanh,bfloat16,6,5,4,20004,0.5575
linked_tori,tanh,bfloat16,6,15,4,20004,0.0
linked_tori,tanh,bfloat16,6,30,4,20004,0.0
linked_tori,tanh,bfloat16,6,50,4,20004,0.0
linked_tori,tanh,bfloat16,8,5,4,20004,0.751
linked_tori,tanh,bfloat16,8,15,4,20004,0.011499999999999955
linked_tori,tanh,bfloat16,8,30,4,20004,0.0
linked_tori,tanh,bfloat16,8,50,4,20004,0.0
linked_tori,tanh,bfloat16,10,5,4,20004,0.993
linked_tori,tanh,bfloat16,10,15,4,20004,0.6599999999999999
linked_tori,tanh,bfloat16,10,30,4,20004,0.0
linked_tori,tanh,bfloat16,10,50,4,20004,0.0
