arm,seed,data_seed,eval_errors,dense_errors,separated,init_spec_product,final_spec_product,final_norms
standard,0,0,0,0.0,True,0.1878932736215219,2614.537459807283,"[2.7211, 4.1727, 3.0594, 4.0002, 5.0995, 3.6896]"
standard,1,1,0,0.0,True,0.21004678963872436,2476.77309164074,"[2.0365, 3.743, 4.5595, 4.1622, 4.3883, 3.9016]"
standard,2,2,96,,False,0.16757524861581463,3971.347501260256,"[2.6083, 3.911, 3.7162, 4.0185, 6.3776, 4.0877]"
standard,3,3,69,,False,0.2784126031337563,1896.4634277541538,"[1.9712, 4.4256, 3.1974, 2.9292, 4.0953, 5.6679]"
standard,4,4,94,,False,0.6370089472055939,154.2936989940665,"[1.9667, 2.4006, 2.5141, 2.1614, 2.4774, 2.4276]"
standard,5,5,77,,False,0.5537292856348373,12729.037758547316,"[6.9141, 3.1035, 2.527, 3.1675, 9.7439, 7.6059]"
standard,6,6,74,,False,0.09374602892424977,513.4735506402518,"[2.5473, 3.3164, 3.1297, 2.8001, 2.7387, 2.5325]"
standard,7,7,94,,False,0.1383926949419566,1192.1755893513148,"[2.6112, 3.0382, 4.299, 2.5191, 3.3844, 4.1002]"
standard,8,8,68,,False,0.350370360546409,4588.72661980834,"[2.5324, 4.8835, 5.5839, 4.2933, 4.5391, 3.4098]"
standard,9,9,75,,False,0.13647564268803386,152.7220091036945,"[1.8351, 1.9765, 2.684, 2.3618, 2.1142, 3.1418]"
standard,10,10,77,,False,0.3261633905989334,1475.3639395449356,"[1.7368, 3.3419, 4.2896, 3.245, 3.1808, 5.7412]"
standard,11,11,70,,False,0.1481556086054877,4389.264352902369,"[1.9965, 5.358, 3.9426, 4.3906, 5.0362, 4.7066]"
standard,12,12,60,,False,0.1439195821431427,649.942106465373,"[1.7639, 4.4692, 2.4905, 3.1435, 3.4592, 3.0444]"
standard,13,13,95,,False,0.38033364903315126,708.1671898172503,"[1.9448, 4.039, 3.4169, 2.9878, 2.9096, 3.0351]"
standard,14,14,67,,False,0.3753520566977644,840.692292559418,"[1.7533, 3.8395, 2.8067, 3.1115, 3.6299, 3.9394]"
standard,15,15,69,,False,0.2089018467648036,4378.898090226444,"[1.9266, 6.5907, 4.4491, 4.3197, 5.0529, 3.5513]"
standard,16,16,64,,False,0.5502850254632425,868.9530192466553,"[1.917, 3.7191, 2.7585, 3.2882, 3.6287, 3.703]"
standard,17,17,83,,False,0.28157639212235736,16171.890873347471,"[3.3229, 4.1426, 5.2401, 8.284, 5.1698, 5.2351]"
standard,18,18,89,,False,0.12601065568892544,2349.724427357334,"[2.806, 4.3139, 3.119, 3.5983, 4.6756, 3.699]"
standard,19,19,67,,False,0.29255274535171016,2256.529097996733,"[1.8601, 4.2284, 3.6197, 3.9298, 5.1492, 3.917]"
standard,20,20,77,,False,0.18387331602861898,4292.866321057468,"[3.8996, 4.5169, 4.4415, 3.9281, 3.5631, 3.9204]"
standard,21,21,71,,False,0.2572089244241473,335.71990427347663,"[2.5839, 2.8126, 2.5943, 2.5957, 2.6496, 2.589]"
standard,22,22,85,,False,0.23600336018251306,323.60086190492046,"[3.0067, 2.1549, 2.0839, 2.613, 3.0375, 3.0197]"
standard,23,23,62,,False,0.18255133005681604,4059.159094691375,"[1.9012, 5.9999, 4.3973, 4.2165, 5.7541, 3.3353]"
standard,24,24,0,0.0,True,0.23328556422437077,1062.0520722210179,"[2.2336, 3.0395, 3.1487, 3.8469, 3.8012, 3.3978]"
standard,25,25,63,,False,0.37470877358276017,695.3059427620526,"[2.2755, 2.8861, 2.6242, 3.0735, 2.7085, 4.8463]"
standard,26,26,0,2.0,False,0.19644678366342525,3127.3127251330475,"[2.3325, 4.1021, 4.375, 3.2551, 5.6934, 4.0311]"
standard,27,27,69,,False,0.09122739120513436,1839.2037099808979,"[2.8043, 2.8759, 4.0323, 2.6818, 3.7548, 5.6166]"
standard,28,28,80,,False,0.24012579784353422,4614.447277826605,"[2.2246, 5.1172, 4.1443, 4.0178, 4.7206, 5.1571]"
standard,29,29,69,,False,0.3028852551981155,617.2030061548838,"[2.0637, 3.2349, 3.1073, 3.1592, 3.4164, 2.7568]"
standard,30,30,72,,False,0.28629192522032687,480.4118392292818,"[1.9752, 2.3992, 2.7834, 3.0542, 3.0834, 3.8676]"
standard,31,31,88,,False,0.10027551267130867,208.49627199343985,"[2.1979, 3.1787, 2.6045, 2.0977, 2.8275, 1.9318]"
standard,32,32,0,0.0,True,0.4296188064671858,1380.5672938208388,"[1.9306, 2.6941, 3.6567, 5.9292, 3.0637, 3.9959]"
standard,33,33,88,,False,0.28051390853060504,473.41892851528826,"[2.3206, 2.7596, 4.3549, 2.3813, 2.484, 2.8699]"
standard,34,34,0,0.0,True,0.14658186912641788,3166.358515778012,"[2.0578, 2.8017, 3.1349, 2.6727, 9.503, 6.8976]"
standard,35,35,77,,False,0.44054111986192546,239.33134066743378,"[1.9706, 2.0812, 2.039, 2.4665, 1.9024, 6.0995]"
standard,36,36,69,,False,0.2875608812018333,3560.2274739043946,"[3.248, 3.1563, 4.5133, 4.3869, 3.6257, 4.8377]"
standard,37,37,73,,False,0.22948080980543328,439.42235475261947,"[2.2007, 2.8354, 2.9417, 2.7892, 2.979, 2.881]"
standard,38,38,87,,False,0.34281619545930125,234.16972006883415,"[1.6188, 2.8599, 2.6531, 2.5449, 2.4774, 3.0239]"
standard,39,39,12,,False,0.2601687568220176,51351.495039895046,"[5.8449, 6.2376, 4.6906, 5.109, 6.7415, 8.7184]"
standard,40,40,64,,False,0.24765598135705144,1950.903604764396,"[2.0858, 3.2102, 4.0499, 4.743, 3.7964, 3.9954]"
standard,41,41,61,,False,0.36114640541624393,3991.9831899489022,"[3.0654, 5.1085, 4.1074, 3.5022, 3.9863, 4.4455]"
standard,42,42,79,,False,0.17722645782987315,177.73848722847325,"[2.0347, 2.5406, 2.7152, 2.2351, 2.7764, 2.0407]"
standard,43,43,81,,False,0.23045177796450295,2367.26592844281,"[3.8173, 3.4292, 3.7601, 6.3916, 3.0862, 2.4381]"
standard,44,44,90,,False,0.23537317236964417,441.6848942480971,"[2.6639, 1.977, 3.6314, 2.0749, 2.6175, 4.252]"
standard,45,45,73,,False,0.26383716230402937,18414.066330571513,"[4.2515, 5.9587, 3.0538, 4.0048, 3.2863, 18.0855]"
standard,46,46,63,,False,0.28302559580866027,4234.446019869375,"[1.7865, 5.173, 4.0769, 3.7162, 6.8797, 4.3959]"
standard,47,47,76,,False,0.17034419887486982,1821.7204503562446,"[2.5601, 2.7871, 4.5731, 3.4424, 4.591, 3.5325]"
standard,48,48,66,,False,0.10456488039083571,11499.893966768788,"[3.0075, 4.2707, 5.7632, 6.0411, 5.1128, 5.0298]"
standard,49,49,72,,False,0.2485597973647844,1826.6967997092152,"[2.7414, 3.5644, 3.9513, 3.0609, 3.7127, 4.1631]"
standard,50,50,77,,False,0.21715605713664377,31862.346714892545,"[4.2225, 4.6844, 4.9155, 4.4612, 9.3842, 7.8278]"
standard,51,51,82,,False,0.27727833769253474,8105.131858574955,"[1.9641, 6.3801, 4.2385, 4.6239, 5.9294, 5.5658]"
standard,52,52,84,,False,0.36500776244243827,8567.31299553374,"[1.8946, 6.2079, 5.1364, 4.2731, 6.3743, 5.2066]"
standard,53,53,88,,False,0.3291818508214851,426.1926275829099,"[2.0238, 2.4055, 2.5455, 2.5084, 2.0886, 6.5644]"
standard,54,54,18,,False,0.46035005629235254,14557.05955449894,"[5.6357, 5.076, 4.3725, 4.9532, 5.1582, 4.5551]"
standard,55,55,56,,False,0.3516862265393812,4082.7805796050616,"[1.8989, 6.6104, 3.961, 3.7328, 5.3848, 4.0853]"
standard,56,56,75,,False,0.07651675786795528,221.02666058099592,"[2.6129, 2.4661, 2.6466, 2.1285, 2.3932, 2.5443]"
standard,57,57,0,0.0,True,0.3242862351978873,1796.3399855846124,"[1.6055, 2.3429, 4.6427, 5.5825, 4.5383, 4.06]"
standard,58,58,68,,False,0.4730177496591878,4816.773002750219,"[3.4442, 6.0485, 3.0905, 4.122, 4.325, 4.1965]"
standard,59,59,81,,False,0.44467736343802394,10035.685839342714,"[4.5603, 6.0876, 4.1627, 3.9341, 6.2952, 3.5065]"
standard,60,60,62,,False,0.4073700982989777,478.3613727796602,"[3.2242, 2.2772, 3.7004, 2.9687, 2.4175, 2.4532]"
standard,61,61,79,,False,0.3431099224598911,18001.00983015717,"[3.6285, 3.4699, 4.7868, 5.1003, 5.664, 10.3393]"
standard,62,62,89,,False,0.20648404505596737,479.4998635840275,"[2.2624, 2.3145, 2.5642, 2.1373, 3.3597, 4.9732]"
standard,63,63,96,,False,0.1306512211378083,349.47304449055287,"[1.8991, 2.5671, 2.2798, 2.4432, 2.3474, 5.4822]"
standard,64,64,80,,False,0.37987841062176564,448.5403500365191,"[2.3483, 2.2395, 2.3469, 3.0057, 3.3309, 3.6299]"
standard,65,65,79,,False,0.45959592840880387,5429.186892918965,"[2.8347, 4.0902, 8.5041, 5.8287, 2.6303, 3.5915]"
standard,66,66,80,,False,0.29992860913142616,1949.0042401974438,"[2.3252, 4.7615, 3.0672, 3.6227, 4.1533, 3.8146]"
standard,67,67,74,,False,0.1815812861410233,353.79325789661897,"[2.1033, 1.559, 3.6685, 2.9795, 2.9568, 3.3384]"
standard,68,68,21,,False,0.2697488953209055,14050.94234745664,"[2.4309, 4.0639, 6.5905, 4.3494, 7.0618, 7.0265]"
standard,69,69,71,,False,0.38790507676431113,12068.249401406112,"[3.9521, 4.5123, 3.663, 4.828, 5.4725, 6.9923]"
standard,70,70,89,,False,0.2177186854503104,634.7303370887171,"[2.1418, 2.5931, 2.565, 2.9382, 3.0049, 5.0464]"
standard,71,71,70,,False,0.3365694365663734,13181.805714307726,"[3.9598, 4.6286, 4.0641, 5.1579, 5.3329, 6.4335]"
standard,72,72,72,,False,0.11185014095746701,24176.321022868444,"[4.882, 5.2356, 4.2214, 3.5076, 5.7963, 11.0208]"
standard,73,73,65,,False,0.3040488407878984,151149.52335378193,"[6.3501, 4.2435, 6.9022, 6.9333, 6.1985, 18.9101]"
standard,74,74,80,,False,0.11508881267782589,181.59506846565637,"[1.943, 2.5833, 2.7403, 2.5763, 2.2429, 2.2848]"
standard,75,75,78,,False,0.19590238976700045,4455.434969136724,"[2.4859, 4.5805, 3.8102, 4.4796, 5.5045, 4.1648]"
standard,76,76,92,,False,0.27241664538538873,1215.826136071411,"[2.3831, 6.4766, 3.211, 2.7892, 3.2243, 2.7278]"
standard,77,77,98,,False,0.14436784985342593,468.70185220944154,"[2.7015, 2.1456, 2.8428, 2.3862, 3.4299, 3.4753]"
standard,78,78,68,,False,0.35324529416008493,1394.7957366060075,"[1.7967, 3.4346, 3.5486, 4.7388, 4.3397, 3.0973]"
standard,79,79,0,0.0,True,0.24830517337436858,5491.2705998807105,"[3.1349, 3.2552, 5.5516, 5.3066, 4.1991, 4.3499]"
standard,80,80,108,,False,0.43930819622527306,221.33201778258424,"[1.8758, 1.9492, 2.1717, 2.3911, 2.3098, 5.0467]"
standard,81,81,73,,False,0.5046196672826765,15031.824028195437,"[3.3261, 3.7437, 3.1737, 7.937, 8.7966, 5.4478]"
standard,82,82,97,,False,0.3837622277610051,226.97810537627674,"[2.0236, 2.1882, 2.6994, 1.7424, 1.8229, 5.9784]"
standard,83,83,0,0.0,True,0.34316781906987154,6536.751070319496,"[1.6248, 4.5514, 3.8218, 6.2546, 6.8536, 5.3955]"
standard,84,84,69,,False,0.14191552742197236,48227.32394738214,"[10.5652, 6.5958, 5.1478, 4.9385, 5.6343, 4.8317]"
standard,85,85,61,,False,0.4019341245987734,2892.6276039583336,"[3.2015, 4.2496, 2.9714, 4.92, 4.0131, 3.6239]"
standard,86,86,60,,False,0.33597097446450014,616.6385225283109,"[1.9449, 2.9398, 2.2566, 2.8653, 2.7624, 6.0381]"
standard,87,87,85,,False,0.4635002109601081,2975.4787810960065,"[2.1127, 2.8287, 3.9935, 4.4102, 6.0052, 4.7077]"
standard,88,88,97,,False,0.4133566411282314,422.8775630952753,"[2.1705, 2.4906, 1.9504, 2.7349, 2.7299, 5.372]"
standard,89,89,62,,False,0.16288477868688414,1678.817809900964,"[1.5214, 2.5076, 2.4299, 8.2157, 4.7979, 4.5944]"
standard,90,90,66,,False,0.08569174908516129,1015.4619419697692,"[1.9101, 4.0221, 3.3906, 2.953, 3.5647, 3.7033]"
standard,91,91,95,,False,0.4175858416583185,444.20772077584553,"[2.4496, 2.1515, 2.8313, 2.631, 3.1888, 3.5482]"
standard,92,92,81,,False,0.3134736084078094,2925.634650986971,"[1.9932, 4.8195, 4.2519, 4.0359, 7.2731, 2.4402]"
standard,93,93,89,,False,0.06589633458987643,257.59248179161136,"[2.3077, 2.1487, 2.1631, 2.0051, 2.9753, 4.0257]"
standard,94,94,81,,False,0.44737134007997426,315.69144454154434,"[2.069, 2.6487, 3.0922, 2.0857, 2.849, 3.1351]"
standard,95,95,62,,False,0.1100126448070297,630.6905325729705,"[1.8687, 2.9031, 2.9583, 2.3628, 2.8811, 5.7727]"
standard,96,96,91,,False,0.12287758350044285,380.566832752027,"[2.5547, 2.6626, 2.1992, 2.2365, 3.0654, 3.7109]"
standard,97,97,71,,False,0.32391606093704245,1720.7568976613873,"[4.9962, 3.3698, 3.3761, 2.8524, 2.9333, 3.6182]"
standard,98,98,70,,False,0.23811593157921143,648.8000245403828,"[2.3933, 2.7628, 2.6007, 3.0176, 2.7761, 4.5037]"
standard,99,99,57,,False,0.29909206179062603,13361.799944438388,"[3.6585, 3.4761, 3.9015, 4.0926, 6.0365, 10.9007]"
standard,100,100,90,,False,0.21236180510348351,581.2066517086885,"[1.761, 2.3715, 4.588, 2.6306, 2.1158, 5.45]"
standard,101,101,72,,False,0.1286160159445344,5125.520638152138,"[2.4672, 5.7262, 4.3906, 2.7103, 5.0281, 6.0635]"
standard,102,102,65,,False,0.20887461695738832,853.8395341497873,"[1.7542, 5.3164, 3.5554, 3.1611, 2.8741, 2.8343]"
standard,103,103,54,,False,0.2323633278983117,11077.602149306895,"[4.1132, 3.3999, 3.4665, 7.544, 5.9472, 5.0932]"
standard,104,104,83,,False,0.4606277692489044,28710.969131191327,"[3.7118, 5.1688, 3.544, 4.4088, 5.6377, 16.9885]"
standard,105,105,77,,False,0.1485312646644784,3583.2244924138263,"[2.206, 6.4779, 3.7096, 4.0256, 4.9721, 3.377]"
standard,106,106,69,,False,0.6689863017753165,737.4294610492109,"[1.9263, 3.2481, 2.9122, 3.4373, 3.5202, 3.3446]"
standard,107,107,66,,False,0.27851343148185126,12352.24095650734,"[3.1785, 2.8383, 4.9673, 6.9589, 3.6925, 10.7271]"
standard,108,108,83,,False,0.1099392912057771,4289.267594732901,"[2.535, 3.9041, 3.4681, 5.1401, 4.6903, 5.1834]"
standard,109,109,98,,False,0.22519548199854952,267.68434905462556,"[2.465, 3.0842, 2.4471, 2.9547, 2.3566, 2.0664]"
standard,110,110,97,,False,0.21796070058122027,2444.8273892158977,"[2.7107, 2.8219, 5.7059, 4.6987, 2.1996, 5.4198]"
standard,111,111,86,,False,0.17326389066957787,1119.9947900426628,"[1.6417, 4.7876, 4.0848, 3.4581, 3.2546, 3.0996]"
standard,112,112,67,,False,0.3272954596698197,2862.4100589252253,"[2.9698, 3.2573, 4.1722, 5.0013, 4.474, 3.1695]"
standard,113,113,69,,False,0.33397715965729946,13710.546479366407,"[2.9626, 4.6016, 5.7796, 6.4255, 6.3316, 4.2772]"
standard,114,114,0,0.0,True,0.4346978871166742,5978.988302547005,"[2.8208, 4.003, 6.0741, 3.1488, 3.7031, 7.4762]"
standard,115,115,0,0.0,True,0.18741838393322932,750.9189234826276,"[1.9139, 2.734, 3.4665, 2.7097, 3.116, 4.9032]"
standard,116,116,62,,False,0.45478832267099095,410.1242010603789,"[2.8161, 2.6874, 3.3836, 2.7131, 2.2445, 2.63]"
standard,117,117,66,,False,0.2648636188460027,622.3497825516547,"[1.796, 4.0442, 3.5163, 3.6399, 2.9575, 2.2635]"
standard,118,118,53,,False,0.16444597138530648,954.9239351959754,"[3.7595, 3.3701, 2.9719, 3.3415, 3.0111, 2.5205]"
standard,119,119,60,,False,0.2024311054753532,4697.074622345489,"[3.4567, 3.5676, 3.6415, 5.2349, 3.8776, 5.1527]"
standard,120,120,87,,False,0.28616145503186574,320.7328240063578,"[2.0807, 3.3455, 3.2324, 2.3904, 2.299, 2.5938]"
standard,121,121,106,,False,0.20587935626082107,178.29952792836676,"[2.3165, 2.374, 2.0965, 2.2502, 2.3902, 2.8754]"
standard,122,122,74,,False,0.4576814791971497,400.1480804195262,"[1.9883, 2.6069, 2.3061, 2.5144, 3.2551, 4.0903]"
standard,123,123,0,0.0,True,0.2464790578068704,11231.369234056487,"[2.4329, 3.3871, 3.8528, 4.4634, 10.5835, 7.4887]"
standard,124,124,50,,False,0.25048392704820494,15732.825050544714,"[3.7555, 3.8482, 4.4185, 4.8762, 10.1895, 4.9588]"
standard,125,125,18,,False,0.13229114639070777,57129.57249978988,"[3.5209, 9.1472, 6.5822, 4.8044, 6.5173, 8.6068]"
standard,126,126,80,,False,0.3458237994718581,3091.163734778537,"[2.4472, 5.0547, 3.9254, 4.2958, 3.4114, 4.344]"
standard,127,127,29,,False,0.21079535122846935,4948.753592625201,"[4.2669, 3.8844, 3.3086, 3.6472, 4.3563, 5.6799]"
