a,Ghat_lo,Ghat_hi,rel_width,w1,b1,rounds,cells_evaluated,final_hw,final_hb,surviving,converged,Ghat_certified,Ghat_cert_hi,zoom_lo_minus_bnb_lo,zoom_lo_inside_enclosure
1.02,0.0016267450023583763,0.0016276532452749225,0.0005583191681729537,0.22540854862758092,2.9724279953576875,19,147631958,9.264264787946428e-08,9.511289607425851e-08,10719648,True,0.0016267447623459,0.0016280375623459,-2.400124762564487e-10,False
1.05,0.006360084012875689,0.006363833420456108,0.0005895217064473535,0.352593994140625,2.876731391440222,17,24054054,3.814697265625e-07,3.8045158429703404e-07,1778598,True,0.0063600859939505,0.0063613979939505,1.9810748111415144e-09,True
1.1,0.017673427712114886,0.017688791466699827,0.0008693137989530412,0.4900619506835938,2.77291224131091,15,5447436,1.52587890625e-06,1.5218063371881362e-06,430790,True,0.0176719508530194,0.0176786708530194,-1.4768590954859773e-06,False
1.15,0.031920435132815506,0.03195188947633259,0.0009853983313888692,0.5902770996093749,2.696902580187374,14,2418706,3.0517578124999997e-06,3.0436126743762724e-06,196832,True,0.031918407628364,0.031925287628364,-2.0275044515030705e-06,False
1.25,0.06650727733727191,0.0665731219997788,0.0009900369575043702,0.7382873535156249,2.5838993288131302,13,961798,6.103515625e-06,6.087225348752545e-06,79214,True,0.0665056222110576,0.0665416222110576,-1.6551262143060796e-06,False
1.3,0.08610303606356418,0.08617034394079344,0.0007817131695515946,0.796746826171875,2.539048652443522,13,772764,6.103515625e-06,6.087225348752545e-06,61884,True,0.0861017938777792,0.0861385938777792,-1.242185784969263e-06,False
1.35,0.10691406428726724,0.10698283537921888,0.0006432370933617775,0.8481628417968751,2.499408640972446,13,644882,6.103515625e-06,6.087225348752545e-06,50428,True,0.1069135506612335,0.1069511506612335,-5.136260337462728e-07,False
1.4,0.12877250604028623,0.12884274034696025,0.0005454138374231002,0.894036865234375,2.4639079427385204,13,552624,6.1035156249999995e-06,6.087225348752545e-06,42366,True,0.1287718955556904,0.1288102955556904,-6.104845958199157e-07,False
1.45,0.1515456220368896,0.15168901707968238,0.0009462169930443925,0.9353881835937501,2.4317856545731544,12,361838,1.2207031249999999e-05,1.217445069750509e-05,29944,True,0.1515453187373201,0.1515845187373201,-3.032995694873808e-07,False
1.5,0.17512572186462405,0.17527204333686158,0.0008355224502694203,0.9730102539062501,2.402493926194957,12,323532,1.220703125e-05,1.217445069750509e-05,26370,True,0.1751262004888403,0.1751662004888403,4.78624216260215e-07,True
1.6,0.22436729138382194,0.22451946571494896,0.0006782375906419316,1.0391479492187503,2.350752510730561,12,265848,1.220703125e-05,1.217445069750509e-05,21016,True,0.2243602021255619,0.2245682021255619,-7.089258260040143e-06,False
2.0,0.4410335842686668,0.44138475580203684,0.0007962466938937892,1.2265380859375001,4.080997618310682,11,120544,2.44140625e-05,2.434890139501018e-05,9490,True,0.441033924063305,0.441273924063305,3.397946382044381e-07,True
3.0,1.0522966913076366,1.0532331487299567,0.0008899176725115238,1.4641113281250002,2.0084434804688094,10,53464,4.8828125e-05,4.869780279002036e-05,3662,True,1.0522977578507096,1.0526177578507097,1.0665430729694947e-06,True
