a,Ghat_cert_rigorous,Ghat_hi_rigorous,Ghat_cert_published,Ghat_hi_published,bnb_arg_lower,structure_pass,strict_ghat_cert_attained,strict_every_leaf_below_claim_hi,leaves,delta_cert,delta_hi,rel_delta_cert,rel_delta_hi
1.02,0.0016267447623457853,0.001627653245274938,0.001626744762345922,0.0016276532452749225,0.0016267450023583912,True,False,False,110724630,-1.3660947373317356e-16,1.5395670849294163e-17,-8.39772021372115e-14,9.458814949675428e-15
1.05,0.006360085993950388,0.00636383342045603,0.006360085993950548,0.006363833420456108,0.006360084012875292,True,False,True,18041202,-1.6046192152785466e-16,-7.719519468096792e-17,-2.5229520745549578e-14,-1.2130297822194596e-14
1.1,0.017671950853019387,0.017688791466699536,0.017671950853019425,0.017688791466699827,0.017673427712114574,True,False,True,4086270,-3.8163916471489756e-17,-2.914335439641036e-16,-2.1595757474036366e-15,-1.6475605160066705e-14
1.15,0.031918407628363586,0.03195188947633247,0.031918407628364065,0.03195188947633259,0.03192043513281556,True,False,True,1814754,-4.787836793695988e-16,-1.1796119636642288e-16,-1.50002370088203e-14,-3.6918378944005525e-15
1.25,0.06650562221105742,0.06657312199977874,0.0665056222110576,0.0665731219997788,0.06650727733727192,True,False,True,722136,-1.8041124150158794e-16,-5.551115123125783e-17,-2.7127216542542434e-15,-8.338372839333308e-16
1.3,0.0861017938777797,0.08617034394079374,0.08610179387777928,0.08617034394079344,0.08610303606356404,True,True,False,580392,4.3021142204224816e-16,3.0531133177191805e-16,4.996544237544335e-15,3.543113765237999e-15
1.35,0.10691355066123347,0.10698283537921906,0.10691355066123354,0.10698283537921888,0.1069140642872674,True,False,False,484512,-6.938893903907228e-17,1.8041124150158794e-16,-6.490191244226674e-16,1.6863568895149356e-15
1.4,0.1287718955556906,0.12884274034696006,0.12877189555569046,0.12884274034696025,0.1287725060402861,True,True,True,415350,1.3877787807814457e-16,-1.942890293094024e-16,1.0777031547083717e-15,-1.5079548043312492e-15
1.45,0.15154531873731975,0.15168901707968227,0.15154531873732013,0.15168901707968238,0.15154562203688943,True,False,True,272292,-3.885780586188048e-16,-1.1102230246251565e-16,-2.5641046642446506e-15,-7.319073232849517e-16
1.5,0.1751262004888392,0.17527204333686142,0.1751262004888403,0.17527204333686158,0.17512572186462383,True,False,True,243594,-1.1102230246251565e-15,-1.6653345369377348e-16,-6.339559823293854e-15,-9.501427068645905e-16
1.6,0.22436020212556185,0.2245194657149493,0.22436020212556196,0.22451946571494896,0.2243672913838221,True,False,False,200394,-1.1102230246251565e-16,3.3306690738754696e-16,-4.948395544784838e-16,1.4834656154509577e-15
2.0,0.4410339240633058,0.4413847558020365,0.441033924063305,0.44138475580203684,0.4410335842686666,True,True,True,91668,8.326672684688674e-16,-3.3306690738754696e-16,1.887989161462664e-15,-7.545954023317675e-16
3.0,1.052297757850709,1.053233148729957,1.0522977578507096,1.0532331487299567,1.0522966913076368,True,False,False,41988,-6.661338147750939e-16,4.440892098500626e-16,-6.330278761931934e-16,4.2164378360628743e-16
