input,subsample,two_nn,mle_k10,mle_k20,pca_95_linear_reference
raw_pixels,sub1,18.074065552498702,10.796468084479336,11.11271311189807,150
raw_pixels,sub2,18.58008539554651,10.883376520305882,11.13485152599816,149
hidden_tanh_seed0,sub1,12.2372083129014,7.315621360390758,7.282197722390069,33
hidden_tanh_seed0,sub2,12.468958985876906,7.246741811126146,7.264017179820681,34
hidden_tanh_seed1,sub1,12.68892735705501,7.3835166118717,7.334145834396346,35
hidden_tanh_seed1,sub2,12.720244992204808,7.354195299850922,7.321731814772779,35
hidden_tanh_seed2,sub1,12.5457079917882,7.302631622295402,7.3298272516332155,35
hidden_tanh_seed2,sub2,12.615431085646078,7.335290215228429,7.362960059759591,35
hidden_gelu_seed0,sub1,12.215725976229043,7.14024357560546,7.1734153415461135,24
hidden_gelu_seed0,sub2,12.438327777608528,7.039361728578859,7.106590035310992,25
hidden_gelu_seed1,sub1,12.032824571243395,7.130825433216912,7.1500258777995045,23
hidden_gelu_seed1,sub2,11.853136933437721,7.0901575981294975,7.09118754665556,23
hidden_gelu_seed2,sub1,12.106977190678924,7.157697423346448,7.194948217642497,24
hidden_gelu_seed2,sub2,12.165272543893016,7.155366100297081,7.161430292004273,23
