set,a,arm,n,median_chi,pred,obs,tol,within,obs_over_pred
4b,1.3,control,48,0.003991336243666,0.03037623726316615,0.0310530517860165,0.01,True,1.0222810520271728
4b,1.3,reset,48,0.0040988758643487,0.03119467220164885,0.03148379449908685,0.01,True,1.009268322986985
4b,1.3,teleport,48,0.00400928097824165,0.0305128064424628,0.03078724324826395,0.01,True,1.00899415156448
4b,1.3,teleport_reset,48,0.004088420102139,0.03111509817073295,0.03122235263596425,0.01,True,1.0034470231989234
4b,1.5,control,48,0.0156705637722791,0.0634038821086416,0.06559416360338086,0.0158509705271604,True,1.0345449114769698
4b,1.5,reset,48,0.0163019186806736,0.06595837553735734,0.06721890090942605,0.016489593884339335,True,1.019110922029224
4b,1.5,teleport,48,0.0157733204166198,0.06381964061346215,0.0654723583093015,0.015954910153365538,True,1.0258966938696725
4b,1.5,teleport_reset,48,0.016097362914049652,0.06513073270968764,0.0660116650135584,0.01628268317742191,True,1.0135256010061704
SGD,1.3,sgd,30,0.0035418534444108503,0.0269876779361309,0.029518046014339827,0.01,True,1.093760125795087
SGD,1.5,sgd,30,0.01403531295133275,0.057185350471896504,0.0643322397616437,0.014296337617974126,True,1.1249776250520578
TaskB,1.45,adam,80,0.011249265828270849,0.05161115600531875,0.053241618109256095,0.012902789001329688,True,1.0315912727040897
TaskB,1.6,adam,80,0.0248597716032564,0.0818810477227851,0.08087589762881164,0.020470261930696274,True,0.9877242643819548
lag1,1.3,0.25,49,0.0008928935279568,0.0067954048469365,0.0047314235115061,0.01,True,0.6962680838124188
lag1,1.3,0.5,48,0.003480328811352,0.026487193078566403,0.026629020244591198,0.01,True,1.005354556279486
lag1,1.3,1.0,48,0.003991336243666,0.03037623726316615,0.0310530517860165,0.01,True,1.0222810520271728
lag1,1.3,2.0,44,0.0040319227777754,0.030685122837954097,0.031224492954618648,0.01,True,1.0175775772354871
lag1,1.5,0.25,49,0.0034709699846424,0.014043717565427,0.0106895977517933,0.01,True,0.7611658168139956
lag1,1.5,0.5,48,0.0145903214352062,0.059033167769078854,0.0534367498118889,0.014758291942269713,True,0.9051987523508553
lag1,1.5,1.0,48,0.0156705637722791,0.0634038821086416,0.06559416360338086,0.0158509705271604,True,1.0345449114769698
lag1,1.5,2.0,44,0.015766157445518597,0.06379065887535446,0.06644830138552635,0.015947664718838614,True,1.041661938550672
lag2-prim,1.3,0.25,48,0.00339984925853145,0.02587469995795045,0.027751469637684302,0.01,True,1.0725330026158306
lag2-prim,1.3,0.5,48,0.0038429783333169,0.02924715296419645,0.03024300502645825,0.01,True,1.0340495385475945
lag2-prim,1.3,1.0,48,0.003991336243666,0.03037623726316615,0.0310530517860165,0.01,True,1.0222810520271728
lag2-prim,1.3,2.0,48,0.004057183270269349,0.0308773689095794,0.0315858218259824,0.01,True,1.0229440830427494
lag2-prim,1.5,0.25,48,0.0134587691942514,0.0544548510009111,0.056340105166158005,0.013613712750227776,True,1.034620499929664
lag2-prim,1.5,0.5,48,0.01499795472997575,0.06068247239785335,0.0628575228321519,0.015170618099463337,True,1.0358431413281621
lag2-prim,1.5,1.0,48,0.0156705637722791,0.0634038821086416,0.06559416360338086,0.0158509705271604,True,1.0345449114769698
lag2-prim,1.5,2.0,48,0.01618100561968335,0.06546915526578151,0.0667494878854272,0.016367288816445377,True,1.019556272178066
lag2-tstar,1.3,0.25,48,0.0013153399020485001,0.01001045126422035,0.00710721573011745,0.01,True,0.7099795546201069
lag2-tstar,1.3,0.5,48,0.003523411910657,0.02681507887084915,0.02713521241731805,0.01,True,1.011938564417833
lag2-tstar,1.3,1.0,48,0.003991336243666,0.03037623726316615,0.0310530517860165,0.01,True,1.0222810520271728
lag2-tstar,1.3,2.0,48,0.004072015681388,0.0309902516164774,0.03150113938354345,0.01,True,1.0164854346259782
lag2-tstar,1.5,0.25,48,0.005376295581843099,0.021752759901044298,0.01638282996688285,0.01,True,0.7531379945078301
lag2-tstar,1.5,0.5,48,0.0145633824640549,0.05892417134905045,0.0557188489105302,0.014731042837262613,True,0.9456025877812891
lag2-tstar,1.5,1.0,48,0.0156705637722791,0.0634038821086416,0.06559416360338086,0.0158509705271604,True,1.0345449114769698
lag2-tstar,1.5,2.0,48,0.0161809599584778,0.0654689705182679,0.0673685262942616,0.016367242629566976,True,1.029014596700641
