set,a,seed,arm,w1,b1,w2,reproduced
lag1,1.3,300000,0.25,0.8308550719372824,-2.450623529675738,5.125692377521382,True
lag1,1.3,300001,0.25,-0.829251016078714,2.45016055228708,-5.207751785668681,True
lag1,1.3,300002,0.25,0.828699355037553,2.4499900354649133,-5.0800142935986194,True
lag1,1.3,300003,0.25,0.830119330017753,-2.4504642962789944,5.103844963488874,True
lag1,1.3,300004,0.25,0.8264115780788749,-2.4493224055751437,5.415818284810931,True
lag1,1.3,300005,0.25,0.8331142743735857,-2.4513576357876854,5.249699805275692,True
lag1,1.3,300007,0.25,0.8385120663377129,-2.453039480195284,4.81460376587215,True
lag1,1.3,300008,0.25,0.8370870876743783,2.4525308258900385,-5.125854526462029,True
lag1,1.3,300009,0.25,-0.8321979565997434,2.4510768830103906,-5.298159933655447,True
lag1,1.3,300010,0.25,0.8385630244902658,2.4530288378933647,-4.981613429646641,True
lag1,1.3,300011,0.25,-0.834470513298062,-2.4517594014695017,4.9350888500506365,True
lag1,1.3,300012,0.25,-0.8302771673616796,-2.4505074813138186,5.056767404852681,True
lag1,1.3,300013,0.25,-0.8361211406808209,2.452296709437507,-5.042279133463072,True
lag1,1.3,300014,0.25,-0.8272089677594134,-2.4495831087821145,5.257759200653959,True
lag1,1.3,300015,0.25,0.8335292659754306,2.4514864431909382,-5.0932457977358965,True
lag1,1.3,300016,0.25,-0.835891527972773,2.4521516302931095,-4.954523801454829,True
lag1,1.3,300017,0.25,-0.8325490786820211,-2.451168997034115,5.092189908229491,True
lag1,1.3,300018,0.25,0.8353915836052952,2.4520120052691534,-4.940325136779935,True
lag1,1.3,300019,0.25,0.8308212783155717,-2.450611383504186,4.923536050720274,True
lag1,1.3,300020,0.25,0.8323409076504399,-2.4510875908350687,5.078783504507953,True
lag1,1.3,300021,0.25,-0.8397663512193452,2.4534058882470773,-4.954301855329363,True
lag1,1.3,300022,0.25,-0.8345864314755072,2.451747589477415,-4.950004046801353,True
lag1,1.3,300023,0.25,0.8346335244725311,-2.451807111397108,5.01070923475193,True
lag1,1.3,300024,0.25,-0.8387616339282092,2.453087787816792,-4.901818787616961,True
lag1,1.3,300025,0.25,-0.8303134322834059,-2.4505019291499672,5.129915857909497,True
lag1,1.3,300026,0.25,0.8308311588553788,2.450672398466184,-5.158749207337037,True
lag1,1.3,300027,0.25,-0.838208571172381,2.4529370732090827,-4.993008748506008,True
lag1,1.3,300028,0.25,0.832357152015107,2.4511089077691572,-5.018718139845718,True
lag1,1.3,300029,0.25,0.8365571910670201,2.4523594193543357,-4.962066025537699,True
lag1,1.3,300030,0.25,-0.8318645767660586,-2.450964912302564,5.327392105283544,True
lag1,1.3,300031,0.25,-0.8347190528950038,2.4518089050068763,-5.054054055447971,True
lag1,1.3,300032,0.25,-0.8348203482826264,-2.4518911050520606,4.98295947784417,True
lag1,1.3,300033,0.25,0.8369767099449075,2.4525031681825085,-4.922172253886382,True
lag1,1.3,300034,0.25,0.8263860278651345,-2.4493221028157723,5.143484749365618,True
lag1,1.3,300035,0.25,0.8314992486599592,-2.450813414609753,5.22978900439328,True
lag1,1.3,300036,0.25,-0.8340460054429535,2.451620954908845,-5.195240035698703,True
lag1,1.3,300037,0.25,0.831736994649226,2.450896785634989,-5.246082437831489,True
lag1,1.3,300038,0.25,0.835011328800351,-2.451914851253433,4.995399046271299,True
lag1,1.3,300039,0.25,-0.8321123583029119,2.4510369602876807,-5.112657368578809,True
lag1,1.3,300040,0.25,-0.8347890625349208,-2.4518190070199255,4.885149817352955,True
lag1,1.3,300041,0.25,-0.8352515123067015,2.4520183836568483,-4.92922038072388,True
lag1,1.3,300042,0.25,-0.8337466003322209,-2.4515262026793567,5.09504605992746,True
lag1,1.3,300043,0.25,0.8343280349922906,2.451715680058617,-5.028618700314871,True
lag1,1.3,300044,0.25,-0.8324278106525222,-2.451150609012154,5.16308871774842,True
lag1,1.3,300045,0.25,0.8334043541671988,-2.4514623059481906,5.031834167057427,True
lag1,1.3,300046,0.25,0.8344758214863494,2.451759994508403,-5.167786251269652,True
lag1,1.3,300047,0.25,0.8283176517902857,-2.449884428802793,5.289218602514134,True
lag1,1.3,300048,0.25,0.8360642255183331,-2.4522154670640415,5.123468011146813,True
lag1,1.3,300049,0.25,-0.8394801767277785,2.453293237824509,-4.907862812917651,True
lag1,1.5,300000,0.25,1.0187266943823476,-2.290545000990723,2.6225828095811967,True
lag1,1.5,300001,0.25,-1.0171215241898104,2.29004939413525,-2.703954183228922,True
lag1,1.5,300002,0.25,1.015961592994911,2.2897779004117935,-2.596246827448315,True
lag1,1.5,300003,0.25,1.017900246471619,-2.290314513072582,2.616066420526832,True
lag1,1.5,300004,0.25,1.01354627026983,-2.289072652142592,2.7961020358532065,True
lag1,1.5,300005,0.25,1.0219071821783905,-2.2913597012586058,2.7142520540873236,True
lag1,1.5,300007,0.25,1.0281980295539244,-2.2933967305064105,2.457708809855007,True
lag1,1.5,300008,0.25,1.0267756378014,2.2927962407826605,-2.669742338236748,True
lag1,1.5,300009,0.25,-1.020762778859854,2.291115380477642,-2.7523705466489283,True
lag1,1.5,300010,0.25,1.0282801092400735,2.293449952905921,-2.5464181188957045,True
lag1,1.5,300011,0.25,-1.0232990635059438,-2.291958888403067,2.548194054099064,True
lag1,1.5,300012,0.25,-1.0181074351276995,-2.290366555966021,2.58885077126265,True
lag1,1.5,300013,0.25,-1.025263930584032,2.2925485806925874,-2.5857418067219715,True
lag1,1.5,300014,0.25,-1.0143835495463644,-2.2892969461856647,2.6922220474080314,True
lag1,1.5,300015,0.25,1.0223760312753207,2.291613585501324,-2.656082440183833,True
lag1,1.5,300016,0.25,-1.0253229180251011,2.2923898885160883,-2.576848964174226,True
lag1,1.5,300017,0.25,-1.0210898833828803,-2.291172399004944,2.644047484590984,True
lag1,1.5,300018,0.25,1.0243374024286138,2.2921267553535083,-2.5229496511077887,True
lag1,1.5,300019,0.25,1.0185415842823309,-2.290575257886767,2.516293501226756,True
lag1,1.5,300020,0.25,1.0205755464194906,-2.2910788783417755,2.5986725648135387,True
lag1,1.5,300021,0.25,-1.0298167462879704,2.2939071044697297,-2.542182438554403,True
lag1,1.5,300022,0.25,-1.0234897460173604,2.2919270897793895,-2.560540135461403,True
lag1,1.5,300023,0.25,1.0235022451355071,-2.2918221377776034,2.563011776062462,True
lag1,1.5,300024,0.25,-1.0286416388094075,2.293457262426485,-2.512744673173074,True
lag1,1.5,300025,0.25,-1.0180999919652731,-2.290298131525869,2.6205722294003753,True
lag1,1.5,300026,0.25,1.0188060734296576,2.2905208873463256,-2.6533624958373183,True
lag1,1.5,300027,0.25,-1.0279056573209815,2.2931586969320596,-2.587944651972346,True
lag1,1.5,300028,0.25,1.0205531156761651,2.2911152120104097,-2.5616522961752564,True
lag1,1.5,300029,0.25,1.025847939192469,2.292601203586969,-2.54139921275219,True
lag1,1.5,300030,0.25,-1.0204615273750297,-2.290989459963506,2.767391634831787,True
lag1,1.5,300031,0.25,-1.0237912392810589,2.2919625104434536,-2.623339947958116,True
lag1,1.5,300032,0.25,-1.0236126115452362,-2.291992447475148,2.5444014711122005,True
lag1,1.5,300033,0.25,1.026642715773591,2.292736186788529,-2.5394777004970366,True
lag1,1.5,300034,0.25,1.0133528515603696,-2.2889971651066965,2.651328903389827,True
lag1,1.5,300035,0.25,1.0197566122722883,-2.290854853371896,2.696762519368563,True
lag1,1.5,300036,0.25,-1.0229678883926872,2.291687081565943,-2.707188841060514,True
lag1,1.5,300037,0.25,1.02006396936275,2.2908736649342045,-2.7132990686942273,True
lag1,1.5,300038,0.25,1.023985135066841,-2.292026307991492,2.5586436550911924,True
lag1,1.5,300039,0.25,-1.0205329529362308,2.2909935876284253,-2.6305952283721696,True
lag1,1.5,300040,0.25,-1.023629951693775,-2.291960527779962,2.504840500920083,True
lag1,1.5,300041,0.25,-1.0242950197224845,2.2921710923219547,-2.519200558026145,True
lag1,1.5,300042,0.25,-1.0222220019258137,-2.2916007303407793,2.6036311982467617,True
lag1,1.5,300043,0.25,1.0232859079973289,2.291820872672062,-2.6006147985696413,True
lag1,1.5,300044,0.25,-1.020821901607451,-2.2912471286510683,2.647218019134315,True
lag1,1.5,300045,0.25,1.021953700566838,-2.291680232609409,2.581098845810119,True
lag1,1.5,300046,0.25,1.02343630317148,2.2917962481126124,-2.6708881849331076,True
lag1,1.5,300047,0.25,1.0157103888734031,-2.289729412409943,2.7130698889649527,True
lag1,1.5,300048,0.25,1.0256210250950064,-2.292444295799668,2.675534425353591,True
lag1,1.5,300049,0.25,-1.0296763058318206,2.2936797704859693,-2.549743200667378,True
lag1,1.3,300000,0.5,0.8320041450253703,2.4510282117115323,-4.917100361615972,True
lag1,1.3,300001,0.5,-0.8294329003686056,2.4502420997068732,-5.253783196471277,True
lag1,1.3,300002,0.5,0.8288007058329813,2.4500049128579193,-5.106012093225685,True
lag1,1.3,300003,0.5,-0.8356546479621312,-2.4521329683151554,4.964750683772753,True
lag1,1.3,300004,0.5,0.8267178539902368,-2.4494352577574214,5.4732611975233265,True
lag1,1.3,300005,0.5,0.8333589020617499,-2.4514302855553267,5.313705583178179,True
lag1,1.3,300007,0.5,0.8389038204316226,-2.453119362789419,4.971380528580681,True
lag1,1.3,300008,0.5,0.837179293230514,2.4526134589831563,-5.167375374929235,True
lag1,1.3,300009,0.5,-0.8323977378794433,2.451101553178141,-5.343244834620404,True
lag1,1.3,300010,0.5,0.8389743209486183,2.453197849424628,-5.1057399345861505,True
lag1,1.3,300011,0.5,-0.8347192919104711,-2.451868445171462,5.008771180701735,True
lag1,1.3,300012,0.5,-0.8306911267379163,-2.450634993720457,5.166600820484258,True
lag1,1.3,300013,0.5,-0.836619650595175,2.452458816360598,-5.152231778465765,True
lag1,1.3,300014,0.5,-0.8276983204754661,-2.4497451370786623,5.372960270179282,True
lag1,1.3,300015,0.5,0.8337022342614338,2.451491574820176,-5.1268582661550575,True
lag1,1.3,300016,0.5,-0.8360538786509225,2.452244694332572,-4.99627776810914,True
lag1,1.3,300017,0.5,-0.8327447483297225,-2.451201640596222,5.15154689553954,True
lag1,1.3,300018,0.5,0.8358615292747404,2.4522460081443196,-5.098184341467795,True
