a,step,n,slope,median_run_ratio,slope_excl_4b_reset
1.3,1A_global_ref,795,0.8907671120501848,1.0176863196767594,0.8916993264283628
1.3,kchi_branch_ref,795,1.021317749060387,1.0216013402055264,1.0215632573130968
1.3,slaved_own,795,1.0084433914802549,1.0110846337657815,1.0084070471867825
1.3,a_7,792,0.06580169911834212,1.0,1.0086707436709952
1.3,b_7,747,0.6314842061683401,1.0185036048211524,1.0189943379771726
1.3,c_7,794,0.5478257071756552,1.0,1.0081300376649047
1.3,c_path_7,788,0.15662025403671684,0.9828810537321588,0.9842033764866225
1.3,d_7,30,1.0159600209329689,1.017544173955641,1.0159600209329689
1.3,full_7,759,1.0188079849942064,1.0184977178921326,1.0187288321275767
1.3,full_5,774,1.0188438455689472,1.0185887830851383,1.0187288321275767
1.45,1A_global_ref,80,0.8318349724693387,1.0137677526981776,0.8318349724693387
1.45,kchi_branch_ref,80,1.0058458615966173,1.015516973528317,1.0058458615966173
1.45,slaved_own,80,0.9879873939280194,1.0077678101403493,0.9879873939280194
1.45,a_7,80,1.0230443818695996,1.0157928805488852,1.0230443818695996
1.45,b_7,80,1.0319941322258244,1.0303980502258123,1.0319941322258244
1.45,c_7,80,1.0196255754376553,1.0156995363347652,1.0196255754376553
1.45,c_path_7,80,0.9776185072366407,0.9725838177953772,0.9776185072366407
1.45,d_7,37,1.025337646936153,1.0278062023186914,1.025337646936153
1.45,full_7,80,1.0300742929345768,1.0303980502258123,1.0300742929345768
1.45,full_5,80,1.0300742929345768,1.0303980502258123,1.0300742929345768
1.5,1A_global_ref,795,0.9147737931596395,0.9964526421455139,0.9114635696939581
1.5,kchi_branch_ref,795,0.9801001529267592,1.0215063265386743,0.9764940991373762
1.5,slaved_own,795,0.9620104139100254,1.0024008348674631,0.9588174489654208
1.5,a_7,795,0.2868366637900395,1.0156374979353815,1.0308185254973776
1.5,b_7,783,0.47942849467997817,1.0333401470722863,1.0354478333177268
1.5,c_7,792,0.9928423799235079,1.01713488408147,1.0319736467650862
1.5,c_path_7,786,0.5767000336357099,0.9709768011869181,0.9810465859460783
1.5,d_7,381,1.030650984659559,1.0308522109141214,1.030650984659559
1.5,full_7,789,1.0374520393885003,1.0348614135203418,1.0372226139028558
1.5,full_5,793,1.03746543688898,1.0348614135203418,1.0372226139028558
1.6,1A_global_ref,80,0.8176428365543658,1.0094472250200606,0.8176428365543658
1.6,kchi_branch_ref,80,0.8980334917076309,1.0051936987639782,0.8980334917076309
1.6,slaved_own,80,0.8960357118380662,0.9921771408051707,0.8960357118380662
1.6,a_7,80,1.0408240023313309,1.031296796861452,1.0408240023313309
1.6,b_7,80,1.0444922072740166,1.0442178317627229,1.0444922072740166
1.6,c_7,80,1.0395061047410246,1.0329100852449082,1.0395061047410246
1.6,c_path_7,80,0.9775002654991579,0.9691955436653908,0.9775002654991579
1.6,d_7,62,1.033881035517668,1.0385679227829523,1.033881035517668
1.6,full_7,80,1.0465376624257077,1.0484013272135937,1.0465376624257077
1.6,full_5,80,1.0465376624257077,1.0484013272135937,1.0465376624257077
