set,a,arm,n_runs,n_status_ok,n_obs,median_r_obs,n_diff_branch_start7,n_diff_branch_start5,n_branch_refined,1A_n,1A_median_pred,1A_median_pred_over_median_1A,1A_ratio_of_medians,1A_median_run_ratio,1A_slope_obs_on_pred,slaved_n,slaved_median_pred,slaved_median_pred_over_median_1A,slaved_ratio_of_medians,slaved_median_run_ratio,slaved_slope_obs_on_pred,full_7_n,full_7_median_pred,full_7_median_pred_over_median_1A,full_7_ratio_of_medians,full_7_median_run_ratio,full_7_slope_obs_on_pred,full_m0H_7_n,full_m0H_7_median_pred,full_m0H_7_median_pred_over_median_1A,full_m0H_7_ratio_of_medians,full_m0H_7_median_run_ratio,full_m0H_7_slope_obs_on_pred,a_7_n,a_7_median_pred,a_7_median_pred_over_median_1A,a_7_ratio_of_medians,a_7_median_run_ratio,a_7_slope_obs_on_pred,b_7_n,b_7_median_pred,b_7_median_pred_over_median_1A,b_7_ratio_of_medians,b_7_median_run_ratio,b_7_slope_obs_on_pred,c_7_n,c_7_median_pred,c_7_median_pred_over_median_1A,c_7_ratio_of_medians,c_7_median_run_ratio,c_7_slope_obs_on_pred,c_path_7_n,c_path_7_median_pred,c_path_7_median_pred_over_median_1A,c_path_7_ratio_of_medians,c_path_7_median_run_ratio,c_path_7_slope_obs_on_pred,d_7_n,d_7_median_pred,d_7_median_pred_over_median_1A,d_7_ratio_of_medians,d_7_median_run_ratio,d_7_slope_obs_on_pred,a_nomom_7_n,a_nomom_7_median_pred,a_nomom_7_median_pred_over_median_1A,a_nomom_7_ratio_of_medians,a_nomom_7_median_run_ratio,a_nomom_7_slope_obs_on_pred,full_5_n,full_5_median_pred,full_5_median_pred_over_median_1A,full_5_ratio_of_medians,full_5_median_run_ratio,full_5_slope_obs_on_pred,full_m0H_5_n,full_m0H_5_median_pred,full_m0H_5_median_pred_over_median_1A,full_m0H_5_ratio_of_medians,full_m0H_5_median_run_ratio,full_m0H_5_slope_obs_on_pred,a_5_n,a_5_median_pred,a_5_median_pred_over_median_1A,a_5_ratio_of_medians,a_5_median_run_ratio,a_5_slope_obs_on_pred,b_5_n,b_5_median_pred,b_5_median_pred_over_median_1A,b_5_ratio_of_medians,b_5_median_run_ratio,b_5_slope_obs_on_pred,c_5_n,c_5_median_pred,c_5_median_pred_over_median_1A,c_5_ratio_of_medians,c_5_median_run_ratio,c_5_slope_obs_on_pred,c_path_5_n,c_path_5_median_pred,c_path_5_median_pred_over_median_1A,c_path_5_ratio_of_medians,c_path_5_median_run_ratio,c_path_5_slope_obs_on_pred,d_5_n,d_5_median_pred,d_5_median_pred_over_median_1A,d_5_ratio_of_medians,d_5_median_run_ratio,d_5_slope_obs_on_pred,a_nomom_5_n,a_nomom_5_median_pred,a_nomom_5_median_pred_over_median_1A,a_nomom_5_ratio_of_medians,a_nomom_5_median_run_ratio,a_nomom_5_slope_obs_on_pred
lag1,1.3,0.25,49,49,49,0.006737903516563337,0,0,0,49,0.0067954048469365,1.0,0.9915382038791868,1.0199425846804724,1.0214289786981494,49,0.0065294082840598,0.9608564068119333,1.0319317192972195,1.029103177418228,1.0180778572623392,48,0.0059960280542178,0.9881824139511018,1.0245141176979622,1.00000000000002,1.0125797405795238,48,0.0059960280542178,0.9881824139511018,1.0245141176979622,1.00000000000002,1.0125797405795238,49,0.0067379035165633,0.9915382038791813,1.0000000000000056,1.000000000000005,0.9953143440941573,48,0.0059960280542178,0.9881824139511018,1.0245141176979622,1.00000000000002,1.0125797405795238,49,0.0067379035165633,0.9915382038791813,1.0000000000000056,1.000000000000005,0.9953143440941573,49,0.0067379035165633,0.9915382038791813,1.0000000000000056,1.0000000000000044,0.9823179453960562,0,,,,,,0,,,,,,48,0.0059960280542178,0.9881824139511018,1.0245141176979622,1.00000000000002,1.0125797405795238,48,0.0059960280542178,0.9881824139511018,1.0245141176979622,1.00000000000002,1.0125797405795238,49,0.0051218196826992,0.7537181077604546,1.3155292325739318,1.000000000000005,-0.02731658509525179,48,0.0059960280542178,0.9881824139511018,1.0245141176979622,1.00000000000002,1.0125797405795238,49,0.0067379035165633,0.9915382038791813,1.0000000000000056,1.000000000000005,0.9953143440941573,49,0.0067379035165633,0.9915382038791813,1.0000000000000056,1.0000000000000044,0.9823179453960562,0,,,,,,0,,,,,
lag1,1.3,0.5,48,48,48,0.0264445917252768,0,0,0,48,0.026487193078566403,1.0,0.9983916244668418,1.009482145896846,1.0148208256165752,48,0.0262257391428357,0.9901290433095279,1.0083449538352054,1.0138191055365895,1.0107074255551736,47,0.0259377591580483,0.9772611010373624,1.0215424844570404,1.0201790919714468,1.0192446188915418,47,0.0259377591580483,0.9772611010373624,1.0215424844570404,1.0201790919714468,1.0192446188915418,48,0.02599739587147415,0.9815081497824472,1.01720156341864,1.007479210480509,1.0122192508604504,47,0.0259377591580483,0.9772611010373624,1.0215424844570404,1.020820339622199,1.0195222928418781,48,0.026208641841558647,0.9894835501753049,1.00900275127359,1.000000000000004,1.0118557494739882,48,0.0267485589817616,1.0098676331017762,0.9886361259052475,1.0000000000000002,0.9877594840048869,0,,,,,,0,,,,,,47,0.0259377591580483,0.9772611010373624,1.0215424844570404,1.0201790919714468,1.0192446188915418,47,0.0259377591580483,0.9772611010373624,1.0215424844570404,1.0201790919714468,1.0192446188915418,48,0.02599739587147415,0.9815081497824472,1.01720156341864,1.007479210480509,1.0122192508604504,47,0.0259377591580483,0.9772611010373624,1.0215424844570404,1.020820339622199,1.0195222928418781,48,0.026208641841558647,0.9894835501753049,1.00900275127359,1.000000000000004,1.0118557494739882,48,0.0267485589817616,1.0098676331017762,0.9886361259052475,1.0000000000000002,0.9877594840048869,0,,,,,,0,,,,,
lag1,1.3,1.0,48,48,48,0.03118128556626032,0,0,0,48,0.03037623726316615,1.0,1.0265025683108673,1.0246887902769934,1.0211425233835372,48,0.0308314229294188,1.0149849259573898,1.011347599416428,1.0121502031016558,1.0086555595511866,47,0.0306626219262207,1.0087343600840666,1.0151861884203495,1.018471133474373,1.0187397099207018,47,0.0306626219262207,1.0087343600840666,1.0151861884203495,1.018471133474373,1.0187397099207018,48,0.030729078340261,1.011615694005745,1.0147159384668833,1.000000000000003,1.0083286448697113,47,0.0306626219262207,1.0087343600840666,1.0151861884203495,1.018471133474373,1.0187397099207018,48,0.030729078340261,1.011615694005745,1.0147159384668833,1.0000000000000029,1.0076484102088654,48,0.0314853579050212,1.0365127725414485,0.9903424207633863,0.9837767088940359,0.9841615078186507,0,,,,,,0,,,,,,47,0.0306626219262207,1.0087343600840666,1.0151861884203495,1.018471133474373,1.0187397099207018,47,0.0306626219262207,1.0087343600840666,1.0151861884203495,1.018471133474373,1.0187397099207018,48,0.030682896508669,1.0100953664157313,1.0162432206310934,1.0000000000000029,0.022939534713740883,47,0.0306626219262207,1.0087343600840666,1.0151861884203495,1.018471133474373,1.0187397099207018,48,0.030729078340261,1.011615694005745,1.0147159384668833,1.0000000000000029,1.0076484102088654,48,0.0314853579050212,1.0365127725414485,0.9903424207633863,0.9837767088940359,0.9841615078186507,0,,,,,,0,,,,,
lag1,1.3,2.0,44,44,44,0.03153325966189746,0,0,0,44,0.030685122837954097,1.0,1.027640000935382,1.030191341266744,1.0300579700746864,44,0.0309859055536514,1.0098022327394847,1.0176646155232847,1.0140907381245587,1.0117239472035118,43,0.030710277982582,1.000854377699596,1.026384266506778,1.019293534504949,1.020574823596638,43,0.030710277982582,1.000854377699596,1.026384266506778,1.019293534504949,1.020574823596638,44,0.03151596150970555,1.0270762700263267,1.0005488695684117,1.0000000000000022,1.002944758136279,43,0.030710277982582,1.000854377699596,1.026384266506778,1.019293534504949,1.020574823596638,44,0.0315332596618974,1.02764000093538,1.000000000000002,1.0000000000000022,1.0028672035458839,44,0.03222658294119845,1.0502347704907258,0.9784859821915949,0.9736677544283023,0.977515114327854,0,,,,,,0,,,,,,43,0.030710277982582,1.000854377699596,1.026384266506778,1.019293534504949,1.020574823596638,43,0.030710277982582,1.000854377699596,1.026384266506778,1.019293534504949,1.020574823596638,44,0.03151596150970555,1.0270762700263267,1.0005488695684117,1.0000000000000022,1.002944758136279,43,0.030710277982582,1.000854377699596,1.026384266506778,1.019293534504949,1.020574823596638,44,0.0315332596618974,1.02764000093538,1.000000000000002,1.0000000000000022,1.0028672035458839,44,0.03222658294119845,1.0502347704907258,0.9784859821915949,0.9736677544283023,0.977515114327854,0,,,,,,0,,,,,
lag1,1.5,0.25,49,49,49,0.012921912635066368,0,0,0,49,0.014043717565427,1.0,0.9201205147330572,0.9700543270056614,1.0089824217242964,49,0.012882132012638,0.9172878871013038,1.0030880464809195,1.0148937459418874,1.0052704478957883,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000113,1.022134441817059,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000113,1.022134441817059,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.000000000000003,1.000156882981035,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000113,1.0203885522141354,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000042,1.004447888505874,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000016,0.9692163908142731,14,0.02219907353177425,0.9669608026181481,0.9999999999999974,1.0000000000000058,1.0123296123747207,14,0.02219907353177425,0.9669608026181481,0.9999999999999974,1.0000000000000027,1.0000000000000013,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000113,1.022134441817059,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000113,1.022134441817059,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.000000000000003,1.000156882981035,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000113,1.0203885522141354,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000042,1.004447888505874,49,0.0129219126350663,0.9201205147330525,1.0000000000000053,1.0000000000000016,0.9692163908142731,14,0.02219907353177425,0.9669608026181481,0.9999999999999974,1.0000000000000058,1.0123296123747207,14,0.02219907353177425,0.9669608026181481,0.9999999999999974,1.0000000000000027,1.0000000000000013
lag1,1.5,0.5,48,48,48,0.05387061599065113,0,0,0,48,0.059033167769078854,1.0,0.91254828474355,0.9938503852215572,0.9331905376035623,48,0.0575727891878597,0.9752617276624601,0.9356957818192827,0.9840377538079056,0.9450531967992053,48,0.05224130506885445,0.8849483611180708,1.0311881741784443,1.033370307709618,1.0311361906102743,48,0.05224130506885445,0.8849483611180708,1.0311881741784443,1.033370307709618,1.0311361906102743,48,0.052003143621128844,0.8809139943929575,1.035910759225016,1.033370307709618,1.028430730967249,48,0.0524509037130287,0.8884988845288107,1.0270674512185722,1.0326613536224216,1.028445981451955,48,0.052003143621128844,0.8809139943929575,1.035910759225016,1.033370307709618,1.0310641706140282,48,0.054225631962731405,0.9185621238359903,0.9934529859914906,0.982552808972835,0.9849115447210424,29,0.0536474500323838,0.8851797342405546,1.011359833307064,1.0223772891279321,1.023138254572717,30,0.0537150929151182,0.8770794677191598,1.0197020012813138,1.0245505250612257,1.0259181117481853,48,0.05224130506885445,0.8849483611180708,1.0311881741784443,1.033370307709618,1.0311361906102743,48,0.05224130506885445,0.8849483611180708,1.0311881741784443,1.033370307709618,1.0311361906102743,48,0.052003143621128844,0.8809139943929575,1.035910759225016,1.033370307709618,1.0294860168442248,48,0.0524509037130287,0.8884988845288107,1.0270674512185722,1.032073169809085,1.0275440617769398,48,0.052003143621128844,0.8809139943929575,1.035910759225016,1.033370307709618,1.0310641706140282,48,0.054225631962731405,0.9185621238359903,0.9934529859914906,0.982552808972835,0.9849115447210424,29,0.0536474500323838,0.8851797342405546,1.011359833307064,1.0223772891279321,1.023138254572717,30,0.0537150929151182,0.8770794677191598,1.0197020012813138,1.0245505250612257,1.0259181117481853
lag1,1.5,1.0,48,48,48,0.06609514144774142,0,0,0,48,0.0634038821086416,1.0,1.0424462864038575,1.0317586487852124,0.9642781241541888,48,0.0659320074226804,1.0398733520718322,1.002474276628879,1.0012782188729292,0.9476463792974443,48,0.06378902810163509,1.0060744859807407,1.0361521944249097,1.0352322594196206,1.0386716500592033,48,0.06378902810163509,1.0060744859807407,1.0361521944249097,1.0352322594196206,1.0386716500592033,48,0.06367748966506609,1.0043153123645594,1.0379671339965162,1.0164300895883387,1.0341747466018445,48,0.0638472105783214,1.0069921344708856,1.0352079730509522,1.0336518173878413,1.0352438701347582,48,0.06367748966506609,1.0043153123645594,1.0379671339965162,1.0168915555840061,1.0351565897066861,48,0.06687315971371716,1.0547171165186857,0.9883657618496506,0.969894763868342,0.9835157950938389,28,0.06400998072026795,0.9344629058695599,1.0387173337737254,1.0332361799376768,1.0337184678448645,32,0.0636636909948384,0.973017871017023,1.0403434204089774,1.0219723895167223,1.0364914395557412,48,0.06378902810163509,1.0060744859807407,1.0361521944249097,1.0352322594196206,1.0386716500592033,48,0.06378902810163509,1.0060744859807407,1.0361521944249097,1.0352322594196206,1.0386716500592033,48,0.06367748966506609,1.0043153123645594,1.0379671339965162,1.0164300895883387,1.0335322451623719,48,0.0638472105783214,1.0069921344708856,1.0352079730509522,1.0336518173878413,1.0352438701347582,48,0.06367748966506609,1.0043153123645594,1.0379671339965162,1.0168915555840061,1.0351565897066861,48,0.06687315971371716,1.0547171165186857,0.9883657618496506,0.969894763868342,0.9835157950938389,28,0.06400998072026795,0.9344629058695599,1.0387173337737254,1.0332361799376768,1.0337184678448645,32,0.0636636909948384,0.973017871017023,1.0403434204089774,1.0219723895167223,1.0364914395557412
lag1,1.5,2.0,44,44,44,0.06699029575014392,0,0,0,44,0.06379065887535446,1.0,1.050158392015381,1.0547084764937864,1.0148731663677972,44,0.06607406386526525,1.0357952877453815,1.0138667403104946,1.0138218097265224,0.9803291296180837,44,0.0642946003836563,1.007899926371454,1.0419272435072615,1.040006071804401,1.0393948517741705,44,0.0642946003836563,1.007899926371454,1.0419272435072615,1.040006071804401,1.0393948517741705,44,0.0655983075432944,1.0283372001451192,1.0212198798868526,1.0130769928796006,1.0214085869281004,44,0.06448858430072599,1.0109408718717776,1.0387930899173077,1.0382877689705707,1.0388282005521483,44,0.06539305856176335,1.0251196603806827,1.0244251794228587,1.0131487073072938,1.0231540016838228,44,0.06902359455722071,1.082032946110359,0.9705419745216084,0.9597104893764312,0.9670905251215004,25,0.0649862217148296,1.0148649324670593,1.0325782098227105,1.036637097397852,1.0360382552643648,28,0.06597355302543526,1.0253006306839354,1.0142083903529624,1.0137163148704973,1.0211574015055067,44,0.0642946003836563,1.007899926371454,1.0419272435072615,1.040006071804401,1.0393948517741705,44,0.0642946003836563,1.007899926371454,1.0419272435072615,1.040006071804401,1.0393948517741705,44,0.0655983075432944,1.0283372001451192,1.0212198798868526,1.0130769928796006,1.0214085869281004,44,0.06448858430072599,1.0109408718717776,1.0387930899173077,1.0382877689705707,1.0388282005521483,44,0.06530421541224735,1.0237269306129968,1.0258188591234552,1.0131487073072938,1.0238053190779075,44,0.06902359455722071,1.082032946110359,0.9705419745216084,0.9597104893764312,0.9670905251215004,25,0.0649862217148296,1.0148649324670593,1.0325782098227105,1.036637097397852,1.0360382552643648,28,0.06597355302543526,1.0253006306839354,1.0142083903529624,1.0137163148704973,1.0211574015055067
lag2-prim,1.3,0.25,48,48,48,0.026275092186671234,0,0,0,48,0.02587469995795045,1.0,1.0154742752330064,1.0188515098183153,1.0181438995046233,48,0.02619618891556045,1.0124248380901986,1.0030120133644294,1.0128842705187844,1.0065801533663805,46,0.026462357841688648,1.0104143829231211,1.0077707144937396,1.0180199328319193,1.017530477109794,46,0.026462357841688648,1.0104143829231211,1.0077707144937396,1.0180199328319193,1.017530477109794,47,0.0264794428976571,1.0187908687100966,1.0000000000000013,1.0000000000000027,1.0048792425940734,46,0.026462357841688648,1.0104143829231211,1.0077707144937396,1.0180199328319193,1.017530477109794,47,0.0264794428976571,1.0187908687100966,1.0000000000000013,1.0000000000000024,1.0046646384624223,47,0.0270265082225711,1.0398390893907372,0.9797581944212428,0.9797581944212428,0.9814703159511928,0,,,,,,0,,,,,,46,0.026462357841688648,1.0104143829231211,1.0077707144937396,1.0180199328319193,1.017530477109794,46,0.026462357841688648,1.0104143829231211,1.0077707144937396,1.0180199328319193,1.017530477109794,47,0.0262143761786748,1.0085924837236055,1.0101115020695386,1.0000000000000027,0.052226505926183005,46,0.026462357841688648,1.0104143829231211,1.0077707144937396,1.0180199328319193,1.017530477109794,47,0.0264794428976571,1.0187908687100966,1.0000000000000013,1.0000000000000024,1.0046646384624223,47,0.0270265082225711,1.0398390893907372,0.9797581944212428,0.9797581944212428,0.9814703159511928,0,,,,,,0,,,,,
lag2-prim,1.3,0.5,48,48,48,0.029766560010602183,0,0,0,48,0.02924715296419645,1.0,1.0177592344472495,1.020729986781518,1.0195094881277666,48,0.029618370997950852,1.0126924502432368,1.0050032803175295,1.0129310334681114,1.008157761589694,47,0.0293358171097983,1.0026385399110551,1.0182004992411764,1.018025841600275,1.0183435628393642,47,0.0293358171097983,1.0026385399110551,1.0182004992411764,1.018025841600275,1.0183435628393642,48,0.0295050012518386,1.0088161841926222,1.0088648957012765,1.0000000000000022,1.0061317874535516,47,0.0293358171097983,1.0026385399110551,1.0182004992411764,1.0181225547982626,1.0188596279917914,48,0.02934836889609245,1.0034607105867674,1.0142492114635173,1.0000000000000027,1.0065650710194092,48,0.030504148864485547,1.0429784020970478,0.9758200480478869,0.9743961537136355,0.980723968263871,0,,,,,,0,,,,,,47,0.0293358171097983,1.0026385399110551,1.0182004992411764,1.018025841600275,1.0183435628393642,47,0.0293358171097983,1.0026385399110551,1.0182004992411764,1.018025841600275,1.0183435628393642,48,0.02934836889609245,1.0034607105867674,1.0142492114635173,1.0000000000000022,0.0192825796651379,47,0.0293358171097983,1.0026385399110551,1.0182004992411764,1.0181225547982626,1.0188596279917914,48,0.02934836889609245,1.0034607105867674,1.0142492114635173,1.0000000000000027,1.0065650710194092,48,0.030504148864485547,1.0429784020970478,0.9758200480478869,0.9743961537136355,0.980723968263871,0,,,,,,0,,,,,
