set,a,seed,arm,path_key,t_replay,t_model,n_steps,s_max,branch_refined,eta_lam_max_sw,rho_sw_nomom,rho_sw_mom,eta_lam_min_sw,status,s_star,t_sw_rel,winding_b1_sw,w1_sw,kappa_own,chi_sw,r_slaved,sdot_sw,lam_sw,gprime,branch_lo,branch_hi,sign_changes,interp_err_theta_sw,interp_err_H_sw,start7_status,start7_sign_changes,start7_step_offset,start7_s0_over_sstar,start7_start_branch_dist,start7_start_newton_converged,start7_different_branch,start7_start_branch_w1_sign_differs,start7_start_branch_b1_shift_2pi,start7_delta0_norm,full_7_rho_max,full_7_unstable,full_7_max_abs_delta,full_7_diverged,full_7_raw_s_pred,full_7_s_pred,full_7_step_rel,full_7_r_pred,full_m0H_7_rho_max,full_m0H_7_unstable,full_m0H_7_max_abs_delta,full_m0H_7_diverged,full_m0H_7_raw_s_pred,full_m0H_7_s_pred,full_m0H_7_step_rel,full_m0H_7_r_pred,d_7_rho_max,d_7_unstable,d_7_max_abs_delta,d_7_diverged,d_7_raw_s_pred,d_7_s_pred,d_7_step_rel,d_7_r_pred,c_7_rho_max,c_7_unstable,c_7_max_abs_delta,c_7_diverged,c_7_raw_s_pred,c_7_s_pred,c_7_step_rel,c_7_r_pred,c_path_7_rho_max,c_path_7_unstable,c_path_7_max_abs_delta,c_path_7_diverged,c_path_7_raw_s_pred,c_path_7_s_pred,c_path_7_step_rel,c_path_7_r_pred,b_7_rho_max,b_7_unstable,b_7_max_abs_delta,b_7_diverged,b_7_raw_s_pred,b_7_s_pred,b_7_step_rel,b_7_r_pred,a_7_rho_max,a_7_unstable,a_7_max_abs_delta,a_7_diverged,a_7_raw_s_pred,a_7_s_pred,a_7_step_rel,a_7_r_pred,a_nomom_7_rho_max,a_nomom_7_unstable,a_nomom_7_max_abs_delta,a_nomom_7_diverged,a_nomom_7_raw_s_pred,a_nomom_7_s_pred,a_nomom_7_step_rel,a_nomom_7_r_pred,start7_t0,start7_T,start5_status,start5_sign_changes,start5_step_offset,start5_s0_over_sstar,start5_start_branch_dist,start5_start_newton_converged,start5_different_branch,start5_start_branch_w1_sign_differs,start5_start_branch_b1_shift_2pi,start5_delta0_norm,full_5_rho_max,full_5_unstable,full_5_max_abs_delta,full_5_diverged,full_5_raw_s_pred,full_5_s_pred,full_5_step_rel,full_5_r_pred,full_m0H_5_rho_max,full_m0H_5_unstable,full_m0H_5_max_abs_delta,full_m0H_5_diverged,full_m0H_5_raw_s_pred,full_m0H_5_s_pred,full_m0H_5_step_rel,full_m0H_5_r_pred,d_5_rho_max,d_5_unstable,d_5_max_abs_delta,d_5_diverged,d_5_raw_s_pred,d_5_s_pred,d_5_step_rel,d_5_r_pred,c_5_rho_max,c_5_unstable,c_5_max_abs_delta,c_5_diverged,c_5_raw_s_pred,c_5_s_pred,c_5_step_rel,c_5_r_pred,c_path_5_rho_max,c_path_5_unstable,c_path_5_max_abs_delta,c_path_5_diverged,c_path_5_raw_s_pred,c_path_5_s_pred,c_path_5_step_rel,c_path_5_r_pred,b_5_rho_max,b_5_unstable,b_5_max_abs_delta,b_5_diverged,b_5_raw_s_pred,b_5_s_pred,b_5_step_rel,b_5_r_pred,a_5_rho_max,a_5_unstable,a_5_max_abs_delta,a_5_diverged,a_5_raw_s_pred,a_5_s_pred,a_5_step_rel,a_5_r_pred,a_nomom_5_rho_max,a_nomom_5_unstable,a_nomom_5_max_abs_delta,a_nomom_5_diverged,a_nomom_5_raw_s_pred,a_nomom_5_s_pred,a_nomom_5_step_rel,a_nomom_5_r_pred,start5_t0,start5_T,start7_intervention_in_window,start5_intervention_in_window,s_obs,step_obs,chi_1A,winding_1A,mirror_1A,kappa_1A,pred_r_1A,r_obs,obs_r_1A,w2_own_global,opt
4b,1.3,300000,control,phi1,9.5367431640625e-07,0.1109819412231445,2988,7.93385893180041,False,8.495415804808992,7.495415804808989,0.9486832980505142,0.1248329606083604,ok,4.8107189346601045,,-2.4508759792063937,-0.8317274950274222,7.57408247671595,0.0041642490539074,0.0315403657878816,0.0025007826660942,12.48329606083604,0.0342156549062787,1.4874034288136668,8.418703407085392,1,0.0,3.3975113211681673e-07,ok,0,-577,0.7001929619798346,3.099742684753437e-13,True,False,False,0,0.0714408280477716,0.9486832980505154,False,0.0714408280477716,False,4.961955308209199,4.961955308209199,637.0,0.0314373746633735,0.9486832980505154,False,0.0714408280477716,False,4.961955308209199,4.961955308209199,637.0,0.0314373746633735,3.731077839450366,True,16070.84558174196,True,,,,,0.9486832980505152,False,0.0714408280477716,False,4.964456022963565,4.964456022963565,638.0,0.0319571960847306,0.9486832980505142,False,0.0714408280477716,False,4.966956736936217,4.966956736936217,639.0,0.0324770173435939,0.9486832980505154,False,0.074008845174131,False,4.961955308209199,4.961955308209199,637.0,0.0314373746633735,0.9486832980505142,False,0.072705352178847,False,4.964456022963565,4.964456022963565,638.0,0.0319571960847306,7.495415804808989,True,5.514198483104573,True,3.375945838343178,,,,1161,1828,ok,0,-959,0.5004843486929113,7.109868249699502e-13,True,False,False,0,0.0809234888492804,0.9486832980505158,False,0.0809234888492804,False,4.961955308209199,4.961955308209199,1019.0,0.0314373746633735,0.9486832980505158,False,0.0809234888492804,False,4.961955308209199,4.961955308209199,1019.0,0.0314373746633735,1.847228513587572,True,13053.273682027024,True,,,,,0.948683298050516,False,0.0809234888492804,False,4.964456022963565,4.964456022963565,1020.0,0.0319571960847306,0.9486832980505142,False,0.0809234888492804,False,4.966956736936217,4.966956736936217,1021.0,0.0324770173435939,0.9486832980505152,False,0.0884556255718804,False,4.961955308209199,4.961955308209199,1019.0,0.0314373746633735,0.9486832980505142,False,0.0828401535925342,False,4.964456022963565,4.964456022963565,1020.0,0.0319571960847306,7.495415804808989,True,0.3493002643901964,False,2.4102230192919873,,,,779,2210,,,4.964456022963565,1799.0,0.00409755506087,-1,False,7.610543288947747,0.031184620169598,0.03195719608473069,-0.0295504414487894,5.115625,adam
4b,1.3,300001,control,phi1,9.5367431640625e-07,0.1565220355987548,5217,7.933264914137904,False,8.026625256254892,7.026625256254886,0.9486832980505148,0.0998752441199351,ok,5.126564297430788,,-2.4500259853666853,0.828906000298666,7.823226563734552,0.0036278484910711,0.0283814806845522,0.0018575195955023,9.987524411993515,0.0312053694235762,1.4874034288136668,8.418703407085392,0,0.0,4.9498400933600806e-09,ok,0,-890,0.7003063205257624,1.5099033134902132e-14,True,False,False,0,0.0669389533766757,0.948683298050516,False,0.0669389533766757,False,5.272231118368302,5.272231118368302,967.0,0.0284141215219941,0.948683298050516,False,0.0669389533766757,False,5.272231118368302,5.272231118368302,967.0,0.0284141215219941,3.0370638154807144,True,28742.831758217824,True,,,,,0.9486832980505152,False,0.0669389533766757,False,5.276025544536086,5.276025544536086,969.0,0.0291542714445622,0.9486832980505148,False,0.0669389533766757,False,5.279821190136305,5.279821190136305,971.0,0.029894659232563,0.9486832980505158,False,0.0693522094745437,False,5.272231118368302,5.272231118368302,967.0,0.0284141215219941,0.9486832980505148,False,0.0686338927097054,False,5.276025544536086,5.276025544536086,969.0,0.0291542714445622,7.026625256254886,True,0.1032745223128665,False,3.5917402998189156,,,,2963,2255,ok,0,-1597,0.500128751114431,1.383337888682945e-12,True,False,False,0,0.0759882933374136,0.9486832980505154,False,0.0759882933374136,False,5.272231118368302,5.272231118368302,1674.0,0.0284141215219941,0.9486832980505154,False,0.0759882933374136,False,5.272231118368302,5.272231118368302,1674.0,0.0284141215219941,1.3209373431842963,True,10672.54830744166,True,,,,,0.948683298050516,False,0.0759882933374136,False,5.276025544536086,5.276025544536086,1676.0,0.0291542714445622,0.9486832980505148,False,0.0759882933374136,False,5.279821190136305,5.279821190136305,1678.0,0.029894659232563,0.9486832980505157,False,0.0820537655166426,False,5.272231118368302,5.272231118368302,1674.0,0.0284141215219941,0.9486832980505148,False,0.0792745406096955,False,5.276025544536086,5.276025544536086,1676.0,0.0291542714445622,7.026625256254886,True,0.367094341238887,False,2.565272269887106,,,,2256,2962,,,5.2741281789833545,3931.0,0.0035596112825804,-1,True,7.610543288947747,0.0270905757579049,0.028784166742338524,0.0994925193971749,4.796875,adam
4b,1.3,300002,control,phi1,9.5367431640625e-07,0.0935640335083007,2480,7.934151240684397,False,3.451451191694366,2.451451191694367,0.9486832980505135,0.1856294686972961,ok,5.0759512075620625,,-2.4499668384658375,-0.8287084374738147,7.728187632492637,0.0031851586219178,0.024615503469433,0.0030012033715387,18.562946869729615,0.0321775860761016,1.4874034288136668,8.418703407085392,0,0.0,2.505010114894901e-07,ok,0,-495,0.7002947947663706,3.5127456499139953e-13,True,False,False,0,0.0535657728674348,0.9486832980505152,False,0.0535657728674348,False,5.201626331589703,5.201626331589703,537.0,0.0247589306690758,0.9486832980505152,False,0.0535657728674348,False,5.201626331589703,5.201626331589703,537.0,0.0247589306690758,1.2359022702328493,True,0.2362084459833863,False,3.870462075788892,,,,0.9486832980505158,False,0.0535657728674348,False,5.201626331589703,5.201626331589703,537.0,0.0247589306690758,0.9486832980505135,False,0.0535657728674348,False,5.204600282157369,5.204600282157369,538.0,0.0253448209674764,0.9486832980505157,False,0.0589738542524263,False,5.201626331589703,5.201626331589703,537.0,0.0247589306690758,0.9486832980505135,False,0.0570694514634353,False,5.201626331589703,5.201626331589703,537.0,0.0247589306690758,2.451451191694367,True,0.193501147980711,False,3.564215149073304,,,,990,1491,ok,0,-803,0.5000468940897952,1.9539925233402755e-14,True,False,False,0,0.0567290396645905,0.9486832980505158,False,0.0567290396645905,False,5.201626331589703,5.201626331589703,845.0,0.0247589306690758,0.9486832980505158,False,0.0567290396645905,False,5.201626331589703,5.201626331589703,845.0,0.0247589306690758,1.3781357376413983,True,0.2435541305941325,False,4.026496812953898,,,,0.9486832980505164,False,0.0567290396645905,False,5.201626331589703,5.201626331589703,845.0,0.0247589306690758,0.9486832980505135,False,0.0577994176313998,False,5.204600282157369,5.204600282157369,846.0,0.0253448209674764,0.9486832980505152,False,0.0767075352703174,False,5.201626331589703,5.201626331589703,845.0,0.0247589306690758,0.9486832980505135,False,0.0701391377612447,False,5.201626331589703,5.201626331589703,845.0,0.0247589306690758,2.451451191694367,True,0.7123952522017645,False,2.548564503141407,,,,682,1799,,,5.201626331589703,1527.0,0.0031859729513208,-1,False,7.610543288947747,0.0242469850634435,0.024758930669075863,0.0243202622207356,5.078125,adam
4b,1.3,300003,control,phi1,9.5367431640625e-07,0.1332979202270507,4447,7.935024456335832,False,6.646490928549217,5.646490928549215,0.9486832980505148,0.1133564283649886,ok,5.075684420358837,,-2.4503701363991635,0.8300523477514866,7.469526187375716,0.003615457622186,0.0270057553882658,0.0020801949666678,11.335642836498865,0.032166592585339,1.4874034288136668,8.418703407085392,1,0.0,3.017431899898782e-07,ok,0,-763,0.7001231611338473,3.0597746558669314e-13,True,False,False,0,0.0656855862598888,0.9486832980505152,False,0.0656855862598888,False,5.2131739486774675,5.2131739486774675,828.0,0.027087879570911,0.9486832980505152,False,0.0656855862598888,False,5.2131739486774675,5.2131739486774675,828.0,0.027087879570911,2.6284939660624485,True,22454.254316896226,True,,,,,0.9486832980505157,False,0.0656855862598888,False,5.215281013987023,5.215281013987023,829.0,0.0275030088687657,0.9486832980505148,False,0.0656855862598888,False,5.219495827098968,5.219495827098968,831.0,0.0283334019276879,0.9486832980505157,False,0.06862657690141,False,5.2131739486774675,5.2131739486774675,828.0,0.027087879570911,0.9486832980505148,False,0.067497989941355,False,5.215281013987023,5.215281013987023,829.0,0.0275030088687657,5.646490928549215,True,2.3138212220707386,True,3.559290221180243,,,,2395,2053,ok,0,-1321,0.5001918464952594,2.2759572004815712e-14,True,False,False,0,0.0745021291179206,0.9486832980505152,False,0.0745021291179206,False,5.2131739486774675,5.2131739486774675,1386.0,0.027087879570911,0.9486832980505152,False,0.0745021291179206,False,5.2131739486774675,5.2131739486774675,1386.0,0.027087879570911,1.3223612521549095,True,11184.09248003437,True,,,,,0.9486832980505152,False,0.0745021291179206,False,5.215281013987023,5.215281013987023,1387.0,0.0275030088687657,0.9486832980505148,False,0.0745021291179206,False,5.219495827098968,5.219495827098968,1389.0,0.0283334019276879,0.9486832980505157,False,0.0825719407914075,False,5.2131739486774675,5.2131739486774675,1386.0,0.027087879570911,0.9486832980505148,False,0.0781277225587313,False,5.215281013987023,5.215281013987023,1387.0,0.0275030088687657,5.646490928549215,True,0.2595312491160951,False,2.5405605948364616,,,,1837,2611,,,5.215281013987023,3224.0,0.0035616721334046,-1,True,7.610543288947747,0.0271062599523145,0.027503008868765777,0.0773982727410185,4.840625,adam
4b,1.3,300004,control,phi1,9.5367431640625e-07,0.1263837814331054,4022,7.9328670490045585,False,6.355077408205155,5.355077408205154,0.9486832980505148,0.1088414728983129,ok,4.597278655072665,,-2.45432133183198,-0.8428399008802246,7.544090332455625,0.0041244975844363,0.0311155823529828,0.0020637937471093,10.884147289831292,0.0371322267370132,1.4874034288136668,8.418703407085392,0,0.0,6.670182481904874e-07,ok,0,-696,0.7002077527220106,4.566347300283269e-13,True,False,False,0,0.0680012438211061,0.9486832980505157,False,0.0680012438211061,False,4.741238506018096,4.741238506018096,765.0,0.0313141451163907,0.9486832980505157,False,0.0680012438211061,False,4.741238506018096,4.741238506018096,765.0,0.0313141451163907,2.4445102066794804,True,14507.970466628249,True,,,,,0.9486832980505154,False,0.0680012438211061,False,4.743332785698616,4.743332785698616,766.0,0.0317696928083299,0.9486832980505148,False,0.0680012438211061,False,4.747522091224424,4.747522091224424,768.0,0.0326809504979601,0.948683298050515,False,0.0700331445830854,False,4.741238506018096,4.741238506018096,765.0,0.0313141451163907,0.9486832980505148,False,0.0690290451109358,False,4.743332785698616,4.743332785698616,766.0,0.0317696928083299,5.355077408205154,True,0.0819008371374961,False,3.220927448940617,,,,1830,2193,ok,0,-1208,0.5002879344962825,1.0114131754335177e-13,True,False,False,0,0.0771526172720937,0.9486832980505152,False,0.0771526172720937,False,4.741238506018096,4.741238506018096,1277.0,0.0313141451163907,0.9486832980505152,False,0.0771526172720937,False,4.741238506018096,4.741238506018096,1277.0,0.0313141451163907,1.3474958465439004,True,11507.824585917087,True,,,,,0.9486832980505154,False,0.0771526172720937,False,4.743332785698616,4.743332785698616,1278.0,0.0317696928083299,0.9486832980505148,False,0.0771526172720937,False,4.747522091224424,4.747522091224424,1280.0,0.0326809504979601,0.9486832980505157,False,0.0822567775315999,False,4.741238506018096,4.741238506018096,1277.0,0.0313141451163907,0.9486832980505148,False,0.0782001193019574,False,4.743332785698616,4.743332785698616,1278.0,0.0317696928083299,5.355077408205154,True,0.2940125560009592,False,2.301675187743192,,,,1318,2705,,,4.743332785698616,2596.0,0.0040488528685973,-1,False,7.610543288947747,0.03081397002704,0.031769692808329975,-0.1149466522311671,5.359375,adam
4b,1.3,300005,control,phi1,9.5367431640625e-07,0.139488935470581,4034,7.93368995091864,False,5.9973303899500205,4.997330389950017,0.9486832980505144,0.1145222032455117,ok,5.17170406005756,,-2.4512188830683193,0.8328565079361011,7.686388998669286,0.0038741379197979,0.0297781310860625,0.0022945548175268,11.45222032455117,0.0319199894864878,1.4874034288136668,8.418703407085392,0,4.0967229608668276e-13,6.136195893624574e-07,ok,0,-683,0.7003188150213462,1.865174681370263e-13,True,False,False,0,0.0724288522338696,0.9486832980505154,False,0.0724288522338696,False,5.32439608761111,5.32439608761111,749.0,0.0295245098676142,0.9486832980505154,False,0.0724288522338696,False,5.32439608761111,5.32439608761111,749.0,0.0295245098676142,2.367186339269033,True,0.2248737183859505,False,3.644299263499823,,,,0.9486832980505152,False,0.0724288522338696,False,5.3267007427167705,5.3267007427167705,750.0,0.0299701376682186,0.9486832980505144,False,0.0724288522338696,False,5.33131031077413,5.33131031077413,752.0,0.0308614431265028,0.9486832980505154,False,0.0757021063418167,False,5.32439608761111,5.32439608761111,749.0,0.0295245098676142,0.9486832980505144,False,0.0746048023780101,False,5.3267007427167705,5.3267007427167705,750.0,0.0299701376682186,4.997330389950017,True,0.0763776069283928,False,3.6240871893078177,,,,2173,1862,ok,0,-1144,0.5003685933155406,2.4868995751603507e-14,True,False,False,0,0.0828438858157616,0.9486832980505152,False,0.0828438858157616,False,5.32439608761111,5.32439608761111,1210.0,0.0295245098676142,0.9486832980505152,False,0.0828438858157616,False,5.32439608761111,5.32439608761111,1210.0,0.0295245098676142,1.2258525186492646,True,0.3785692314928907,False,2.763264562198757,,,,0.9486832980505152,False,0.0828438858157616,False,5.3267007427167705,5.3267007427167705,1211.0,0.0299701376682186,0.9486832980505144,False,0.0828438858157616,False,5.33131031077413,5.33131031077413,1213.0,0.0308614431265028,0.9486832980505154,False,0.0920738605330986,False,5.32439608761111,5.32439608761111,1210.0,0.0295245098676142,0.9486832980505144,False,0.0875342513818244,False,5.3267007427167705,5.3267007427167705,1211.0,0.0299701376682186,4.997330389950017,True,0.2413401416943413,False,2.590012950456782,,,,1712,2323,,,5.329005483776356,2924.0,0.0038036508945476,-1,True,7.610543288947747,0.0289478497889993,0.030415782088862642,0.0303817249597728,5.171875,adam
4b,1.3,300007,control,phi1,9.5367431640625e-07,0.0841472148895263,19732,7.934694336541506,False,3.361139142876743,2.361139142876743,0.9486832980505144,0.1648703903211903,ok,4.80853559098034,,-2.4529753632750086,0.8385588639171675,7.596598834160757,0.0045724155203434,0.0347348064111398,0.0036249430773283,16.487039032119032,0.0351119280714278,1.4874034288136668,8.418703407085392,0,0.0,1.8444820026886077e-07,ok,0,-364,0.7005452984395587,2.957634137601417e-13,True,False,False,0,0.0773958233539655,0.948683298050515,False,0.0773958233539655,False,4.969289975359339,4.969289975359339,409.0,0.0334310480472548,0.948683298050515,False,0.0773958233539655,False,4.969289975359339,4.969289975359339,409.0,0.0334310480472548,1.3484179035169273,True,0.2246533525672726,False,3.5130113847499422,,,,0.9486832980505148,False,0.08764357198394,False,4.969289975359339,4.969289975359339,409.0,0.0334310480472548,0.9486832980505144,False,0.0897798567224368,False,4.972752899924413,4.972752899924413,410.0,0.0341512100382712,0.9486832980505152,False,0.0818972738835789,False,4.969289975359339,4.969289975359339,409.0,0.0334310480472548,0.9486832980505144,False,0.0900243729112811,False,4.969289975359339,4.969289975359339,409.0,0.0334310480472548,2.361139142876743,True,0.1855133387729335,False,3.3823486723774763,,,,18343,1390,ok,0,-547,0.5006605556472994,8.787415239908114e-13,True,False,False,0,0.089051902078876,0.9486832980505152,False,0.089051902078876,False,4.969289975359339,4.969289975359339,592.0,0.0334310480472548,0.9486832980505152,False,0.089051902078876,False,4.969289975359339,4.969289975359339,592.0,0.0334310480472548,1.3453238630472897,True,0.2322736497328182,False,3.5085713582426155,,,,0.9486832980505157,False,0.1233109570562906,False,4.969289975359339,4.969289975359339,592.0,0.0334310480472548,0.9486832980505144,False,0.127107596898245,False,4.972752899924413,4.972752899924413,593.0,0.0341512100382712,0.9486832980505154,False,0.1054356856784518,False,4.969289975359339,4.969289975359339,592.0,0.0334310480472548,0.9486832980505144,False,0.1282340190513836,False,4.969289975359339,4.969289975359339,592.0,0.0334310480472548,2.361139142876743,True,0.1131052299965346,False,2.4136468169625505,,,,18160,1573,,,4.972752899924413,18753.0,0.0045206991022169,-1,True,7.610543288947747,0.0344049762137289,0.03415121003827126,0.0339707134345697,4.809375,adam
4b,1.3,300008,control,phi1,9.5367431640625e-07,0.1568057537078857,4673,7.93462652269732,False,12.263262957287346,11.263262957287338,0.9486832980505152,0.0977725748739616,ok,5.025384289349728,,-2.4524165482921285,-0.8367591484446505,7.583250799596722,0.0039394695467332,0.0298739855902521,0.0019356377256675,9.777257487396165,0.0332256098197895,1.4874034288136668,8.418703407085392,1,0.0,4.1874691358856353e-07,ok,0,-825,0.7000720189476625,1.607602939657227e-13,True,False,False,0,0.0720021848082161,0.9486832980505152,False,0.0720021848082161,False,5.176062070847816,5.176062070847816,901.0,0.0299833351685001,0.9486832980505152,False,0.0720021848082161,False,5.176062070847816,5.176062070847816,901.0,0.0299833351685001,5.38180626871257,True,1.180326521847231,True,3.5283499040192545,,,,0.9486832980505152,False,0.0720021848082161,False,5.180002263037876,5.180002263037876,903.0,0.0307673930560552,0.9486832980505152,False,0.0720021848082161,False,5.183943518155029,5.183943518155029,905.0,0.0315516624552145,0.9486832980505157,False,0.0744893520215532,False,5.176062070847816,5.176062070847816,901.0,0.0299833351685001,0.9486832980505152,False,0.0738785023516737,False,5.180002263037876,5.180002263037876,903.0,0.0307673930560552,11.263262957287338,True,0.1493254755435947,False,3.5198332896182283,,,,2469,2205,ok,0,-1452,0.500297918986515,1.582067810090848e-12,True,False,False,0,0.0824031124340631,0.9486832980505152,False,0.0824031124340631,False,5.176062070847816,5.176062070847816,1528.0,0.0299833351685001,0.9486832980505152,False,0.0824031124340631,False,5.176062070847816,5.176062070847816,1528.0,0.0299833351685001,2.600413569233558,True,18719.4192712252,True,,,,,0.9486832980505154,False,0.0824031124340631,False,5.180002263037876,5.180002263037876,1530.0,0.0307673930560552,0.9486832980505152,False,0.0824031124340631,False,5.183943518155029,5.183943518155029,1532.0,0.0315516624552145,0.9486832980505154,False,0.0885889629672702,False,5.176062070847816,5.176062070847816,1528.0,0.0299833351685001,0.9486832980505152,False,0.0861521426154778,False,5.180002263037876,5.180002263037876,1530.0,0.0307673930560552,11.263262957287338,True,0.5533036226606042,False,2.515689900119112,,,,1842,2832,,,5.178032034034765,3371.0,0.0038587295901179,-1,False,7.610543288947747,0.0293670285859358,0.030375337664930946,0.0298137047179087,5.028125,adam
4b,1.3,300009,control,phi1,1.1920928955078125e-06,0.15920090675354,4546,7.9347048456097475,False,15.638096217932295,14.638096217932295,0.9486832980505138,0.1060257728401753,ok,5.211168617348661,,-2.450931610711357,0.831911019551226,7.64911706027452,0.0036269505566558,0.0277429693796883,0.0020039561207124,10.60257728401754,0.0315544447840037,1.4874034288136668,8.418703407085392,0,4.135580766728708e-13,6.208906269122849e-07,ok,0,-822,0.7002286916398269,3.552713678800501e-15,True,False,False,0,0.0682612732047385,0.9486832980505152,False,0.0682612732047385,False,5.3562361944995995,5.3562361944995995,893.0,0.0278378206124418,0.9486832980505152,False,0.0682612732047385,False,5.3562361944995995,5.3562361944995995,893.0,0.0278378206124418,7.228739098582896,True,16959.85038503412,True,,,,,0.948683298050515,False,0.0682612732047385,False,5.358271517394762,5.358271517394762,894.0,0.0282283899922901,0.9486832980505138,False,0.0682612732047385,False,5.362342920433702,5.362342920433702,896.0,0.0290096740646161,0.9486832980505152,False,0.0716661174570518,False,5.3562361944995995,5.3562361944995995,893.0,0.0278378206124418,0.9486832980505138,False,0.0705149651156133,False,5.358271517394762,5.358271517394762,894.0,0.0282283899922901,14.638096217932295,True,0.1904756845751846,False,3.650789305077556,,,,2461,2086,ok,0,-1442,0.5001926798886582,3.0131452888326754e-13,True,False,False,0,0.0779176291443626,0.9486832980505152,False,0.0779176291443626,False,5.3562361944995995,5.3562361944995995,1513.0,0.0278378206124418,0.9486832980505152,False,0.0779176291443626,False,5.3562361944995995,5.3562361944995995,1513.0,0.0278378206124418,3.6415210023247546,True,35722.97523108894,True,,,,,0.9486832980505152,False,0.0779176291443626,False,5.358271517394762,5.358271517394762,1514.0,0.0282283899922901,0.9486832980505138,False,0.0779176291443626,False,5.362342920433702,5.362342920433702,1516.0,0.0290096740646161,0.9486832980505152,False,0.0873447635858891,False,5.3562361944995995,5.3562361944995995,1513.0,0.0278378206124418,0.9486832980505138,False,0.0828802684831497,False,5.358271517394762,5.358271517394762,1514.0,0.0282283899922901,14.638096217932295,True,0.7043612144547491,False,2.6081717856360824,,,,1841,2706,,,5.358271517394762,3355.0,0.003563340580433,-1,True,7.610543288947747,0.0271189577406495,0.02822838999229016,0.0285824148568172,5.209375,adam
4b,1.3,300010,control,phi1,1.1920928955078125e-06,0.0800046920776367,11970,7.934780506776024,False,2.8061958560305915,1.8061958560305904,0.948683298050514,0.1659465754626521,ok,4.974450939667132,,-2.452981225378506,-0.8385776730496302,7.515747122489475,0.0043417183849237,0.0326312574581505,0.0035840585612768,16.59465754626521,0.0335895741967131,1.4874034288136668,8.418703407085392,0,0.0,5.81104025343393e-07,ok,0,-379,0.7006003364571713,3.781419621873283e-13,True,False,False,0,0.0762085622645205,0.9486832980505154,False,0.0762085622645205,False,5.131871678932811,5.131871678932811,424.0,0.0316458522106186,0.9486832980505154,False,0.0762085622645205,False,5.131871678932811,5.131871678932811,424.0,0.0316458522106186,1.2393812779491593,True,0.089402126665032,False,4.115302215236438,,,,0.9486832980505157,False,0.086375295550626,False,5.131871678932811,5.131871678932811,424.0,0.0316458522106186,0.948683298050514,False,0.0887707089118728,False,5.135304722085874,5.135304722085874,425.0,0.032335987301848,0.9486832980505154,False,0.0810375741311377,False,5.131871678932811,5.131871678932811,424.0,0.0316458522106186,0.948683298050514,False,0.0890755998360558,False,5.131871678932811,5.131871678932811,424.0,0.0316458522106186,1.8061958560305904,True,0.0908715329001626,False,3.4987753960344494,,,,10619,1352,ok,0,-569,0.500665040828113,4.902744876744691e-13,True,False,False,0,0.0877043323589861,0.9486832980505154,False,0.0877043323589861,False,5.131871678932811,5.131871678932811,614.0,0.0316458522106186,0.9486832980505154,False,0.0877043323589861,False,5.131871678932811,5.131871678932811,614.0,0.0316458522106186,1.3294787490189457,True,0.0877043323589861,False,4.26142354404407,,,,0.9486832980505157,False,0.1224257056560079,False,5.131871678932811,5.131871678932811,614.0,0.0316458522106186,0.948683298050514,False,0.1267318759139176,False,5.135304722085874,5.135304722085874,615.0,0.032335987301848,0.9486832980505154,False,0.1052369208133796,False,5.131871678932811,5.131871678932811,614.0,0.0316458522106186,0.948683298050514,False,0.1281537635469703,False,5.131871678932811,5.131871678932811,614.0,0.0316458522106186,1.8061958560305904,True,0.111428866714107,False,2.4967334643067036,,,,10429,1542,,,5.135304722085874,11044.0,0.0042993118880644,-1,False,7.610543288947747,0.0327200992368017,0.03233598730184806,0.0328708429085293,4.971875,adam
