a,s,w1,gap,source,w2_glob,x
1.3,0.05,1.751088335787397,-3.45055283020732,frozen search (added),4.956250000000001,0.010088272383354349
1.3,0.1,1.7094901147938948,-3.2342319917276807,frozen search (added),4.956250000000001,0.020176544766708698
1.3,0.2,1.6234175888783813,-2.7939660378017885,frozen search (added),4.956250000000001,0.040353089533417395
1.3,0.35,1.496894147956678,-2.173438845031247,frozen search (added),4.956250000000001,0.07061790668348043
1.3,0.5,1.3884444405394474,-1.678849030066465,frozen search (added),4.956250000000001,0.10088272383354349
1.3,0.75,1.256125476348237,-1.1373980137361541,frozen search (added),4.956250000000001,0.15132408575031522
1.3,1.0,1.1669001057192152,-0.8173421064816275,frozen search (added),4.956250000000001,0.20176544766708698
1.3,1.25,1.1033271511604825,-0.6134728509289018,frozen search (added),4.956250000000001,0.2522068095838587
1.3,1.5,1.0555913159887698,-0.4741510447111214,conditional audit,4.956250000000001,0.30264817150063045
1.3,2.0,0.9881399171414884,-0.2978708200273932,conditional audit,4.956250000000001,0.40353089533417397
1.3,2.5,0.9422768650394872,-0.1919447704820878,conditional audit,4.956250000000001,0.5044136191677174
1.3,3.0,0.9087815144333624,-0.1217481698055023,conditional audit,4.956250000000001,0.6052963430012609
1.3,3.5,0.8831122572076314,-0.0720509884011364,conditional audit,4.956250000000001,0.7061790668348045
1.3,4.0,0.8627492387050497,-0.040123024546359,conditional audit,4.956250000000001,0.8070617906683479
1.3,4.5,0.8461703026830334,-0.0169343805513619,conditional audit,4.956250000000001,0.9079445145018914
1.3,4.55,0.8446795544592155,-0.0149098085265424,conditional audit,4.956250000000001,0.9180327868852457
1.3,4.6,0.8432158314139369,-0.0129317254202026,conditional audit,4.956250000000001,0.9281210592686
1.3,4.65,0.8417783949853777,-0.0109986211404287,conditional audit,4.956250000000001,0.9382093316519545
1.3,4.7,0.8403665339984308,-0.0091090497303572,conditional audit,4.956250000000001,0.9482976040353088
1.3,4.75,0.8389795633792518,-0.0072616260147508,conditional audit,4.956250000000001,0.9583858764186631
1.3,4.8,0.8376168229426558,-0.0054550224540843,conditional audit,4.956250000000001,0.9684741488020174
1.3,4.85,0.8362776762475393,-0.0036879661913431,conditional audit,4.956250000000001,0.9785624211853718
1.3,4.9,0.8349615095158673,-0.0019592362779543,conditional audit,4.956250000000001,0.9886506935687263
1.3,4.95,0.8336677306111037,-0.0002676610663221,conditional audit,4.956250000000001,0.9987389659520806
1.3,5.0,0.8323957680722684,0.0013878842425412,conditional audit,4.956250000000001,1.0088272383354349
1.3,5.5,0.8207634115897081,0.0161798968881337,conditional audit,4.956250000000001,1.1097099621689783
1.3,6.0,0.8108077976067479,0.028332522481075,conditional audit,4.956250000000001,1.2105926860025218
1.3,6.5,0.8021912568855547,0.0384620761461498,conditional audit,4.956250000000001,1.3114754098360655
1.3,6.65,0.7998280650817682,0.0411756494398543,conditional audit,4.956250000000001,1.3417402269861285
1.3,6.7,0.7990610131655211,0.0420503538841039,conditional audit,4.956250000000001,1.351828499369483
1.3,6.75,0.7983039677122862,0.0429107104096586,conditional audit,4.956250000000001,1.361916771752837
1.3,6.8,0.7975567367698756,0.0437570412977046,conditional audit,4.956250000000001,1.3720050441361915
1.3,6.85,0.7968191333320387,0.0445896593640795,conditional audit,4.956250000000001,1.3820933165195457
1.3,6.9,0.796090975177699,0.0454088683027196,conditional audit,4.956250000000001,1.3921815889029003
1.3,6.95,0.7953720847164425,0.0462149630143589,conditional audit,4.956250000000001,1.4022698612862545
1.3,7.0,0.7946622888400711,0.0470082299211385,conditional audit,4.956250000000001,1.412358133669609
