group,a,seed,init_branch,T_plus,T_minus
B45,1.3,200000,-1,4.528125,5.009375
B45,1.3,200001,1,4.846875,5.153125
B45,1.3,200002,-1,4.940625,5.553125
B45,1.3,200003,-1,4.921875,4.909375
B45,1.3,200004,1,4.896875,5.021875
B45,1.3,200005,1,5.246875,4.659375
B45,1.3,200006,1,4.078125,6.384375
B45,1.3,200007,-1,5.490625,4.409375
B45,1.3,200008,1,6.246875,4.534375
B45,1.3,200009,-1,5.396875,5.121875
B45,1.3,200010,-1,5.134375,4.965625
B45,1.3,200011,1,4.896875,5.078125
B45,1.3,200012,1,5.021875,4.990625
B45,1.3,200013,-1,5.146875,5.128125
B45,1.3,200014,1,5.146875,4.584375
B45,1.3,200015,-1,5.390625,4.534375
B45,1.3,200016,-1,4.803125,5.446875
B45,1.3,200017,1,4.965625,4.684375
B45,1.3,200018,1,5.715625,4.290625
B45,1.3,200019,-1,5.221875,4.628125
B45,1.3,200020,1,5.134375,5.390625
B45,1.3,200021,-1,4.890625,5.053125
B45,1.3,200022,1,4.928125,5.371875
B45,1.3,200023,1,5.028125,5.021875
B45,1.3,200024,-1,5.428125,5.396875
B45,1.3,200025,1,6.359375,4.378125
B45,1.3,200026,-1,4.534375,5.121875
B45,1.3,200027,1,5.521875,4.690625
B45,1.3,200028,1,4.428125,5.834375
B45,1.3,200029,-1,4.709375,5.759375
B45,1.3,200030,1,5.346875,4.865625
B45,1.3,200031,-1,4.809375,5.553125
B45,1.3,200032,1,5.171875,5.059375
B45,1.3,200033,-1,5.115625,5.253125
B45,1.3,200034,-1,5.015625,5.296875
B45,1.3,200035,-1,4.903125,5.265625
B45,1.3,200036,-1,5.390625,4.459375
B45,1.3,200037,1,5.540625,4.459375
B45,1.3,200038,1,5.434375,4.809375
B45,1.3,200039,-1,5.515625,4.765625
B45,1.3,200040,1,4.946875,4.796875
B45,1.3,200041,1,4.959375,4.884375
B45,1.3,200042,1,4.428125,6.003125
B45,1.3,200043,-1,4.496875,5.846875
B45,1.3,200044,-1,5.584375,4.159375
B45,1.3,200045,1,4.928125,4.734375
B45,1.3,200046,-1,5.696875,4.203125
B45,1.3,200047,1,5.103125,4.890625
B45,1.3,200048,1,5.146875,4.753125
B45,1.3,200049,-1,5.009375,5.359375
B45,1.3,200050,-1,4.765625,4.821875
B45,1.3,200051,-1,5.053125,4.759375
B45,1.3,200052,1,4.778125,5.034375
B45,1.3,200053,1,5.021875,4.821875
B45,1.3,200054,-1,5.546875,4.528125
B45,1.3,200055,1,5.109375,4.765625
B45,1.3,200056,-1,6.109375,4.296875
B45,1.3,200057,1,5.153125,4.771875
B45,1.3,200058,1,5.253125,4.490625
B45,1.3,200059,-1,5.296875,4.403125
B45,1.3,200060,-1,4.659375,5.615625
B45,1.3,200061,1,4.978125,4.765625
B45,1.3,200062,1,4.359375,5.946875
B45,1.3,200063,1,5.015625,4.740625
B45,1.3,200064,1,5.196875,4.971875
B45,1.3,200065,-1,5.459375,4.478125
B45,1.3,200066,1,4.403125,5.734375
B45,1.3,200067,-1,5.190625,4.609375
B45,1.3,200068,1,4.984375,4.784375
B45,1.3,200069,-1,4.890625,4.890625
B45,1.3,200070,1,4.690625,5.540625
B45,1.3,200071,1,5.728125,4.109375
B45,1.3,200072,1,4.796875,5.146875
B45,1.3,200073,1,4.346875,5.671875
B45,1.3,200074,-1,4.940625,4.878125
B45,1.3,200075,1,5.121875,4.778125
B45,1.3,200076,1,4.521875,5.309375
B45,1.3,200077,-1,4.865625,5.384375
B45,1.3,200078,1,4.578125,5.584375
B45,1.3,200079,1,5.165625,5.015625
B45,1.3,200080,-1,4.321875,6.003125
B45,1.3,200081,-1,5.171875,5.078125
B45,1.3,200082,1,4.165625,5.865625
B45,1.3,200083,-1,4.990625,4.809375
B45,1.3,200084,1,4.165625,5.596875
B45,1.3,200085,1,4.465625,5.996875
B45,1.3,200086,1,4.603125,5.053125
B45,1.3,200087,-1,6.115625,4.015625
B45,1.3,200088,-1,4.846875,5.015625
B45,1.3,200089,-1,5.115625,4.734375
B45,1.3,200090,-1,5.334375,4.609375
B45,1.3,200091,1,4.459375,5.534375
B45,1.3,200092,1,4.678125,5.240625
B45,1.3,200093,1,5.721875,4.803125
B45,1.3,200094,1,5.103125,4.590625
B45,1.3,200095,1,4.665625,5.484375
B45,1.3,200096,1,4.765625,4.903125
B45,1.3,200097,1,4.553125,5.390625
B45,1.3,200098,-1,5.546875,4.721875
B45,1.3,200099,-1,5.196875,4.765625
B45,1.3,200100,1,4.740625,5.303125
B45,1.3,200101,1,5.190625,5.040625
B45,1.3,200102,-1,5.371875,4.634375
B45,1.3,200103,1,4.596875,5.753125
B45,1.3,200104,1,4.896875,4.934375
B45,1.3,200105,-1,4.903125,5.334375
B45,1.3,200107,1,4.865625,5.334375
B45,1.3,200108,-1,4.509375,5.440625
B45,1.3,200109,1,4.115625,5.815625
B45,1.3,200110,1,4.728125,5.328125
B45,1.3,200111,-1,4.921875,4.809375
B45,1.3,200112,1,4.534375,5.234375
B45,1.3,200114,-1,5.246875,4.665625
B45,1.3,200115,1,4.371875,5.228125
B45,1.3,200116,-1,5.046875,4.796875
B45,1.3,200117,1,5.278125,4.653125
B45,1.3,200118,1,5.671875,4.290625
B45,1.3,200119,-1,4.946875,5.140625
B45,1.3,200120,-1,4.840625,4.571875
