group,a,seed,init_branch,T_plus,T_minus,split
B45,1.3,200000,-1,4.528125,5.009375,0.10628019323671502
B45,1.3,200001,1,4.846875,5.153125,0.06318504190844625
B45,1.3,200002,-1,4.940625,5.553125,0.12397216951296644
B45,1.3,200003,-1,4.921875,4.909375,0.0025461489497135945
B45,1.3,200004,1,4.896875,5.021875,0.025526483726866625
B45,1.3,200005,1,5.246875,4.659375,0.12608987256874588
B45,1.3,200006,1,4.078125,6.384375,0.5655172413793105
B45,1.3,200007,-1,5.490625,4.409375,0.24521615875265765
B45,1.3,200008,1,6.246875,4.534375,0.37767057201929716
B45,1.3,200009,-1,5.396875,5.121875,0.05369127516778513
B45,1.3,200010,-1,5.134375,4.965625,0.033983637507866614
B45,1.3,200011,1,4.896875,5.078125,0.03701340140395668
B45,1.3,200012,1,5.021875,4.990625,0.006261740763932374
B45,1.3,200013,-1,5.146875,5.128125,0.0036563071297988684
B45,1.3,200014,1,5.146875,4.584375,0.1226993865030675
B45,1.3,200015,-1,5.390625,4.534375,0.18883528600964858
B45,1.3,200016,-1,4.803125,5.446875,0.13402732595966182
B45,1.3,200017,1,4.965625,4.684375,0.0600400266844563
B45,1.3,200018,1,5.715625,4.290625,0.3321194464675892
B45,1.3,200019,-1,5.221875,4.628125,0.12829169480081026
B45,1.3,200020,1,5.134375,5.390625,0.04990870359099202
B45,1.3,200021,-1,4.890625,5.053125,0.033226837060702806
B45,1.3,200022,1,4.928125,5.371875,0.09004438807863042
B45,1.3,200023,1,5.028125,5.021875,0.0012445550715620229
B45,1.3,200024,-1,5.428125,5.396875,0.005790387955993052
B45,1.3,200025,1,6.359375,4.378125,0.4525339043540329
B45,1.3,200026,-1,4.534375,5.121875,0.1295658166781531
B45,1.3,200027,1,5.521875,4.690625,0.1772151898734177
B45,1.3,200028,1,4.428125,5.834375,0.3175723359209598
B45,1.3,200029,-1,4.709375,5.759375,0.2229595222295954
B45,1.3,200030,1,5.346875,4.865625,0.09890815671162496
B45,1.3,200031,-1,4.809375,5.553125,0.15464587394411944
B45,1.3,200032,1,5.171875,5.059375,0.022235948116121028
B45,1.3,200033,-1,5.115625,5.253125,0.02687843616371415
B45,1.3,200034,-1,5.015625,5.296875,0.056074766355140186
B45,1.3,200035,-1,4.903125,5.265625,0.07393244104525172
B45,1.3,200036,-1,5.390625,4.459375,0.20882971268395245
B45,1.3,200037,1,5.540625,4.459375,0.24246671338472336
B45,1.3,200038,1,5.434375,4.809375,0.1299545159194282
B45,1.3,200039,-1,5.515625,4.765625,0.15737704918032788
B45,1.3,200040,1,4.946875,4.796875,0.031270358306188996
B45,1.3,200041,1,4.959375,4.884375,0.015355086372360698
B45,1.3,200042,1,4.428125,6.003125,0.355681016231475
B45,1.3,200043,-1,4.496875,5.846875,0.3002084781097984
B45,1.3,200044,-1,5.584375,4.159375,0.34259954921111946
B45,1.3,200045,1,4.928125,4.734375,0.04092409240924085
B45,1.3,200046,-1,5.696875,4.203125,0.3553903345724908
B45,1.3,200047,1,5.103125,4.890625,0.04345047923322691
B45,1.3,200048,1,5.146875,4.753125,0.0828402366863905
B45,1.3,200049,-1,5.009375,5.359375,0.0698689956331877
B45,1.3,200050,-1,4.765625,4.821875,0.011803278688524665
B45,1.3,200051,-1,5.053125,4.759375,0.06172028890347982
B45,1.3,200052,1,4.778125,5.034375,0.053629823413996
B45,1.3,200053,1,5.021875,4.821875,0.041477640959170295
B45,1.3,200054,-1,5.546875,4.528125,0.2249827467218771
B45,1.3,200055,1,5.109375,4.765625,0.07213114754098361
B45,1.3,200056,-1,6.109375,4.296875,0.4218181818181818
B45,1.3,200057,1,5.153125,4.771875,0.079895219384414
B45,1.3,200058,1,5.253125,4.490625,0.16979819067501745
B45,1.3,200059,-1,5.296875,4.403125,0.20298083747338533
B45,1.3,200060,-1,4.659375,5.615625,0.20523138832997984
B45,1.3,200061,1,4.978125,4.765625,0.0445901639344263
B45,1.3,200062,1,4.359375,5.946875,0.36415770609319004
B45,1.3,200063,1,5.015625,4.740625,0.058009228740936135
B45,1.3,200064,1,5.196875,4.971875,0.04525455688246397
B45,1.3,200065,-1,5.459375,4.478125,0.21912072575017427
B45,1.3,200066,1,4.403125,5.734375,0.3023420865862313
B45,1.3,200067,-1,5.190625,4.609375,0.1261016949152542
B45,1.3,200068,1,4.984375,4.784375,0.04180274330502943
B45,1.3,200069,-1,4.890625,4.890625,0.0
B45,1.3,200070,1,4.690625,5.540625,0.18121252498334456
B45,1.3,200071,1,5.728125,4.109375,0.393916349809886
B45,1.3,200072,1,4.796875,5.146875,0.07296416938110742
B45,1.3,200073,1,4.346875,5.671875,0.3048166786484544
B45,1.3,200074,-1,4.940625,4.878125,0.012812299807815503
B45,1.3,200075,1,5.121875,4.778125,0.07194244604316546
B45,1.3,200076,1,4.521875,5.309375,0.17415342087076724
B45,1.3,200077,-1,4.865625,5.384375,0.10661528580603741
B45,1.3,200078,1,4.578125,5.584375,0.21979522184300335
B45,1.3,200079,1,5.165625,5.015625,0.029906542056074837
B45,1.3,200080,-1,4.321875,6.003125,0.3890093998553867
B45,1.3,200081,-1,5.171875,5.078125,0.018461538461538463
B45,1.3,200082,1,4.165625,5.865625,0.40810202550637636
B45,1.3,200083,-1,4.990625,4.809375,0.037686809616634065
B45,1.3,200084,1,4.165625,5.596875,0.34358589647411836
B45,1.3,200085,1,4.465625,5.996875,0.34289713086074175
B45,1.3,200086,1,4.603125,5.053125,0.09775967413441938
B45,1.3,200087,-1,6.115625,4.015625,0.5229571984435797
B45,1.3,200088,-1,4.846875,5.015625,0.034816247582205063
B45,1.3,200089,-1,5.115625,4.734375,0.08052805280528046
B45,1.3,200090,-1,5.334375,4.609375,0.15728813559322027
B45,1.3,200091,1,4.459375,5.534375,0.2410651716888578
B45,1.3,200092,1,4.678125,5.240625,0.12024048096192386
B45,1.3,200093,1,5.721875,4.803125,0.19128171763175023
B45,1.3,200094,1,5.103125,4.590625,0.111640571817563
B45,1.3,200095,1,4.665625,5.484375,0.17548559946416603
B45,1.3,200096,1,4.765625,4.903125,0.02885245901639348
B45,1.3,200097,1,4.553125,5.390625,0.18393960192175712
B45,1.3,200098,-1,5.546875,4.721875,0.17471872931833227
B45,1.3,200099,-1,5.196875,4.765625,0.0904918032786886
B45,1.3,200100,1,4.740625,5.303125,0.11865524060646013
B45,1.3,200101,1,5.190625,5.040625,0.029758214507129465
B45,1.3,200102,-1,5.371875,4.634375,0.15913688469318943
B45,1.3,200103,1,4.596875,5.753125,0.2515295717199184
B45,1.3,200104,1,4.896875,4.934375,0.007657945118060097
B45,1.3,200105,-1,4.903125,5.334375,0.08795411089866145
B45,1.3,200107,1,4.865625,5.334375,0.09633911368015415
B45,1.3,200108,-1,4.509375,5.440625,0.20651420651420638
B45,1.3,200109,1,4.115625,5.815625,0.4130599848139712
B45,1.3,200110,1,4.728125,5.328125,0.12690019828155974
B45,1.3,200111,-1,4.921875,4.809375,0.023391812865497037
B45,1.3,200112,1,4.534375,5.234375,0.15437629221226745
B45,1.3,200114,-1,5.246875,4.665625,0.12458137977227055
B45,1.3,200115,1,4.371875,5.228125,0.19585418155825593
B45,1.3,200116,-1,5.046875,4.796875,0.05211726384364821
B45,1.3,200117,1,5.278125,4.653125,0.1343183344526528
B45,1.3,200118,1,5.671875,4.290625,0.3219227967953386
B45,1.3,200119,-1,4.946875,5.140625,0.03916614024005046
B45,1.3,200120,-1,4.840625,4.571875,0.05878332194121663
B45,1.3,200121,1,4.890625,4.915625,0.005111821086262054
B45,1.3,200122,-1,4.540625,5.334375,0.17481073640743272
B45,1.3,200123,1,4.946875,5.340625,0.07959570435881234
B45,1.3,200124,-1,5.003125,5.028125,0.00499687695190513
B45,1.3,200125,1,5.065625,4.828125,0.049190938511326825
B45,1.3,200126,1,5.865625,4.171875,0.4059925093632958
B45,1.3,200127,1,3.996875,6.065625,0.5175918686473806
B45,1.3,200128,-1,4.871875,4.640625,0.04983164983164987
B45,1.3,200129,-1,4.559375,5.303125,0.1631254283755996
B45,1.3,200130,1,4.221875,6.046875,0.4322723908216137
B45,1.3,200131,-1,5.240625,5.084375,0.030731407498463433
B45,1.3,200132,-1,4.796875,5.390625,0.1237785016286645
B45,1.3,200133,1,4.909375,4.821875,0.01814646791963696
B45,1.3,200134,1,5.065625,4.934375,0.02659911336288783
B45,1.3,200135,-1,5.965625,4.465625,0.3358992302309307
B45,1.3,200136,-1,5.578125,4.521875,0.23358673116793374
B45,1.3,200137,-1,4.303125,5.434375,0.262890341321714
B45,1.3,200138,-1,5.003125,5.203125,0.039975015615240514
B45,1.3,200139,-1,5.334375,4.621875,0.15415821501014187
B45,1.3,200140,-1,5.221875,4.734375,0.10297029702970294
B45,1.3,200141,1,5.828125,4.128125,0.41180923542770637
B45,1.3,200142,-1,4.959375,4.903125,0.011472275334607922
B45,1.3,200143,-1,6.034375,3.640625,0.6575107296137338
B45,1.3,200144,-1,5.528125,4.571875,0.20915926179084068
B45,1.3,200145,1,5.340625,4.709375,0.13404114134041153
B45,1.3,200146,-1,4.878125,5.353125,0.09737347853939793
B45,1.3,200147,1,5.171875,4.909375,0.053469127943984764
B45,1.3,200148,-1,5.971875,5.196875,0.1491280817799157
B45,1.3,200149,-1,5.015625,4.640625,0.08080808080808081
B45,1.3,200150,-1,5.053125,4.846875,0.042553191489361666
B45,1.3,200151,1,5.771875,4.353125,0.32591529073941117
B45,1.3,200152,1,5.103125,4.778125,0.06801831262262921
B45,1.3,200153,1,4.915625,5.215625,0.061029879211697356
B45,1.3,200154,-1,5.328125,4.934375,0.07979734008866367
B45,1.3,200155,1,5.096875,4.890625,0.0421725239616613
B45,1.3,200156,-1,4.859375,4.915625,0.011575562700964704
B45,1.3,200157,-1,4.978125,4.690625,0.06129247168554309
B45,1.3,200158,1,5.046875,4.609375,0.09491525423728814
B45,1.3,200159,-1,4.203125,5.971875,0.42081784386617094
B45,1.3,200160,1,5.140625,5.196875,0.01094224924012165
B45,1.3,200161,-1,5.078125,4.553125,0.11530542210020599
B45,1.3,200163,-1,5.559375,4.465625,0.24492652204338697
B45,1.3,200164,-1,6.071875,4.321875,0.4049168474331164
B45,1.3,200165,1,4.984375,4.903125,0.016571064372211564
B45,1.3,200166,-1,4.390625,5.740625,0.30747330960854086
B45,1.3,200167,1,4.453125,5.453125,0.22456140350877193
B45,1.3,200168,1,4.903125,4.853125,0.010302640051513164
B45,1.3,200169,1,4.915625,4.740625,0.03691496374423219
B45,1.3,200170,1,4.959375,4.840625,0.024531956100710024
B45,1.3,200171,-1,5.221875,4.496875,0.16122307157748428
B45,1.3,200172,-1,5.634375,4.334375,0.29992790194664765
B45,1.3,200173,1,5.546875,4.640625,0.19528619528619529
B45,1.3,200174,1,4.815625,5.171875,0.0739779364049319
B45,1.3,200175,1,4.121875,6.140625,0.48976497346474596
B45,1.3,200176,1,4.978125,4.865625,0.023121387283237142
B45,1.3,200177,1,5.146875,4.990625,0.031308703819661866
B45,1.3,200178,-1,5.159375,4.815625,0.07138221933809215
B45,1.3,200179,1,5.109375,5.103125,0.0012247397428045844
cross,1.3,0,1,4.740625,4.828125,0.018457481872116096
cross,1.3,1,-1,5.103125,5.253125,0.02939375382731159
cross,1.3,2,1,4.915625,4.884375,0.006397952655150352
cross,1.3,3,1,4.628125,5.790625,0.2511816340310602
cross,1.3,4,-1,4.346875,5.840625,0.3436376707404746
cross,1.3,5,1,5.284375,4.834375,0.0930833872010343
cross,1.3,6,1,4.684375,5.209375,0.11207471647765165
cross,1.3,7,1,4.809375,5.028125,0.04548408057179987
cross,1.3,8,1,5.028125,4.871875,0.03207184092366902
cross,1.3,9,-1,4.521875,5.784375,0.27919834139599176
cross,1.3,10,1,5.234375,4.853125,0.07855763039278807
cross,1.3,11,-1,5.409375,4.671875,0.15785953177257522
cross,1.3,12,1,4.834375,4.740625,0.01977587343441002
cross,1.3,13,-1,4.634375,5.659375,0.22117329737019542
cross,1.3,14,1,4.790625,4.728125,0.013218770654329146
cross,1.3,15,-1,4.978125,5.234375,0.051475204017576826
cross,1.3,16,-1,5.040625,4.765625,0.05770491803278696
cross,1.3,17,-1,4.865625,5.246875,0.07835581245985881
cross,1.3,18,1,4.365625,5.265625,0.2061560486757338
cross,1.3,19,1,4.921875,4.878125,0.008968609865470888
cross,1.3,20,1,5.596875,4.571875,0.224196855775803
cross,1.3,21,1,5.421875,4.371875,0.2401715511079342
cross,1.3,22,1,5.171875,4.953125,0.04416403785488959
cross,1.3,23,1,4.390625,5.459375,0.24341637010676148
cross,1.3,24,-1,4.940625,5.565625,0.1265022137887413
cross,1.3,25,-1,5.790625,4.221875,0.371576609918579
cross,1.3,26,1,4.340625,5.509375,0.26925845932325415
