group,a,seed,init_branch,branch,R_cross,matches_init
B45 free crossing,1.3,200000,-1,1,0.20164110029213947,False
B45 free crossing,1.3,200001,1,1,0.21229723126949096,True
B45 free crossing,1.3,200002,-1,1,0.21965820438181402,False
B45 free crossing,1.3,200003,-1,-1,0.21832008644619993,True
B45 free crossing,1.3,200004,1,-1,0.22311812323768532,False
B45 free crossing,1.3,200005,1,-1,0.20558109443684755,False
B45 free crossing,1.3,200006,1,-1,0.2785589846488537,False
B45 free crossing,1.3,200007,-1,1,0.24306944867887034,False
B45 free crossing,1.3,200008,1,1,0.2744219724653226,True
B45 free crossing,1.3,200009,-1,-1,0.2270837978781205,True
B45 free crossing,1.3,200010,-1,1,0.22773713844361276,False
B45 free crossing,1.3,200011,1,1,0.2174878356194623,True
B45 free crossing,1.3,200012,1,1,0.22377474439044215,True
B45 free crossing,1.3,200013,-1,1,0.22866991832882758,False
B45 free crossing,1.3,200014,1,-1,0.20429695312695448,False
B45 free crossing,1.3,200015,-1,1,0.2397786105637747,False
B45 free crossing,1.3,200016,-1,1,0.21394754131214652,False
B45 free crossing,1.3,200017,1,-1,0.20929474712446047,False
B45 free crossing,1.3,200018,1,1,0.25248327216438043,True
B45 free crossing,1.3,200019,-1,1,0.23190741321775163,False
B45 free crossing,1.3,200020,1,1,0.22801807289621895,True
B45 free crossing,1.3,200021,-1,1,0.21702479145124945,False
B45 free crossing,1.3,200022,1,-1,0.2375860809314267,False
B45 free crossing,1.3,200023,1,-1,0.22278035377667135,False
B45 free crossing,1.3,200024,-1,-1,0.23996575595301486,True
B45 free crossing,1.3,200025,1,1,0.2794118586041604,True
B45 free crossing,1.3,200026,-1,-1,0.22621110278758952,True
B45 free crossing,1.3,200027,1,1,0.24386999283648583,True
B45 free crossing,1.3,200028,1,-1,0.2575065376551005,False
B45 free crossing,1.3,200029,-1,-1,0.2546231717133705,True
B45 free crossing,1.3,200030,1,1,0.2370121577298551,True
B45 free crossing,1.3,200031,-1,-1,0.24553534450943199,True
B45 free crossing,1.3,200032,1,1,0.22830207729564964,True
B45 free crossing,1.3,200033,-1,-1,0.2335437392926881,True
B45 free crossing,1.3,200034,-1,1,0.22261020805705062,False
B45 free crossing,1.3,200035,-1,-1,0.23214536426739624,True
B45 free crossing,1.3,200036,-1,1,0.23791744359586592,False
B45 free crossing,1.3,200037,1,1,0.24536607325990617,True
B45 free crossing,1.3,200038,1,1,0.24025441554484567,True
B45 free crossing,1.3,200039,-1,-1,0.2118506786238253,True
B45 free crossing,1.3,200040,1,-1,0.2134177162803783,False
B45 free crossing,1.3,200041,1,-1,0.2158407592403059,False
B45 free crossing,1.3,200042,1,-1,0.2649303818892129,False
B45 free crossing,1.3,200043,-1,-1,0.2564742417778787,True
B45 free crossing,1.3,200044,-1,1,0.24798429910335135,False
B45 free crossing,1.3,200045,1,1,0.21906659318666796,True
B45 free crossing,1.3,200046,-1,1,0.25180336440963463,False
B45 free crossing,1.3,200047,1,-1,0.2172692570072335,False
B45 free crossing,1.3,200048,1,1,0.22614672741320643,True
B45 free crossing,1.3,200049,-1,-1,0.23744725468397052,True
B45 free crossing,1.3,200050,-1,-1,0.2144323630476521,True
B45 free crossing,1.3,200051,-1,-1,0.21186804991663913,True
B45 free crossing,1.3,200052,1,1,0.21144593021084476,True
B45 free crossing,1.3,200053,1,1,0.22303081362906468,True
B45 free crossing,1.3,200054,-1,-1,0.2017792648328572,True
B45 free crossing,1.3,200055,1,-1,0.21143606006507568,False
B45 free crossing,1.3,200056,-1,1,0.2694221330698199,False
B45 free crossing,1.3,200057,1,-1,0.21307484645139652,False
B45 free crossing,1.3,200058,1,1,0.23245622341341518,True
