a,n,seed,T_plus,T_minus,w2_own,gap_rel
1.3,400,300000,5.303125,4.884375,4.884375,0.08573256557901457
1.3,400,300001,4.940625,4.890625,4.890625,0.010223642172523926
1.3,400,300002,4.421875,5.309375,4.421875,0.20070671378091876
1.3,400,300003,5.796875,4.584375,5.796875,0.20916442048517525
1.3,400,300004,5.284375,4.678125,4.678125,0.12959251837007352
1.3,400,300005,4.703125,5.534375,5.534375,0.150197628458498
1.3,400,300006,5.084375,5.215625,5.084375,0.025814382298709387
1.3,400,300007,4.865625,4.940625,4.940625,0.015180265654648993
1.3,400,300008,4.678125,5.178125,5.178125,0.09656004828002415
1.3,400,300009,5.603125,4.503125,5.603125,0.19631901840490806
1.3,400,300010,5.178125,4.671875,5.178125,0.09776704888352437
1.3,400,300011,5.715625,4.396875,5.715625,0.2307271733187535
1.3,400,300012,4.384375,5.746875,5.746875,0.2370853724850462
1.3,400,300013,4.334375,5.678125,5.678125,0.23665382498624107
1.3,400,300014,4.934375,4.821875,4.934375,0.022799240025332453
1.3,400,300015,4.759375,5.140625,5.140625,0.07416413373860176
1.3,400,300016,4.971875,4.965625,4.965625,0.001258653241032024
1.3,400,300017,5.359375,5.034375,5.034375,0.0645561762880199
1.3,400,300018,5.703125,4.471875,5.703125,0.21589041095890413
1.3,400,300019,4.984375,5.459375,4.984375,0.09529780564263315
1.3,1600,300000,5.634375,4.434375,5.634375,0.2129783693843594
1.3,1600,300001,5.109375,4.853125,4.853125,0.052801030264005074
1.3,1600,300002,4.365625,5.815625,5.815625,0.24932831810854383
1.3,1600,300003,5.540625,4.671875,5.540625,0.15679639029892842
1.3,1600,300004,5.396875,4.640625,4.640625,0.1629629629629629
1.3,1600,300005,5.453125,4.465625,5.453125,0.1810888252148997
1.3,1600,300006,4.790625,5.034375,4.790625,0.05088062622309186
1.3,1600,300007,5.209375,4.734375,5.209375,0.09118176364727049
1.3,1600,300008,4.790625,5.034375,5.034375,0.04841713221601479
1.3,1600,300009,5.021875,5.021875,5.021875,0.0
1.3,1600,300010,4.921875,4.946875,4.946875,0.005053695514845302
1.3,1600,300011,5.103125,4.659375,5.103125,0.08695652173913053
1.3,1600,300012,4.940625,5.028125,4.940625,0.017710309930423856
1.3,1600,300013,4.990625,4.796875,4.796875,0.04039087947882729
1.3,1600,300014,4.896875,4.921875,4.896875,0.005105296745373398
1.3,1600,300015,4.740625,5.209375,5.209375,0.08998200359928014
