problem,A_or_s,region,float_upper,interval_upper,diff
limit,0.7,-,0.3494030243504112,0.34940302435041115,-5.551115123125783e-17
limit,0.7,+,0.3493935884718027,0.3493935884718027,0.0
limit,0.6499999999999999,-,0.3601940411593975,0.36019404115939757,5.551115123125783e-17
limit,0.6499999999999999,+,0.3602548030619726,0.3602548030619726,0.0
limit,0.6749999999999999,-,0.3547494999211498,0.35474949992114974,-5.551115123125783e-17
limit,0.6749999999999999,+,0.3547545627762322,0.35475456277623213,-5.551115123125783e-17
limit,0.6875,-,0.3520608074144968,0.35206080741449675,-5.551115123125783e-17
limit,0.6875,+,0.3520606123059903,0.3520606123059904,1.1102230246251565e-16
limit,0.6812499999999999,-,0.3534023072286792,0.35340230722867927,5.551115123125783e-17
limit,0.6812499999999999,+,0.3534031151280669,0.3534031151280669,0.0
limit,0.684375,-,0.3527307794363749,0.3527307794363748,-5.551115123125783e-17
limit,0.684375,+,0.352730827459576,0.35273082745957596,-5.551115123125783e-17
a=1.30,4.95,-,0.3495050145375298,0.34950501453752975,-5.551115123125783e-17
a=1.30,4.95,+,0.3495050736809272,0.34950507368092726,5.551115123125783e-17
a=1.30,4.9625,-,0.3491099831640502,0.34910998316405023,5.551115123125783e-17
a=1.30,4.9625,+,0.3491099646480713,0.3491099646480713,0.0
a=1.30,4.975,-,0.3487156826949071,0.3487156826949071,0.0
a=1.30,4.975,+,0.3487154183795477,0.3487154183795477,0.0
a=1.30,5.0,-,0.3479294219589017,0.3479294219589017,0.0
a=1.30,5.0,+,0.3479278138552196,0.3479278138552196,0.0
a=1.30,7.1,-,0.2909100048177401,0.29091000481774004,-5.551115123125783e-17
a=1.30,7.1,+,0.2881528905825717,0.2881528905825717,0.0
a=1.30,7.1125,-,0.2906143213625343,0.2906143213625342,-1.1102230246251565e-16
a=1.30,7.1125,+,0.2878313174578789,0.2878313174578788,-5.551115123125783e-17
a=1.30,7.125,-,0.2903190685554322,0.2903190685554322,0.0
a=1.30,7.125,+,0.2875101129496844,0.28751011294968437,-5.551115123125783e-17
a=1.30,7.15,-,0.2897298489512223,0.2897298489512222,-5.551115123125783e-17
a=1.30,7.15,+,0.2868688147322004,0.2868688147322004,0.0
a=1.35,4.0,-,0.350184724096332,0.35018472409633195,-5.551115123125783e-17
a=1.35,4.0,+,0.350186185289903,0.3501861852899029,-5.551115123125783e-17
a=1.35,4.025,-,0.3492018010038522,0.3492018010038522,0.0
a=1.35,4.025,+,0.3492018737600693,0.34920187376006934,5.551115123125783e-17
a=1.35,4.0375,-,0.3487115500667805,0.34871155006678056,5.551115123125783e-17
a=1.35,4.0375,+,0.3487115109506119,0.348711510950612,5.551115123125783e-17
a=1.35,4.05,-,0.3482224418303154,0.3482224418303155,5.551115123125783e-17
a=1.35,4.05,+,0.3482219984186773,0.3482219984186773,0.0
a=1.35,5.7,-,0.292306234132795,0.292306234132795,0.0
a=1.35,5.7,+,0.2897172259408959,0.2897172259408959,0.0
a=1.35,5.7125,-,0.2919365017603446,0.2919365017603446,0.0
a=1.35,5.7125,+,0.2893159455263147,0.2893159455263148,1.1102230246251565e-16
a=1.35,5.725,-,0.2915674448352431,0.29156744483524316,5.551115123125783e-17
a=1.35,5.725,+,0.2889152416015179,0.2889152416015179,0.0
a=1.35,5.75,-,0.2908313477119464,0.2908313477119464,0.0
a=1.35,5.75,+,0.2881155577123531,0.2881155577123531,0.0
a=1.40,3.35,-,0.3500071446919097,0.35000714469190974,5.551115123125783e-17
a=1.40,3.35,+,0.3500088217463702,0.3500088217463703,1.1102230246251565e-16
a=1.40,3.375,-,0.3488234452897158,0.34882344528971587,5.551115123125783e-17
a=1.40,3.375,+,0.3488234748599935,0.34882347485999354,5.551115123125783e-17
a=1.40,3.3875,-,0.3482334582184912,0.34823345821849117,-5.551115123125783e-17
a=1.40,3.3875,+,0.3482333087304496,0.34823330873044966,5.551115123125783e-17
a=1.40,3.4,-,0.3476451968167757,0.34764519681677575,5.551115123125783e-17
a=1.40,3.4,+,0.3476443081121788,0.3476443081121788,0.0
a=1.40,4.7,-,0.2943301004231836,0.29433010042318364,5.551115123125783e-17
a=1.40,4.7,+,0.2919528867965144,0.2919528867965144,0.0
a=1.40,4.725,-,0.2934312915351749,0.2934312915351749,0.0
a=1.40,4.725,+,0.290979864192038,0.29097986419203803,5.551115123125783e-17
a=1.40,4.7375,-,0.292983388027272,0.292983388027272,0.0
a=1.40,4.7375,+,0.2904946194060754,0.2904946194060754,0.0
a=1.40,4.75,-,0.2925364795776148,0.29253647957761486,5.551115123125783e-17
a=1.40,4.75,+,0.2900102180936476,0.2900102180936476,0.0
a=1.45,2.85,-,0.3510005190161548,0.3510005190161548,0.0
a=1.45,2.85,+,0.3510064508892718,0.35100645088927174,-5.551115123125783e-17
a=1.45,2.875,-,0.3496022404425303,0.3496022404425303,0.0
a=1.45,2.875,+,0.3496034809721846,0.3496034809721846,0.0
a=1.45,2.8875,-,0.3489055077754422,0.34890550777544216,-5.551115123125783e-17
a=1.45,2.8875,+,0.3489057181186828,0.3489057181186828,0.0
a=1.45,2.9,-,0.348210406931198,0.3482104069311979,-5.551115123125783e-17
a=1.45,2.9,+,0.3482103684856936,0.3482103684856936,0.0
a=1.45,4.0,-,0.2949174830454298,0.2949174830454298,0.0
a=1.45,4.0,+,0.2926261310873161,0.29262613108731605,-5.551115123125783e-17
a=1.45,4.0125,-,0.2943863117385063,0.29438631173850627,-5.551115123125783e-17
a=1.45,4.0125,+,0.292051961142435,0.292051961142435,0.0
a=1.45,4.025,-,0.2938565442313492,0.2938565442313492,0.0
a=1.45,4.025,+,0.2914789720119545,0.2914789720119545,0.0
a=1.45,4.05,-,0.2928011929788595,0.2928011929788595,0.0
a=1.45,4.05,+,0.2903365220065743,0.2903365220065743,0.0
a=1.50,2.5,-,0.3499875354825223,0.3499875354825224,1.1102230246251565e-16
a=1.50,2.5,+,0.3499901666175808,0.3499901666175808,0.0
a=1.50,2.525,-,0.3483761395065794,0.3483761395065793,-1.1102230246251565e-16
a=1.50,2.525,+,0.3483761532457887,0.3483761532457887,0.0
a=1.50,2.5375,-,0.3475740683359516,0.3475740683359517,1.1102230246251565e-16
a=1.50,2.5375,+,0.3475736732848203,0.3475736732848203,0.0
a=1.50,2.55,-,0.3467752143972883,0.3467752143972883,0.0
a=1.50,2.55,+,0.3467733281484554,0.34677332814845535,-5.551115123125783e-17
a=1.50,3.45,-,0.2963279484889693,0.29632794848896926,-5.551115123125783e-17
a=1.50,3.45,+,0.2941825782604153,0.2941825782604153,0.0
a=1.50,3.475,-,0.2950931179973599,0.2950931179973599,0.0
a=1.50,3.475,+,0.2928502300748454,0.29285023007484545,5.551115123125783e-17
a=1.50,3.4875,-,0.2944785542073165,0.29447855420731645,-5.551115123125783e-17
a=1.50,3.4875,+,0.292186441266105,0.29218644126610505,5.551115123125783e-17
a=1.50,3.5,-,0.2938658769122652,0.2938658769122652,0.0
a=1.50,3.5,+,0.2915242303768875,0.29152423037688757,5.551115123125783e-17
a=1.60,2.0,-,0.3482550139212614,0.34825501392126146,5.551115123125783e-17
a=1.60,2.0,+,0.3482550417881181,0.34825504178811817,5.551115123125783e-17
a=1.60,2.0125,-,0.3472262586427744,0.34722625864277445,5.551115123125783e-17
a=1.60,2.0125,+,0.3472256545504781,0.3472256545504782,1.1102230246251565e-16
a=1.60,2.025,-,0.3462027921191639,0.34620279211916394,5.551115123125783e-17
a=1.60,2.025,+,0.3461998585035698,0.34619985850356977,-5.551115123125783e-17
a=1.60,2.05,-,0.3441716009828208,0.34417160098282074,-5.551115123125783e-17
a=1.60,2.05,+,0.3441588653929457,0.3441588653929458,1.1102230246251565e-16
a=1.60,2.7,-,0.2975471350844642,0.2975471350844642,0.0
a=1.60,2.7,+,0.2955518686250326,0.2955518686250326,0.0
a=1.60,2.7125,-,0.2967493710057365,0.2967493710057366,1.1102230246251565e-16
a=1.60,2.7125,+,0.2946935842154081,0.2946935842154081,0.0
a=1.60,2.725,-,0.2959548027351177,0.29595480273511765,-5.551115123125783e-17
a=1.60,2.725,+,0.2938379482651,0.29383794826510007,5.551115123125783e-17
a=1.60,2.75,-,0.2943751573008732,0.29437515730087316,-5.551115123125783e-17
a=1.60,2.75,+,0.292134581833549,0.29213458183354896,-5.551115123125783e-17
