a,s,global_region,b2_validated,encl_w1_width,encl_b1_width,margin_lo,margin_hi,certified_sign
1.3,7.1,+,True,3.7951163467386806e-06,3.8045158436972315e-06,-0.0006954800532269364,-0.0004610271071662686,fails
1.3,7.1125,+,True,3.792919067713285e-06,4.5654190126143135e-06,0.0002659878657960182,0.0005234762060613358,solves
1.35,5.7125,+,True,3.7849124034927684e-06,3.8045158436972315e-06,-0.0006211532358768882,-0.00043059740325977975,fails
1.35,5.725,+,True,4.538405990572869e-06,4.565419011726135e-06,0.0005645058956292952,0.0007936015195725719,solves
1.4,4.7375,+,True,7.621390941459083e-06,7.609031685618106e-06,-0.0006501485127841021,-0.0003293515806530797,fails
1.4,4.75,+,True,3.807041421000079e-06,4.565419011726135e-06,0.0008681821531885502,0.0010444037230997552,solves
1.45,4.0125,+,True,7.620194439672545e-06,9.130838022564092e-06,-0.0016928070942981023,-0.0013917049264794716,fails
1.45,4.025,+,True,7.610841367355903e-06,9.13083802345227e-06,4.0655880768090275e-06,0.00030596535182326475,solves
1.5,3.475,+,True,7.621754219089283e-06,7.609031685618106e-06,-0.0004308268492713376,-0.00019022919269408872,fails
1.5,3.4875,+,True,7.61046412778299e-06,9.130838022564092e-06,0.0015103648983284164,0.0017748470935498083,solves
1.6,2.7,+,True,7.616125219378489e-06,9.130838025228627e-06,-0.001071026010422983,-0.0008613267077624704,fails
1.6,2.7125,+,True,7.6003247468925395e-06,7.609031687394463e-06,0.0014182796466573667,0.0016103454144172395,solves
