width,a,seed,steps,test_accuracy,train_accuracy
4,0.0,0,2000,0.967199981212616,0.9805999994277954
4,0.0,1,2000,0.9697999954223633,0.9853000044822693
4,0.0,2,2000,0.9700999855995178,0.9853000044822693
4,0.0,3,2000,0.9666000008583069,0.98089998960495
4,0.0,4,2000,0.97079998254776,0.9865999817848206
4,0.5,0,2000,0.9686999917030334,0.9789000153541565
4,0.5,1,2000,0.9718999862670898,0.9833999872207642
4,0.5,2,2000,0.9715999960899353,0.9883999824523926
4,0.5,3,2000,0.970300018787384,0.9846000075340271
4,0.5,4,2000,0.9672999978065491,0.9837999939918518
4,1.0,0,2000,0.9678999781608582,0.979200005531311
4,1.0,1,2000,0.9686999917030334,0.9824000000953674
4,1.0,2,2000,0.9672999978065491,0.9833999872207642
4,1.0,3,2000,0.9635999798774719,0.9799000024795532
4,1.0,4,2000,0.967199981212616,0.979200005531311
4,1.5,0,2000,0.9692000150680542,0.9861999750137329
4,1.5,1,2000,0.9684000015258789,0.9850000143051147
4,1.5,2,2000,0.9679999947547913,0.984499990940094
4,1.5,3,2000,0.9642000198364258,0.9818999767303467
4,1.5,4,2000,0.9695000052452087,0.9871000051498413
4,2.5,0,2000,0.9714999794960022,0.9868999719619751
4,2.5,1,2000,0.9718999862670898,0.9864000082015991
4,2.5,2,2000,0.9724000096321106,0.9864000082015991
4,2.5,3,2000,0.967199981212616,0.9840999841690063
4,2.5,4,2000,0.972599983215332,0.9914000034332275
4,4.0,0,2000,0.9690999984741211,0.9851999878883362
4,4.0,1,2000,0.9688000082969666,0.9869999885559082
4,4.0,2,2000,0.9735000133514404,0.9889000058174133
4,4.0,3,2000,0.9666000008583069,0.982699990272522
4,4.0,4,2000,0.9732999801635742,0.9883999824523926
6,0.0,0,2000,0.9715999960899353,0.9876999855041504
6,0.0,1,2000,0.9745000004768372,0.9868000149726868
6,0.0,2,2000,0.9728000164031982,0.986299991607666
6,0.0,3,2000,0.9732999801635742,0.9876999855041504
6,0.0,4,2000,0.9728999733924866,0.9884999990463257
6,0.5,0,2000,0.9697999954223633,0.9850000143051147
6,0.5,1,2000,0.9750999808311462,0.9884999990463257
6,0.5,2,2000,0.9656999707221985,0.9812999963760376
6,0.5,3,2000,0.9718999862670898,0.9865999817848206
6,0.5,4,2000,0.9728000164031982,0.9872999787330627
6,1.0,0,2000,0.97079998254776,0.9840999841690063
6,1.0,1,2000,0.9740999937057495,0.9830999970436096
6,1.0,2,2000,0.9677000045776367,0.9815000295639038
6,1.0,3,2000,0.9729999899864197,0.9865000247955322
6,1.0,4,2000,0.9666000008583069,0.9824000000953674
6,1.5,0,2000,0.9724000096321106,0.9866999983787537
6,1.5,1,2000,0.9751999974250793,0.9872999787330627
6,1.5,2,2000,0.9725000262260437,0.9868000149726868
6,1.5,3,2000,0.9736999869346619,0.9878000020980835
6,1.5,4,2000,0.9771999716758728,0.989799976348877
6,2.5,0,2000,0.9726999998092651,0.9884999990463257
6,2.5,1,2000,0.974399983882904,0.989300012588501
6,2.5,2,2000,0.9732000231742859,0.9886000156402588
6,2.5,3,2000,0.97079998254776,0.9843999743461609
6,2.5,4,2000,0.9761000275611877,0.9911999702453613
6,4.0,0,2000,0.970300018787384,0.9871000051498413
6,4.0,1,2000,0.9742000102996826,0.9876999855041504
6,4.0,2,2000,0.972599983215332,0.9879000186920166
6,4.0,3,2000,0.9714000225067139,0.984499990940094
6,4.0,4,2000,0.9724000096321106,0.9861000180244446
8,0.0,0,2000,0.9706000089645386,0.9850999712944031
8,0.0,1,2000,0.9764999747276306,0.9890000224113464
8,0.0,2,2000,0.9732999801635742,0.9868999719619751
8,0.0,3,2000,0.973800003528595,0.9865000247955322
8,0.0,4,2000,0.9764999747276306,0.9883999824523926
8,0.5,0,2000,0.9721999764442444,0.9854000210762024
8,0.5,1,2000,0.9740999937057495,0.9866999983787537
8,0.5,2,2000,0.9718999862670898,0.9865999817848206
8,0.5,3,2000,0.972100019454956,0.9854000210762024
8,0.5,4,2000,0.9745000004768372,0.9868000149726868
8,1.0,0,2000,0.9724000096321106,0.986299991607666
8,1.0,1,2000,0.9731000065803528,0.9868999719619751
8,1.0,2,2000,0.9713000059127808,0.9858999848365784
8,1.0,3,2000,0.972100019454956,0.9855999946594238
8,1.0,4,2000,0.9731000065803528,0.9865000247955322
8,1.5,0,2000,0.9747999906539917,0.9894999861717224
8,1.5,1,2000,0.9692999720573425,0.984000027179718
8,1.5,2,2000,0.9732000231742859,0.989300012588501
8,1.5,3,2000,0.9757999777793884,0.9879000186920166
8,1.5,4,2000,0.9679999947547913,0.9797999858856201
8,2.5,0,2000,0.9682999849319458,0.9864000082015991
8,2.5,1,2000,0.9764999747276306,0.9912999868392944
8,2.5,2,2000,0.9739000201225281,0.9897000193595886
8,2.5,3,2000,0.9750999808311462,0.9882000088691711
8,2.5,4,2000,0.9757000207901001,0.989799976348877
8,4.0,0,2000,0.9750000238418579,0.9889000058174133
8,4.0,1,2000,0.9758999943733215,0.9889000058174133
8,4.0,2,2000,0.9711999893188477,0.9876999855041504
8,4.0,3,2000,0.9743000268936157,0.9887999892234802
8,4.0,4,2000,0.9732999801635742,0.9907000064849854
