width,a,seed,steps,test_accuracy,train_accuracy
1,0.0,0,8000,0.902400016784668,0.9448999762535095
1,0.0,1,8000,0.9049000144004822,0.9417999982833862
1,0.0,2,8000,0.9075000286102295,0.9437999725341797
1,0.0,3,8000,0.9047999978065491,0.9448000192642212
1,0.0,4,8000,0.9010999798774719,0.9365000128746033
1,1.0,0,8000,0.9108999967575073,0.9490000009536743
1,1.0,1,8000,0.8871999979019165,0.9172000288963318
1,1.0,2,8000,0.8952999711036682,0.9178000092506409
1,1.0,3,8000,0.8960000276565552,0.9265000224113464
1,1.0,4,8000,0.9010000228881836,0.9279999732971191
1,2.5,0,8000,0.8896999955177307,0.9329000115394592
1,2.5,1,8000,0.8679999709129333,0.8992999792098999
1,2.5,2,8000,0.8109999895095825,0.8504999876022339
1,2.5,3,8000,0.7813000082969666,0.804099977016449
1,2.5,4,8000,0.8935999870300293,0.930400013923645
2,0.0,0,8000,0.9575999975204468,0.9861000180244446
2,0.0,1,8000,0.9623000025749207,0.9896000027656555
2,0.0,2,8000,0.9539999961853027,0.984000027179718
2,0.0,3,8000,0.9552000164985657,0.9858999848365784
2,0.0,4,8000,0.9611999988555908,0.9879999756813049
2,1.0,0,8000,0.9563000202178955,0.9811999797821045
2,1.0,1,8000,0.9581000208854675,0.9807000160217285
2,1.0,2,8000,0.9534000158309937,0.9833999872207642
2,1.0,3,8000,0.9559000134468079,0.9824000000953674
2,1.0,4,8000,0.9549000263214111,0.9819999933242798
2,2.5,0,8000,0.9569000005722046,0.98580002784729
2,2.5,1,8000,0.9599000215530396,0.9907000064849854
2,2.5,2,8000,0.9606000185012817,0.9876000285148621
2,2.5,3,8000,0.9539999961853027,0.9853000044822693
2,2.5,4,8000,0.9591000080108643,0.9864000082015991
4,0.0,0,8000,0.972000002861023,0.9939000010490417
4,0.0,1,8000,0.9754999876022339,0.9965999722480774
4,0.0,2,8000,0.973800003528595,0.9957000017166138
4,0.0,3,8000,0.9708999991416931,0.9954000115394592
4,0.0,4,8000,0.9757000207901001,0.998199999332428
4,1.0,0,8000,0.9708999991416931,0.9936000108718872
4,1.0,1,8000,0.9740999937057495,0.995199978351593
4,1.0,2,8000,0.975600004196167,0.9945999979972839
4,1.0,3,8000,0.973800003528595,0.9947999715805054
4,1.0,4,8000,0.9742000102996826,0.9954000115394592
4,2.5,0,8000,0.9718999862670898,0.9955999851226807
4,2.5,1,8000,0.972000002861023,0.9905999898910522
4,2.5,2,8000,0.9695000052452087,0.9944999814033508
4,2.5,3,8000,0.9718000292778015,0.993399977684021
4,2.5,4,8000,0.9739999771118164,0.9952999949455261
